Datum,Von,Bis,Thema,Strasse,Nr,PLZ,Aufzugsstrecke,Teilnehmende (angemeldet),Teilnehmende (tatsächlich)
2022-12-31,0 days 22:30:00,0 days 02:00:00,"""Sylvester vor dem Knast""",,,,Alt-Moabit/Rathenower Str. - Alt-Moabit - Wilsnacker Str. - Turmstr. - Rathenower Str. - Rathenower Str./Alt-Moabit,100.0,7.0
2023-01-01,0 days 00:00:00,0 days 23:59:00,"""Revolutionsgarden des Islamischen Regime auf die Terrorliste der EU einsetzen"" (vom 23.12.2022 bis 20.01.2023 - täglich)",Platz der Republik,1,10557.0,,4.0,
2023-01-01,0 days 00:00:00,0 days 23:59:00,"""Solidarität mit den protesten im Iran""",Platz vor dem Neuen Tor,1,10115.0,"vor der Bundesgeschäftsstelle Bündnis 90/die Grünen, Platz vor dem Neuen Tor 1, 10115 Berlin-Mitte",10.0,
2023-01-01,0 days 00:00:00,1 days 00:00:00,"""Zuschließung der Iranischen Botschaft"" sic! (vom 17.11.2022 bis 15.01.2023 - täglich)",Podbielskiallee,67,14195.0,,2.0,
2023-01-01,0 days 10:00:00,0 days 18:00:00,"""Gegen Mieterverdrängung durch sogenannte energetische Sanierung und Luxussanierung für unverfälschte Denkmalpflege. Verstoß gegen den Kaufvertrag."" (vom 24.12.2022 bis 25.03.2023 - jeweils Mi.,Sa.,So.)",Kehrwieder,,13509.0,,6.0,2.0
2023-01-01,0 days 12:00:00,0 days 14:30:00,"""Stoppt die Verfolgung von FALUN DAFA / FALUN-GONG Praktizierenden und anderen unschuldigen Menschen in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2023 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",Jannowitzbrücke,,10179.0,,10.0,10.0
2023-01-01,0 days 12:00:00,0 days 15:00:00,"""Demonstration gegen Regierung der Mongolei. Es soll ein Zeichen der Solidarität mit den Demonstranten in der Mongolei gegeben werden."" (vom 24.12.2022 bis 05.03.2023 - jeweils Sa.,So.)",Hausvogteiplatz,,10117.0,,15.0,5.0
2023-01-01,0 days 14:00:00,0 days 17:00:00,"""Unterstützung der friedlichen, algerischen Revolution hin zu einem demokratischen Staat"" (vom 17.07.2022 bis 01.01.2023 - jeweils So.)",Ebertstr.,,10117.0,,10.0,5.0
2023-01-02,0 days 00:00:00,0 days 23:59:00,"""Revolutionsgarden des Islamischen Regime auf die Terrorliste der EU einsetzen"" (vom 23.12.2022 bis 20.01.2023 - täglich)",Platz der Republik,1,10557.0,,4.0,
2023-01-02,0 days 00:00:00,1 days 00:00:00,"""Zuschließung der Iranischen Botschaft"" sic! (vom 17.11.2022 bis 15.01.2023 - täglich)",Podbielskiallee,67,14195.0,,2.0,5.0
2023-01-02,0 days 10:30:00,0 days 13:00:00,"""Stoppt die Verfolgung von FALUN DAFA / FALUN-GONG Praktizierenden und anderen unschuldigen Menschen in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2023 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",Jannowitzbrücke,,10179.0,,10.0,5.0
2023-01-02,0 days 12:00:00,0 days 14:00:00,"""Mahnwache vor dem RKI Kritisiert wird die Rolle des RKI im Zusammenhang mit der Corona-Hysterie und den dadurch begründeten Menschenrechtsverletzungen. Ferner besteht weiterhin die Forderung nach Erfüllung der Informationspflicht als Regierungsbehörde."" (vom 07.11.2022 bis 29.05.2023 - jeweils Mo.)",Nordufer,20,13353.0,,15.0,14.0
2023-01-02,0 days 14:00:00,0 days 16:00:00,"""No more lies: against the persecution on truth by the Chinese government""",Pariser Platz,1,10117.0,,30.0,10.0
2023-01-02,0 days 16:05:00,0 days 00:00:00,"""NO MORE LIES FREE CHINA""",Brückenstr.,10,10179.0,,10.0,4.0
2023-01-02,0 days 17:45:00,0 days 19:00:00,"""Stoppt den Krieg! Frieden und Freiheit für die Ukraine! Jetzt!"" (vom 02.01. bis 03.04.2023 - jeweils Mo.)",Alt-Müggelheim,,12559.0,,15.0,12.0
