lfd. Nr. ,Datum,Ort,Angemeldete Teilnehmer:innen,Thema/Motto
1,2023-01-02 00:00:00,Aufzug: Bhf - Innenstadt - Bhf ,50,"Frieden, Freiheit, Selbstbestimmung"
2,2023-01-03 00:00:00,Gerhard-Rohlfs-Straße / Ecke Sedanplatz,4,Friedensmahnwache
3,2023-01-05 00:00:00,Liebfrauenkirchhof / Ecke Sögestraße,20,"Mahnwache für Frieden, Versöhnung und Abrüstung"
4,2023-01-05 00:00:00,Marktplatz,100,Protest gegen den Abbau von klimaschädlicher Braunkohle im rheinischen Braunkohlerevier
5,2023-01-06 00:00:00,Gerhard-Rohlfs-Straße,30,1.044. Friedenskundgebung
6,2023-01-07 00:00:00,Gehwegfläche vor den Domtreppen,10,Mahnwache für einen gerechten Frieden in Palästina
7,2023-01-07 00:00:00,Ulrichsplatz,10,Guantanamo schließen
8,2023-01-07 00:00:00,Goetheplatz,80,Gedenkkundgebung zum 18. Todestag von Herrn Condé
9,2023-01-07 00:00:00,Marktplatz,70,Kundgebung zum Jahrestag des Abschusses einer ukrainischen Verkehrsmaschine mit 176 iranischen und ukrainischen Insassen von der Iranischen Revolutionsgarde
10,2023-01-07 00:00:00,Grasmarkt,20,"Wir STEHEN FÜR eine demokratische, rechtsstaatliche und offene Gesellschaft, Respekt und Achtung gegenüber allen Menschen und den Erhalt der Grund- und Menschenrechte"
11,2023-01-07 00:00:00,Marktplatz,80,Tod von Hazrat Fatima
12,2023-01-09 00:00:00,Marktplatz,30,Probleme und Widersprüche in der Politik der Bundes- und Länderregierungen
13,2023-01-09 00:00:00,Aufzug: Bhf - Innenstadt - Bhf ,50,"Frieden, Freiheit, Selbstbestimmung"
14,2023-01-10 00:00:00,Gerhard-Rohlfs-Straße / Ecke Sedanplatz,4,Friedensmahnwache
15,2023-01-11 00:00:00,Domshof,50,Bedrohung von Lützerath und die Finanzierung von der RWE Power AG durch die Deutsche Bank
16,2023-01-12 00:00:00,Brill-Kreuzung,20,Lützerath bleibt
17,2023-01-12 00:00:00,Liebfrauenkirchhof / Ecke Sögestraße,20,"Mahnwache für Frieden, Versöhnung und Abrüstung"
18,2023-01-13 00:00:00,Busbahnhof Bremen-Vegesack ,30,Hat Hoffnung noch Wert?!
19,2023-01-13 00:00:00,Gerhard-Rohlfs-Straße,30,1.045. Friedenskundgebung
20,2023-01-14 00:00:00,Gehwegfläche vor den Domtreppen,10,Mahnwache für einen gerechten Frieden in Palästina
21,2023-01-14 00:00:00,Marktplatz,40,"""Gute Nachricht"" wo kann ich die herbekommen?!"
22,2023-01-14 00:00:00,Fläche vor den Domtreppen,30,"Meinen Frieden gebe ich euch, meinen Frieden lasse ich euch"
23,2023-01-14 00:00:00,Aufzug: Am Brill - Obernstraße - Domsheide - Goetheplatz,200,Solidarität mit der Revolution im Iran
24,2023-01-17 00:00:00,Gerhard-Rohlfs-Straße / Ecke Sedanplatz,4,Friedensmahnwache
25,2023-01-19 00:00:00,Brill-Kreuzung,20,Lützerath bleibt
26,2023-01-19 00:00:00,Liebfrauenkirchhof / Ecke Sögestraße,20,"Mahnwache für Frieden, Versöhnung und Abrüstung"
27,2023-01-19 00:00:00,Hollerallee 77,20,Tierqual bei der Produktion von Stopfleber
28,2023-01-20 00:00:00,Bahnhofsvorplatz,10,"Krieg in der Ukraine. Wir wollen der ganzen Welt zeigen, was Russland aus der Kleinstadt Orekhov bei Zaporozhye gemacht hat"
