Datum,Ort,Art,ang. TN-Zahl
2022-01-03 00:00:00,Kleppingstraße/Ostenhellweg,Stationär,40
2022-01-03 00:00:00,Friedensplatz - Wall - Friedensplatz,Aufzug,500
2022-01-03 00:00:00,Platz der Deutschen Einheit,Stationär,100
2022-01-03 00:00:00,Willy-Brandt-Platz (Lünen),Stationär,100
2022-01-05 00:00:00,RKP,Stationär,20
2022-01-07 00:00:00,Platz der Deutschen Einheit,Stationär,150
2022-01-08 00:00:00,Westfalenhallen Halle 1,Stationär,30-50
2022-01-09 00:00:00,Hansaplatz (Rundweg),Aufzug,300
2022-01-09 00:00:00,E2-Parkplatz - Innenstadt - Nordstadt - Brackel,Aufzug,35 Autos
2022-01-10 00:00:00,Kleppingstraße/Ostenhellweg,Stationär,40
2022-01-10 00:00:00,Willy-Brandt-Platz (Lünen),Aufzug,100
2022-01-10 00:00:00,Platz der Deutschen Einheit,Stationär,100
2022-01-10 00:00:00,Friedensplatz (Rundweg),Aufzug,500
2022-01-10 00:00:00,Kleppingstraße/Südwall (Rundweg),Stationär,500
2022-01-10 00:00:00,Willy-Brandt-Platz (Lünen),Stationär,100
2022-01-12 00:00:00,RKP,Stationär,20
2022-01-12 00:00:00,Huckarder Marktplatz - Huckarde - Huckarder Marktplatz,Aufzug,15
2022-01-15 00:00:00,Platz von Bufallo - Westenhellweg - Platz von Bufallo,Aufzug,50-60
2022-01-15 00:00:00,Kurler Sr. 27 - dortiger Wendehammer,Stationär,50
2022-01-15 00:00:00,Kampstraße,Stationär,2-20
2022-01-15 00:00:00,Reinoldikirche,Stationär,5
2022-01-15 00:00:00,Freistuhl,Stationär,10
2022-01-17 00:00:00,Kleppingstraße/Ostenhellweg,Stationär,40
2022-01-17 00:00:00,"Lünen, Willy-Brandt-Platz - Innenstadt - Willy-Brandt-Platz",Aufzug,200
2022-01-17 00:00:00,Friedensplatz - Wall - Friedensplatz,Aufzug,600
2022-01-17 00:00:00,Platz der Deutschen Einheit,Stationär,100
2022-01-17 00:00:00,Lange Straße - Stadttorstraße,Aufzug,200
2022-01-19 00:00:00,RKP,Stationär,20
2022-01-19 00:00:00,Marktplatz (Rundweg),Aufzug,30
2022-01-21 00:00:00,Reinoldikirche,Stationär,50-100
2022-01-22 00:00:00,Hombrucher Marktplatz,Stationär,20
2022-01-22 00:00:00,Münsterstraße,Stationär,4
2022-01-22 00:00:00,Platz von Bufallo (Rundweg),Aufzug,70-80
2022-01-22 00:00:00,Freistuhl 2,Stationär,10
2022-01-22 00:00:00,Reinoldikirche,Stationär,5
2022-01-24 00:00:00,Kleppingstraße/Ostenhellweg,Stationär,40
2022-01-24 00:00:00,Friedensplatz - Wall - Friedensplatz,Aufzug,749
2022-01-24 00:00:00,Willy-Brandt-Platz (Lünen),Aufzug,150
2022-01-24 00:00:00,Friedensplatz,Stationär,100
2022-01-24 00:00:00,Platz der Deutschen Einheit,Stationär,100
2022-01-24 00:00:00,Hansaplatz,Stationär,700
2022-01-24 00:00:00,Platz der Deutschen Einheit,Stationär,15
2022-01-26 00:00:00,RKP,Stationär,20
2022-01-26 00:00:00,Kampstraße - Höhe DSW 21,Stationär,10
2022-01-26 00:00:00,Platz der Deutschen Einheit,Stationär,10
2022-01-26 00:00:00,Huckarder Marktplatz - Huckarde - Huckarder Marktplatz,Aufzug,16
2022-01-27 00:00:00,Reinoldikirche,Stationär,30
2022-01-28 00:00:00,Möllerbrücke/ Ecke Hollestraße,Stationär,5 - 10
2022-01-28 00:00:00,Polizeipräsidium (Rundweg),Aufzug,50-75
2022-01-29 00:00:00,Kampstraße - Höhe DSW 21,Stationär,40
2022-01-29 00:00:00,Hombrucher Marktplatz,Stationär,20
2022-01-29 00:00:00,Platz der Deutschen Einheit,Stationär,10
2022-01-29 00:00:00,Platz von Netanya,Stationär,15
2022-01-29 00:00:00,Kampstraße,Stationär,2-10
2022-01-29 00:00:00,Platz von Bufallo - Platz von Netanya - Platz von Bufallo,Stationär,70-80
2022-01-29 00:00:00,Sonnenplatz,Stationär,5
2022-01-29 00:00:00,Reinoldikirche,Stationär,5
2022-01-29 00:00:00,Platz der Deutschen Einheit,Stationär,10-15
2022-01-31 00:00:00,Kleppingstraße/Ostenhellweg,Stationär,40
2022-01-31 00:00:00,Kuckelke/Alter Burgwall,Stationär,50
2022-01-31 00:00:00,Friedensplatz (Rundweg),Aufzug,749
2022-01-31 00:00:00,Willy-Brandt-Platz (Lünen) (Rundweg),Aufzug,150
2022-01-31 00:00:00,Platz der Deutschen Einheit,Stationär,100
2022-01-31 00:00:00,Willy-Brandt-Platz (Lünen) (Rundweg),Aufzug,150
2022-02-01 00:00:00,Friedensplatz,Stationär,10
2022-02-02 00:00:00,RKP,Stationär,20
2022-02-02 00:00:00,Huckarder Marktplatz,Stationär,20
2022-02-02 00:00:00,Huckarder Marktplatz - Unterfeldstraße - Huckarder Marktplatz,Aufzug,35
2022-02-02 00:00:00,Platz der Deutschen Einheit,Stationär,150
2022-02-04 00:00:00,Reinoldikirche,Stationär,20-30
2022-02-04 00:00:00,RKP 2,Stationär,50-100
2022-02-05 00:00:00,RKP,Stationär,20
2022-02-05 00:00:00,Parkplatz Bornstraße 126,Stationär,20
2022-02-05 00:00:00,Reinoldikirche,Stationär,5 - 10
2022-02-05 00:00:00,Münsterstraße - Mehmet-Kubasik-Platz,Stationär,8-15
2022-02-05 00:00:00,Mehmet-Kubasik-Platz - Steinstraße,Aufzug,80
2022-02-05 00:00:00,Reinoldikirche,Stationär,5
2022-02-07 00:00:00,Kleppingstraße/Ostenhellweg,Stationär,40
2022-02-07 00:00:00,Friedensplatz,Stationär,400
2022-02-07 00:00:00,Alter Markt,Stationär,400
2022-02-07 00:00:00,Hansaplatz,Stationär,400
2022-02-07 00:00:00,Friedensplatz - Hohe Straße - Friedensplatz,Aufzug,749
2022-02-07 00:00:00,Willy-Brandt-Platz (Lünen) (Rundweg),Aufzug,100
2022-02-07 00:00:00,Parkplatz Hilpert Theater Lünen (Rundweg),Aufzug,6 - 50
2022-02-07 00:00:00,Möllerstraße/Beurhausstraße,Stationär,100
2022-02-09 00:00:00,RKP,Stationär,20
2022-02-09 00:00:00,Huckarder Marktplatz - Thielenstraße - Huckarder Marktplatz,Aufzug,40
2022-02-09 00:00:00,Huckarder Marktplatz,Stationär,25
2022-02-10 00:00:00,Platz von Xí'an - Kleppingstraße - Katharinenstraße,Aufzug,150
2022-02-11 00:00:00,Platz Schlanke Mathilde,Stationär,4-6
2022-02-12 00:00:00,RKP,Stationär,20
2022-02-12 00:00:00,Kampstraße,Stationär,3-15
2022-02-12 00:00:00,Platz der Deutschen Einheit,Stationär,5-10
2022-02-12 00:00:00,Platz von Buffalo - Kampstraße - Platz von Buffalo,Aufzug,30
2022-02-12 00:00:00,Reinoldikirche,Stationär,5
2022-02-14 00:00:00,Willy-Brandt-Platz,Stationär,50 - 100
2022-02-14 00:00:00,Kleppingstraße/Ostenhellweg,Stationär,40
2022-02-14 00:00:00,Friedensplatz,Stationär,400
2022-02-14 00:00:00,Friedensplatz - Markgrafenstraße - Friedensplatz,Aufzug,749
2022-02-14 00:00:00,Möllerbrücke/ Ecke Hollestraße,Stationär,100
2022-02-14 00:00:00,Parkplatz am Heinz-Hilpert-Theater - Willy Brandt-Platz,Aufzug,6-100
2022-02-14 00:00:00,Willy-Brandt-Platz Lünen (Rundweg),Aufzug,100 - 200
2022-02-16 00:00:00,RKP,Stationär,20
2022-02-16 00:00:00,Reinoldikirche,Stationär,10-20
2022-02-16 00:00:00,Platz der Deutschen Einheit,Stationär,30-40
2022-02-16 00:00:00,Huckarder Marktplatz (Rundweg),Aufzug,40
2022-02-17 00:00:00,Friedensplatz,Stationär,50
2022-02-17 00:00:00,Westfalenhallen Halle 2,Stationär,3-10
2022-02-18 00:00:00,Ostenhellweg Ecke Brückstraße,Stationär,15
2022-02-19 00:00:00,Friedensplatz,Stationär,150-300
