Nr.,Anmeldedat.,Thema,Datum,Zeit,"Ort, Aufzugsweg",TN-Zahl
1,2015-09-15 00:00:00,Schließung Delfinarium,2016-06-01,09:00-13:00,ZOO Duisburg,100
2,2015-10-02 00:00:00,Gegen Rassismus und Gewalt,2016-04-30,19:00-22:00,Scharnhorststraße - Ruhrorter Str.- Kuhstr. - Königstr. - Mercatorstr.- Portsmouthplatz,300-1000
4,2015-10-15 00:00:00,Patriotische Europäer gegen die Islamisierung des Abendlandes,2016-01-04,19:00-22:00,"DU-Stadtmitte, Portsmouthplatz - Mercatorstraße - Wittekindstraße - Fürstenstraße, Hohestraße - Güntherstraße - Hohestraße - Gallenkampstraße - Portsmouthplatz",150-200
5,2015-10-15 00:00:00,Patriotische Europäer gegen die Islamisierung des Abendlandes,2016-01-11,19:00-22:00,"DU-Stadtmitte, Portsmouthplatz - Mercatorstraße - Wittekindstraße - Fürstenstraße, Hohestraße - Güntherstraße - Hohestraße - Gallenkampstraße - Portsmouthplatz",150-200
6,2015-10-15 00:00:00,Patriotische Europäer gegen die Islamisierung des Abendlandes,2016-01-18,19:00-22:00,"DU-Stadtmitte, Portsmouthplatz - Mercatorstraße - Wittekindstraße - Fürstenstraße, Hohestraße - Güntherstraße - Hohestraße - Gallenkampstraße - Portsmouthplatz",150-200
7,2015-10-15 00:00:00,Patriotische Europäer gegen die Islamisierung des Abendlandes,2016-01-25,19:00-22:00,"DU-Stadtmitte, Portsmouthplatz - Mercatorstraße - Wittekindstraße - Fürstenstraße, Hohestraße - Güntherstraße - Hohestraße - Gallenkampstraße - Portsmouthplatz",150-200
8,2015-10-15 00:00:00,Patriotische Europäer gegen die Islamisierung des Abendlandes,2016-02-01,19:00-22:00,"DU-Stadtmitte, Portsmouthplatz - Mercatorstraße - Wittekindstraße - Fürstenstraße, Hohestraße - Güntherstraße - Hohestraße - Gallenkampstraße - Portsmouthplatz",150-200
9,2015-10-15 00:00:00,Patriotische Europäer gegen die Islamisierung des Abendlandes,2016-02-08,19:00-22:00,"DU-Stadtmitte, Portsmouthplatz - Mercatorstraße - Wittekindstraße - Fürstenstraße, Hohestraße - Güntherstraße - Hohestraße - Gallenkampstraße - Portsmouthplatz",150-200
10,2015-10-15 00:00:00,Patriotische Europäer gegen die Islamisierung des Abendlandes,2016-02-15,19:00-22:00,"DU-Stadtmitte, Portsmouthplatz - Mercatorstraße - Wittekindstraße - Fürstenstraße, Hohestraße - Güntherstraße - Hohestraße - Gallenkampstraße - Portsmouthplatz",150-200
11,2015-10-15 00:00:00,Patriotische Europäer gegen die Islamisierung des Abendlandes,2016-02-22,19:00-22:00,"DU-Stadtmitte, Portsmouthplatz - Mercatorstraße - Wittekindstraße - Fürstenstraße, Hohestraße - Güntherstraße - Hohestraße - Gallenkampstraße - Portsmouthplatz",150-200
