Nr.,Anmeldedat.,Art,Thema,"Wochen-
tag",Datum,Zeit,"Ort, Aufzugsweg",TN-Zahl
1,2019-08-22 00:00:00,K,"08. Mai - 75. Jahres-""Tag der Befreiung"" - Duisburgerinnen feiern ihre vielfältige, tolerante, solidarische Stadtgesellschaft und setzen ein Zeichen gegen Rassismus, Hass, rechten Terror und Gefährdung der demokrat. Rechte",2020-05-08 00:00:00,2020-05-08 00:00:00,12:00-22:00,"DU-Stadtmitte; Schiffsmaskenbrunnen, Mercatorstraße/Portsmouthplatz, König-Heinrich-Platz",5.000
2,2019-10-13 00:00:00,K,Nacht der tausend Lichter,2020-07-23 00:00:00,2020-07-23 00:00:00,16:00:00,DU-Hochfeld; Karl-Lehr-Straßen-Tunnel,180
3,2019-10-13 00:00:00,K,Nacht der tausend Lichter,2020-07-24 00:00:00,2020-07-24 00:00:00,17:00:00,DU-Hochfeld; Karl-Lehr-Straßen-Tunnel,180
4,2019-12-16 00:00:00,A (K),Fridays for future - Gemeinsam gegen die Klimakrise,2020-01-10 00:00:00,2020-01-10 00:00:00,13:30-15:00,HBF - Friedrich-Wilhelm-Str. - Sonnenwall - Kuhtor - Königsstraße - Forum (AK),100
5,2019-12-16 00:00:00,A (K),Fridays for future - Gemeinsam gegen die Klimakrise,2020-01-24 00:00:00,2020-01-24 00:00:00,13:30-15:00,HBF - Mercatorstraße - Saarstraße - Landfermannstraße - Nahestr. - Lahnstr. - Mainstr. - Landfermannstr. - Köhnenstraße - am Burgacker - Lifesaver (AK),100
6,2019-12-16 00:00:00,A (K),Fridays for future - Gemeinsam gegen die Klimakrise,2020-02-07 00:00:00,2020-02-07 00:00:00,13:30-15:00,HBF - Friedrich-Wilhelm-Str. - Sonnenwall - Kuhtor - Königsstraße - Forum (AK),100
7,2019-12-18 00:00:00,M,Fridays gegen Altersarmut,2020-01-24 00:00:00,2020-01-24 00:00:00,15:00-1800,Marktplatz Friemersheim am Podest,1-50
8,2019-12-19 00:00:00,K,ÖPNV in Duisburg,2020-01-06 00:00:00,2020-01-06 00:00:00,17:30-19:30,DU-Stadtmitte; Lifesaver-Brunnen,40-50
9,2019-12-28 00:00:00,K,"Tierrechte, Veganismus, Klimawandel ",2020-01-02 00:00:00,2020-01-02 00:00:00,17:00-20:00,DU-Stadtmitte; Vor dem Forum,10-15
10,2019-12-28 00:00:00,K,"Tierrechte, Veganismus, Klimawandel ",2020-01-11 00:00:00,2020-01-11 00:00:00,17:00-20:00,DU-Stadtmitte; Vor dem Forum,10-15
11,2019-12-28 00:00:00,K,"Tierrechte, Veganismus, Klimawandel ",2020-01-17 00:00:00,2020-01-17 00:00:00,17:00-20:00,DU-Stadtmitte; Vor dem Forum,10-15
12,2019-12-28 00:00:00,K,"Tierrechte, Veganismus, Klimawandel ",2020-01-25 00:00:00,2020-01-25 00:00:00,17:00-20:00,DU-Stadtmitte; Vor dem Forum,10-15
13,2019-12-28 00:00:00,K,"Tierrechte, Veganismus, Klimawandel ",2020-01-31 00:00:00,2020-01-31 00:00:00,17:00-20:00,DU-Stadtmitte; Vor dem Forum,10-15
14,2020-01-03 00:00:00,K,Neujahrsempfang (inhaltlich wird es um die ungewisse Zukunft der Standorte gehen),2020-01-05 00:00:00,2020-01-05 00:00:00,12:00-15:00,"47259 DU, Mannesmannstr. 101, Hüttenheim, vor Tor 9",150-200
15,2020-01-07 00:00:00,A (K),1. Mai 2020 - Tag der Arbeit,2020-05-01 00:00:00,2020-05-01 00:00:00,10:00-13:00,DU-Hamborn; Amtsgerichtsplatz - Duisburger Straße - Hamborn Feuerwache - Alleestraße - Emscherstraße - Landschaftspark Nord - Gasometer (AK),3.000 (A) -4.000 (K)
16,2019-12-11 00:00:00,K,Beteiligung an der weltweiten Kampagne - ONE BILLION RISING 2020- gegen die alltägliche Gewalt gegen Frauen und Mädchen durch eine Straßenaktion ,2020-02-14 00:00:00,2020-02-14 00:00:00,14:00-17:00,DU-Stadtmitte; Königstraße (zwischen Forum und hängenden Gärten),500
17,2020-01-09 00:00:00,A (K),Ausbau A59 / DU für den Tunnel,2020-01-22 00:00:00,2020-01-22 00:00:00,15:30 - 19:30,Landschaftspark Duisburg Nord Emscherstraße 1 - Gebläsehalle/Parkplatz Emscherstraße,150
18,2020-01-15 00:00:00,M,DIE RECHTE für Duisburg,2020-01-18 00:00:00,2020-01-18 00:00:00,10:00-12:00,DU-Walsum; Kometenplatz,10-15
19,2020-01-15 00:00:00,A (K),"Ride of Silence.
Fahrrad-Demonstration zum Gedenken an Radfahrer*innen, die im
Straßenverkehr verletzt und getötet wurden",2020-05-20 00:00:00,2020-05-20 00:00:00,19:00-20:30,"Start Duisburg Hbf  - Friedrich-Wilhelm-Str
Steinsche Gasse - Schwanenstr. - Schwanentor - Ruhrorter Straße - Hafenstr
 - Ziel Kreisel und zurück gleiche Straßen zum Hbf",50
20,2020-01-14 00:00:00,K,Rettet die Sechs-Seen-Platte,2020-01-30 00:00:00,2020-01-30 00:00:00,14:00-15:00,Auf dem Bürgersteig vor dem Rathaus Duisburg Haupteingang,20-50
21,2020-01-14 00:00:00,A (K),NRW blüht auf,2020-01-17 00:00:00,2020-01-17 00:00:00,10:00-16:00,Kreis Wesel - Mercator Center Duisburg (Berliner Straße 90; 47138 Duisburg),20
22,2020-01-16 00:00:00,A (K),Angriff der türkischen Luftwaffe auf Singal – Region vom 15.01.2020,2020-01-18 00:00:00,2020-01-18 00:00:00,14:00-17:00,Lifesaver-Brunnen - Kuhstraße - Kuhtor - Untermauerstraße - Steinsche Gasse - Friedrich-Wilhelm-Straße - Portsmouthplatz,250
23,2020-01-19 00:00:00,K,"Ride of Silence.
Fahrrad-Demonstration zum Gedenken an Radfahrer*in
Straßenverkehr verletzt und getötet wurden",2020-02-03 00:00:00,2020-02-03 00:00:00,17:30-19:30,DU-Stadtmitte; Lifesaver-Brunnen,40-50
24,2020-01-20 00:00:00,M,Gedenkveranstaltung zum diesjährigen Volkstrauertag / Kranzniederlegung am Mahnmal,2020-11-15 00:00:00,2020-11-15 00:00:00,ab 11:00,"Waldfriedhof Duisburg-Wanheimerort, Düsseldorfer Straße 601, in der neuen
Trauerhalle des Krematoriums",30-40
25,2020-01-21 00:00:00,A (K),"Schule hoch drei: bunt-stark-solidarisch
Für bessere schulische Bedingungen",2020-02-18 00:00:00,2020-02-18 00:00:00,10:00-13:00,Menschenkette von König-Heinrich-Platz bis Porststraße - Aufzug zum Rathaus,500-700
26,2020-01-26 00:00:00,K,"Tierrechte, Veganismus, Klimawandel ",2020-02-08 00:00:00,2020-02-08 00:00:00,15:00-18:00,DU-Stadtmitte; Vor dem Forum,10-15
27,2020-01-26 00:00:00,K,"Tierrechte, Veganismus, Klimawandel ",2020-02-14 00:00:00,2020-02-14 00:00:00,17:00-20:00,DU-Stadtmitte; Vor dem Forum,10-15
28,2020-01-26 00:00:00,K,"Tierrechte, Veganismus, Klimawandel ",2020-02-22 00:00:00,2020-02-22 00:00:00,15:00-18:00,DU-Stadtmitte; Vor dem Forum,10-15
29,2020-01-26 00:00:00,K,"Tierrechte, Veganismus, Klimawandel ",2020-02-28 00:00:00,2020-02-28 00:00:00,17:00-20:00,DU-Stadtmitte; Vor dem Forum,10-15
30,2020-01-27 00:00:00,K,Demo gegen Assad und Putin,2020-02-01 00:00:00,2020-02-01 00:00:00,15:00-17:30,"Duisburg Hbf. - Königstraße - Kuhstraße / Sonnenwall ""Die Schiffsmasken""",60-100
31,2020-01-27 00:00:00,K ,gegen die Tierhaltung des Circus Salto,2020-01-31 00:00:00,2020-01-31 00:00:00,12:30-14:15,"Barbarastraße / Gerlingstraße auf der Zirkusseite, 47167 Duisburg ",10
32,2020-01-29 00:00:00,K,Demonstration zum Christopher-Street-Day 2020,2020-07-25 00:00:00,2020-07-25 00:00:00,12:10-13:30,"Rathaus Vorplatz, Kühlingsgasse, Münzstraße, Kuhstraße, Königstraße, Düsseldorfer Straße, Friedrich-Wilhelm-Straße, Goldstraße, Dellplatz, Grünstraße, Realschulstraße (hier einzig schul/lesbische Kneipe in DU), Düsseldorfer Straße, Friedrich-Wilhelm-Straße",500
33,2020-02-03 00:00:00,M,Fridays gegen Altersarmut,2020-02-15 00:00:00,2020-02-15 00:00:00,15:00-18:00,Marktplatz Friemersheim am Podest,40+
34,2020-02-05 00:00:00,K,Kein Pakt mit Faschistinnen - Alle zusammen gegen den Faschismus,2020-02-07 00:00:00,2020-02-07 00:00:00,16:00:00,"Köhnenstr. 11, 47051 Duisburg",30
35,2020-02-06 00:00:00,A (K),"Wahl des Ministerpräsidenten in Thüringen; ""Stopp gegen Faschismus“ 
 ",2020-02-06 00:00:00,2020-02-06 00:00:00,17:00-19:00,(AK) Stapeltor 17-19 am DGB Haus - Pulverweg - Köhnenstraße 11 am FDP Büro (AK),50-100
36,2020-02-06 00:00:00,M,"Experimente an Tieren, die an der Universität stattgefunden haben",2020-02-07 00:00:00,2020-02-07 00:00:00,18:00-21:00,"vor dem Zugang zur Universität Duisburg/Essen, auf dem Bürgersteig der Mülheimer Str., gegenüber der Haltestelle Zoo/Uni.",max. 15
37,2020-02-11 00:00:00,A (K),internationaler Weltfrauentag am 07.03.2020,2020-03-07 00:00:00,2020-03-07 00:00:00,11:00-17:00,"Königstraße, Livesaver Brunnen, Schiffsmakenbrunnen, Kuhtor, Forum, Sonnenwall Königsgalerie",200
38,2020-02-12 00:00:00,K,Empty the tanks,2020-05-09 00:00:00,2020-05-09 00:00:00,11:00-15:00,DU-Duissern; Mülheimer Straße 277; Duisburger Zoo,50
39,2020-02-12 00:00:00,A (K),"KIDICAL MASS Fahrrad-Demo für Kinder und Erwachsene zur Verbesserung der Situation für Radfahrer, insbesondere für Jugendliche und Kinder",2020-03-22 00:00:00,2020-03-22 00:00:00,15:00-16:00,"Start Duisburg Hbf, Friedrich-Wilhelm-Str, Steinsche Gasse,
Gutenbergstr, Köhnenstr., Landfermannstr., Saarstr., Mercatorstr.,
Düsseldorfer Str., Kantpark Spielplatz",50
40,2020-02-12 00:00:00,A (K),Fridays for future - Gemeinsam gegen die Klimakrise,2020-03-06 00:00:00,2020-03-06 00:00:00,14:00-16:00,HBF - Friedrich-Wilhelm-Str. - Sonnenwall - Musfeldstr. - Steische Gasse - Kuhstraße - Kuhtor - Königsstraße - Forum (AK),100
41,2020-02-20 00:00:00,A (K),Rechter Terroranschlag in Hanau,2020-02-22 00:00:00,2020-02-22 00:00:00,14:00-18:00,Portsmouthplatz (vor dem Hbf) Friedrich-Wilhelm-Str. Düsseldorfer Str. Königstraße Stadttheater Duisburg,150
42,2020-02-20 00:00:00,K,Rechter Terroranschlag in Hanau,2020-02-20 00:00:00,2020-02-20 00:00:00,18:00-19:00,Forum Duisburg,50
43,2020-02-24 00:00:00,K,"""Gegen die AfD""",2020-02-29 00:00:00,2020-02-29 00:00:00,10:00-16:00,Kreuzung Friedrich-Ebert-Straße/Ecke Schwarzenbergerstraße in Duisburg-Rheinhausen ,50
44,2020-02-24 00:00:00,K,"""Wie weiter mit der Stahlindustrie in Duisburg""",2020-03-02 00:00:00,2020-03-02 00:00:00,17:30-19:30,Königstraße König-Heinrich-Platz Höhe Lifesaver-Brunnen,40-50
45,2020-02-20 00:00:00,A (K),Fridays for future - Gemeinsam gegen die Klimakrise,2020-04-24 00:00:00,2020-04-24 00:00:00,13:00-20:00,Königsstraße (vor dem Forum) - König-Heinrich-Platz (vorbei an den Wiesen) - Landfermannstraße - Saarstraße - Mercatorstraße - Friedrich-Wilhelm-Straße - Steinsche Gasse - Kuhstraße -Königsstraße,mehrere Tausend
46,2020-02-28 00:00:00,K,Waldbrand am Gefängnis von Abdullah Öcalan,2020-02-28 00:00:00,2020-02-28 00:00:00,18:00-18:30,"DU-Stadtmitte; Schiffsmaskenbrunnen, Kuhtor",40-60
47,2020-02-29 00:00:00,K,"Tierrechte, Veganismus, Klimawandel",2020-03-07 00:00:00,2020-03-07 00:00:00,15:00-18:00,DU-Stadtmitte; Vor dem Forum,10-15
48,2020-02-29 00:00:00,K,"Tierrechte, Veganismus, Klimawandel",2020-03-13 00:00:00,2020-03-13 00:00:00,17:00-20:00,DU-Stadtmitte; Vor dem Forum,10-15
