lfd. Nr.,Posteingang,Veranstalter/Vertreter,Thema,Versammlungsort,Datum der Vers.,Zeit
1,2012-09-11 00:00:00,"DIE LINKE, Stadtverband Erfurt","""Thüringen rockt""",Anger 1 / Ursulinenkloster,2013-05-31 00:00:00,13.00 - 22.00
,,,,,,
2,2012-11-12 00:00:00,SOKA-Run e.V.,"""Halterkunde statt Rassenliste""",Willy-Brand-Platz à Bahnhofstraße à Juri-Gagarin-Ring à Löbertor à Anger à Bahnhofstraße à Willy-Brand-Platz,2013-06-22 00:00:00,12.00 - 16.30
3,2012-03-13 00:00:00,DGB Thüringen,"""1. Mai""",Anger,2013-05-01 00:00:00,
4,2010-10-07 00:00:00,CDU Erfurt,"""Aktuelle Lage""",Fischmarkt,2013-05-01 00:00:00,10.00 - 16.00
5,2012-12-27 00:00:00,Einzelperson,"""Arbeit , Recht, Freiheit""",Bahnhofsvorplatz à Kurt-Schumacher-Straße à Schmidtstedter Straße à Trommsdorffstraße à Juri-Gagarin-Ring à Löberstraße à Löberwallgraben à Schillerstraße à Stauffenbergallee à Trommsdorffstraße à Kurt-Schumacher-Straße à Bahnhofsvorplatz,2013-05-01 00:00:00,12.00 - 18.00
6,2013-01-03 00:00:00,Die Linke.Erfurt,Gedenkveranstaltung Ehrung Luxemburg-Liebknecht,Rosa-Luxemburg-Platz,2012-01-20 00:00:00,09.00 - 10.45
7,2013-01-07 00:00:00,Kulturverein Mesopotamien,"Internationale Kampagne ""Freiheit für Öcalan""",Angerdreieck,2013-01-09 00:00:00,15.00 - 18.00
,,,,Willy-Brandt-Platz,2013-01-12 00:00:00,13.00 - 16.00
007a,2013-01-10 00:00:00,Kulturverein Mesopotamien,Ermordung von drei kurdischen PolitikerInnen,Willy-Brandt-Platz à Bahnhofstraße à Anger à Schlösserstraße à Fischmarkt,2013-01-12 00:00:00,14.00 - 16.00
8,2013-01-16 00:00:00,Einzelperson,Bundesweiter Aktionstag gegen Winterabschiebungen / für einen vollständigen Winterabschiebestopp,"Gehweg Reglermauer, auf Höhe Schulhoftor Edith-Stein-Schule",2013-01-18 00:00:00,10.00 - 12.30
9,2013-01-16 00:00:00,DIE LINKE,Kommunen in Not,"Jürgen-Fuchs-Straße, Erfurt",2013-01-24 00:00:00,13.00 -15.00
10,2013-01-15 00:00:00,Universität Erfurt,"""Campus Anger-öffentliche Vernunftseinübungen-historische Bildung als Menschenrechtsbildung""",Angerdreieck,2013-04-29 00:00:00,13.00 - 18.00
,,,,,,
,,,"""Campus Anger-öffentliche Vernunftseinübungen-ohne Angst verschieden sein können""",,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,Angerdreieck,2013-04-30 00:00:00,12.00 -18.00
11,2013-01-17 00:00:00,PETA Deutschland,"""PETAs Anti-Zoo Aktion",vor dem Haupteingang des Erfurter Zoos / Zoopark,2013-01-31 00:00:00,15.00 - 16.10
12,2013-01-21 00:00:00,Erfurter Bündnis für soziale Gerechtigkeit,Donnerstagskundgebungen,Angerdreieck,Januar bis Juni,ab 17.00
13,2013-01-23 00:00:00,Jusos in der SPD Thüringen,"""1. Mai - Nazifrei""",Spielbergtor / Windhorststraße / Schillerstraße,2013-05-01 00:00:00,10.00 - 18.00
14,2013-01-23 00:00:00,SPD-Stadtratsfraktion,"""1. Mai - Nazifrei""",Schillerstraße/ Bahnhofstraße / Spielbergtor,2013-05-01 00:00:00,10.00 -18.00
15,2013-01-23 00:00:00,Naturfreundejugend Thüringen,"""1. Mai - Nazifrei""",Johannesstraße / Boyneburgufer / Johannesufer,2013-05-01 00:00:00,10.00 -18.00
16,2013-01-24 00:00:00,SPD-Stadtratsfraktion,"""1. Mai - Nazifrei""",Karl Marx Platz,2013-05-01 00:00:00,10.00 -18.00
17,2013-01-24 00:00:00,SPD-Stadtratsfraktion,"""1. Mai - Nazifrei""",Vollbrachtstraße / Mittelhäuser Str. / Riethstraße,2013-05-01 00:00:00,10.00 -18.00
18,2013-01-24 00:00:00,SPD-Ortsverein Erfurt-Altstadt,"""1. Mai - Nazifrei""",Am Malzwerk / Magdeburger Allee,2013-05-01 00:00:00,10.00 -18.00
19,2013-01-24 00:00:00,"Vereinte Dienstleistungsgewerkschaft ver.di, ","""1.Mai, Das ist unser Tag -nazifrei""",Hof des ver.di-Gebäudes,2013-05-01 00:00:00,10.00 - 20.00
,,,,,,
,,,,Schillerstraße 44 à Startkundgebung Kaffeetrichter à Kreuzung Schillerstraße/Puschkinstraße (Zwischenkundgebung) àPuschkinstraße/Ecke Elisabethstraße (Zwischenkundgebung) à Charlottenstraße à Schillerstraße à Kaffeetrichter (Abschlusskundgebung),2013-05-01 00:00:00,11.00 - 18.00
20,2013-01-28 00:00:00,IG Metall,"""1. Mai - Nazifrei""",Krämpferufer / Krämpferstraße / Schmidtstedter Ufer,2013-05-01 00:00:00,10.00 - 18.00
21,2013-01-29 00:00:00,Jusos in der SPD Erfurt,"""1. Mai - Nazifrei""",Johann-Sebastian-Bach-Straße / Windthorststraße / Häßlerstraße / Friedrich-Ebert-Straße,2013-05-01 00:00:00,10.00 - 18.00
