Lfd. Nr,PE,Versammlungsanmelder,Thema,Ort der Versammlung / Aufzuggstrecke,Datum der Versammlung,Uhrzeit der Versammlung
1.0,2015-06-18,NPD Erfurt,Die Linken bringen uns den Volkstod,Anger à Krämpferstraße à Juri-Gagarin-Ring à Trommsdorfstraße à Lutherstraße à Regierungsstraße à Anger ,2016-05-01 00:00:00,11:00 – 20:00 Uhr
,,,,,,
,,ABGESAGT,,,,
2.0,,CSD in  der Mitte Deutschlands – Erfurt e.V. – Kurzform: CSD Erfurt e.V.,CSD Erfurt 2016 – noch kein Motto,,2016-08-27 00:00:00,
3.0,2015-11-04,Die Linke Stadtverband Erfurt,"Linkes Spektakel -  ""Thüringen Rockt""","Anger 1 , vor dem Urselinenkloster  ",2016-06-10 00:00:00,8:00 – 20:30/21:00 Uhr
4.0,2015-05-27,"Deutscher Gewerkschaftsbund, Stadtverband Erfurt",1. Mai Tag der Arbeit,Anger Erfurt,2016-05-01 00:00:00,06:00 – 18.00 Uhr 
,,,,Aufzug: Start ggü. der Staatskanzlei à Regierungsstraße à Lutherstraße à Karl-Marx-Platz à Juri-Gagarin-Ring à Bahnhofsstraße à Anger,,
,,,,,,09:30 – 11:00 Uhr
5.0,2015-07-09,Die Rechte ,"""Heraus zum 1. Mai""",Schillerstraße à Stauffenbergallee à Trommsdorfstraße àJuri-Gagarin-Ring à Zwischenkundgebung Juri-Gagarin-Ring/ Bahnhofstraße à Anger ,2016-05-01 00:00:00,12:00 – 18:00 Uhr
,,,,Endkundgebung,,
6.0,2015-11-05,AfD-Thüringen ,Thüringen und  Deutschland dienen – Asylchaos  beenden,Domplatz,2016-01-13 00:00:00,19:00 – 21:00 Uhr
7.0,2015-11-05,AfD-Thüringen ,Thüringen und  Deutschland dienen – Asylchaos  beenden,Domplatz   ABGESAGT,2016-01-27 00:00:00,19:00 – 21:00 Uhr
8.0,2015-11-05,AfD-Thüringen,Thüringen und  Deutschland dienen – Asylchaos  beenden,Domplatz  ABGESAGT,2016-02-10 00:00:00,19:00 – 21:00 Uhr
9.0,2015-11-05,AfD-Thüringen ,Thüringen und  Deutschland dienen – Asylchaos  beenden,Domplatz  ABGESAGT,2016-02-24 00:00:00,19:00 – 21:00 Uhr
10.0,2015-11-05,AfD-Thüringen,Thüringen und  Deutschland dienen – Asylchaos  beenden,Domplatz  ABGESAGT,2016-03-09 00:00:00,19:00 – 21:00 Uhr
11.0,2015-11-05,AfD-Thüringen,Thüringen und  Deutschland dienen – Asylchaos  beenden,Willy-Brandt-Platz  ABGESAGT,2016-04-06 00:00:00,19:00 – 21:00 Uhr
12.0,2015-11-05,AfD-Thüringen,Thüringen und  Deutschland dienen – Asylchaos  beenden,Domplatz  ABGESAGT,2016-04-20 00:00:00,19:00 – 21:00 Uhr
13.0,2015-11-05,AfD-Thüringen,Thüringen und  Deutschland dienen – Asylchaos  beenden,Willy-Brandt-Platz ABGESAGT,2016-05-04 00:00:00,19:00 – 21:00 Uhr 
,,,,,,
14.0,2015-11-05,AfD-Thüringen,Thüringen und  Deutschland dienen – Asylchaos  beenden,Domplatz,2016-05-18 00:00:00,19:00 – 21:00 Uhr
15.0,2015-11-05,AfD-Thüringen,Thüringen und  Deutschland dienen – Asylchaos  beenden,Willy-Brandt-Platz ,2016-06-08 00:00:00,19:00 – 21.00 Uhr
,,,,ABGESAGT,,
16.0,2015-11-05,AfD-Thüringen,Thüringen und  Deutschland dienen – Asylchaos  beenden,Domplatz ABGESAGT,2016-06-22 00:00:00,19:00 – 21:00 Uhr
17.0,2015-11-05,AfD-Thüringen,Thüringen und  Deutschland dienen – Asylchaos  beenden,Willy-Brand-Platz ABGESAGT,2016-08-24 00:00:00,19:00 – 21:00 Uhr
18.0,2015-11-05,AfD-Thüringen,Thüringen und  Deutschland dienen – Asylchaos  beenden,Willy-Brandt-Platz ABGESAGT,2016-09-07 00:00:00,19:00 – 21:00 Uhr
19.0,2015-11-05,AfD-Thüringen,Thüringen und  Deutschland dienen – Asylchaos  beenden,Domplatz,2016-09-21 00:00:00,19:00 – 21:00 Uhr
20.0,2015-11-05,AfD-Thüringen,Thüringen und  Deutschland dienen – Asylchaos  beenden,Willy-Brandt-Platz,2016-10-05 00:00:00,19:00 – 21:00 Uhr
21.0,2015-11-05,AfD-Thüringen,Thüringen und  Deutschland dienen – Asylchaos  beenden,Domplatz,2016-10-26 00:00:00,19:00 – 21:00 Uhr
22.0,2015-11-05,AfD-Thüringen,Thüringen und  Deutschland dienen – Asylchaos  beenden,Domplatz   ABGESAGT,2016-11-09 00:00:00,19:00 – 21:00 Uhr
23.0,2015-11-05,AfD-Thüringen,Thüringen und  Deutschland dienen – Asylchaos  beenden,Willy-Brandt-Platz  ABGESAGT,2016-11-23 00:00:00,19:00 – 21:00 Uhr
