Lfd. Nr,PE,Versammlungsanmelder,Thema,Ort der Versammlung /,Datum der Versammlung,Uhrzeit der Versammlung
1.0,2015-11-06,DGB Bezirk Hessen-Thüringen,"Mitmenschlich in Thüringen–Bündnis für ein Thüringen der Demokratie, Vielfalt und Mitmenschlichkeit",Domplatz,2017-11-09 00:00:00,16:00 – 22:00 Uhr
2.0,2016-05-10,DGB Jugend Erfurt,"Jugend, heraus zum 01. Mai !",Aufzug Anger à Willy-Brandt-Platz à Anger,2017-05-01 00:00:00,11.30 – 18.00 Uhr
,,ABGESAGT ,,,,
3.0,2016-08-18,DIE LINKE Thüringen,Thüringen rockt,Anger (vor Anger 1),2017-06-16 00:00:00,08.00 – 21.00 Uhr
,,, -Entfällt -,,,
4.0,2016-10-17,CSD Erfurt e.V.,CSD Erfurt 2017,Anger (vor Anger 1),2017-08-26 00:00:00,14.00 – 21.00 Uhr
5.0,2016-11-02,DIE LINKE Thüringen,Demokratie braucht Minderheitsrechte – Religionsfreiheit gilt für Alle,Johann-Sebastian-Bach-Straße ,2017-01-24 00:00:00,16.30 – 20.00 Uhr
,,,,,,
,,ABGESAGT,,,,
6.0,2016-11-11,Offenes Jugendbüro RedROXX,Religionsfreiheit ist ein Grundrecht – Islamfeindlichkeit die Rote Karte zeigen,Jürgen-Fuchs-Straße 1 (vor Thüringer Landtag),2017-01-24 00:00:00,16.00 – 20.00 Uhr
7.0,2016-12-21,Brennessel e.V.,One Billion Rising,Anger (Angerdreieck),2017-02-14 00:00:00,16.30 – 18.30 Uhr
8.0,2016-12-21,DIE LINKE Erfurt,Ehrung Luxemburg / Liebknecht,Rosa-Luxemburg-Platz,2017-01-15 00:00:00,09.30 – 10.15 Uhr
9.0,2017-01-10,Gewerkschaft Erziehung und Wissenschaft in Thüringen,Weil wir es wert sind – Tarifrunde im öffentlichen Dienst der Länder,Aufzug Fischmarkt à Anger à Staatskanzlei,2017-02-02 00:00:00,14.00 – 16.30 Uhr
10.0,2017-01-10,DGB Region Thüringen,1.       Mai 2017,Staatskanzlei à Anger,2017-05-01 00:00:00,06.00 – 16.00 Uhr
11.0,2017-01-16,Erfurter Bündnis für soziale Gerechtigkeit – gegen Rechtsextremismus,"Mahnwachen, Kundgebungen",Angerdreieck,26.01.2017 – 27.04.2017,17.00 – 18.00 Uhr
12.0,2017-01-16,BUND Erfurt e.V. und Attac Erfurt,Enthüllung eines Großplakates im Rahmen der EU-CETA-Ratifizierung,Biereyestraße 1,2017-01-25 00:00:00,10.00 – 11.00 Uhr
13.0,2017-01-20,Deutsches Tierschutzbüro e.V.,Echtpelz in der Mode,Anger (Höhe neuer Angerbrunnen),2017-01-26 00:00:00,09.15 – 12.00  Uhr
14.0,2017-01-20,Jusos in der SPD,Afghanistan ist nicht sicher!  #keinsicheresland,Aufzug Fischmarkt à Staatskanzlei,2017-02-11 00:00:00,14.00 – 18.00 Uhr
15.0,2017-01-25,BUND-Thüringen e.V.,Demonstration gegen den Baubeginn der Hühnermastanlage in Erfurt/Schwerborn,Bei der Alten Wiese,2017-01-31 00:00:00,15.00 – 16.00 Uhr
16.0,2017-01-26,Kulturverein Mesopotamien e.V.,"Freiheit für Öcalan, Weg mit dem PKK Verbot",Aufzug Urbicher Kreuz à Jürgen-Fuchs-Straße ,2017-02-02 00:00:00,11.00 – 18.00 Uhr
17.0,2017-01-27,Kulturverein Mesopotamien e.V.,"Freiheit für Öcalan, Frieden in Kurdistan, Weg mit dem PKK Verbot",Aufzug Zoopark à Angerdreieck,2017-02-01 00:00:00,13.00 – 19.00 Uhr
18.0,2017-01-26,Die Rechte Mittelthüringen,Deutsche Familien zuerst – Denn Heimat braucht Zukunft,Bolzplatz Hanoier Straße ,2017-06-24 00:00:00,10.00 – 20.00 Uhr
,,,,,,
,,- ABGESAGT  -,,,,
19.0,2017-01-24,Landesfrauenrat Thüringen e.V.,Endlich partnerschaftlich durchstarten – 10 Jahre Equal Pay Dax,Willy-Brandt-Platz,2017-03-17 00:00:00,13.00 – 17.00 Uhr
20.0,2017-02-14,Critical Mass Erfurt,Verkehrspolitische Radtour – Wir behindern nicht den Verkehr – wir sind Verkehr,Willy-Brandt-- > Fischmarkt,2017-02-24 00:00:00,18.30 – 20.30 Uhr
21.0,2017-02-17,Sprachcafe Erfurt,Mahnwache gegen Abschiebungen nach Afghanistan,Fischmarkt,2017-02-22 00:00:00,18.00 – 21.00 Uhr
22.0,2017-02-21,Pulse of Europe Erfurt,Pulse of Europe Erfurt – ein pro-europäische Kundgebung,Wenigemarkt,2017-03-05 00:00:00,14.00 – 16.00 Uhr
23.0,2017-02-28,Pulse of Europe Erfurt,Pulse of Europe Erfurt – ein pro-europäische Kundgebung,Willy-Brandt-Platz,2017-03-19 00:00:00,14:00-16:00 Uhr
24.0,2017-03-06,Ver.di,Frauentag – Pflegetarifvertrag,Hirschgarten,2017-03-08 00:00:00,11.30 – 15.00 Uhr
25.0,2017-03-06,SOKA Freunde Thüringen e.V.,Halterkunde statt Rasseliste,Domplatz à Innenstadt à Domplatz,2017-05-13 00:00:00,14.00 – 17.00 Uhr
26.0,2017-03-06,Einzelperson,Freiheit für Deniz Yüzel! Stopp der Repression gegen Journalist*innen & Wisscnschaftler*innen in der Türkei,"Vor dem Haupteingang der Universität, Nordhäuser Straße 63",2017-03-09 00:00:00,10.30 – 11.00 Uhr
27.0,2017-03-05,BUND Stadtverband Erfurt,Fukushima Mahnwache,Angerdreieck,2017-03-13 00:00:00,18.00 – 19.00 Uhr
28.0,2017-03-06,Pulse of Europe Erfurt,Pulse of Europe Erfurt – eine pro-europäische Kundgebung,Wenigemarkt,2017-03-12 00:00:00,13.15 – 15.30 Uhr
29.0,2017-03-06,Offene Arbeit des Evangelischen Kirchenkreises Erfurt,Militär schafft keinen Frieden,Vor Löberfeldkaserne (Zeppelinstraße 18),2017-04-13 00:00:00,14.30 – 16.45 Uhr
30.0,2017-03-07,Einzelperson,Stoppt den Krieg in Shingal (Irak),Willy-Brandt-Platz à Angerdreieck,2017-03-11 00:00:00,13.00 – 16.00 Uhr
31.0,2017-03-10,Antifaschistische Koordination Erfurt,Das Ku-Klux-Klan Kreuz muss fallen,An der Parkharfe à Schwarzburger Straße à An der Parkharfe,2017-03-22 00:00:00,17.00 – 19.30 Uhr
32.0,2017-03-16,Die Rechte Thüringen,Volkswirtschaft statt Finanzlobby – Gerechte Löhne schaden nur den Kapitalisten,Schillerstraße à Domplatz,2017-07-01 00:00:00,13.00 – 20.00 Uhr
33.0,2017-03-16,Animal Rights Watch e.V.,"Mord ist ihr Hobby (Kundgebung gegen die Messeveranstaltung ""Reiten, Jagen, Fischen"")",Platz vor der Messe,2017-04-01 00:00:00,11.00 – 13.00 Uhr
34.0,2017-03-21,Pulse of Europe,Pulse of Europe – eine pro-europäische Kundgebung,Wenigemarkt,2017-03-26 00:00:00,13.30 – 15.30 Uhr
35.0,2017-03-16,DIE PARTEI LV Thüringen,Dem größten Nationalschauspieler der letzten 1000 Jahre: Bernd Höcke,Fischmarkt,2017-04-20 00:00:00,18.00 – 19.30 Uhr
36.0,2017-03-22,Erfurter Rollrunde e.V.,Spass am Rollen – Bahn frei für alternative Fortbewegungsmittel und Rollsportarten,Aufzug: Willy-Brandt-Platz à Johann-Sebastian-Bach-Straße,2017-07-01 00:00:00,12.00 – 13.00 uhr
37.0,2017-03-22,DIE LINKE Thüringen,Thüringen rockt,Messe,2017-06-16 00:00:00,16.00 – 22.00 Uhr
38.0,2017-03-23,DIE LINKE Thüringen,Wahlkampfabschluss Bundestagswahl 2017,Anger (vor Anger 1),2017-09-22 00:00:00,10.00 – 18.00 Uhr
39.0,2017-03-27,Naturfreundejugend Erfurt,Solidarisch aktiv – miteinander Grenzen überwinden ,Wenigemarkt,2017-10-03 00:00:00,10.00 – 18.00 Uhr
,,ABGESAGT,,,,
40.0,2017-03-28,Pulse of Europe Erfurt,Pulse of Europe Erfurt – ein pro-europäische Kundgebung,Wenigemarkt,2017-04-02 00:00:00,13.30 – 15.30 Uhr
41.0,2017-03-29,DGB Stadtverband Erfurt,"Pendleraktionstag ""Rentenkampagne""",Willy-Brandt-Platz,2017-05-31 00:00:00,05.00 – 08.00 Uhr
42.0,2017-03-29,DGB Jugend Thüringen,Die Arbeiter_innenbewegung ist international! Die rechte Hetze gegen unsere Kolleg_innen stoppen!,Schillerstraße 44,2017-07-01 00:00:00,10.00 – 16.00 Uhr
