Nr.,Datum,Art der Versammlung,Grund/Anlass,Ort bzw. Wegstrecke
,,,,
1.0,2014-01-11 00:00:00,dem. Aktion,Pflege am Boden,Kartoffelmarkt
2.0,2014-01-09 00:00:00,dem. Aktion,Mord der drei Frauen in Paris,Kartoffelmarkt
3.0,2014-01-11 00:00:00,dem. Aktion,Tag der Solidarität Syrien,Bertoldsbrunnen
4.0,2014-01-25 00:00:00,dem. Aktion mit Aufzug,Global March against Chemtrails and Geoengeneering,"Karlsplatz-Kundgebung-Auf der Zinnen-Kajo-Bertoldsbrunnen-Bertoldstraße-Platz der alten Synagoge, dort Kundgebung u. Auflösung"
5.0,2014-01-18 00:00:00,dem. Aktion,gegen Koalitionsvertrag und Kommunale Interessen der Freiburger,Bertoldsbrunnen
6.0,2014-02-01 00:00:00,dem. Aktion,Internationaler Tag der Privatsphäre,Kartoffelmarkt
7.0,2014-01-18 00:00:00,dem. Aktion mit Aufzug,Verstärkung für die Kurden in Ostsyrien,Kartoffelmarkt - Schiffstraße – Kaiser-Joseph-Straße – Zwischenkundgebung unmittelbar nördlich des Bertoldsbrunnens – Gerberau – Augustinerplatz –  Salzstraße – Kaiser-Joseph-Straße – Schiffstraße - Kartoffelmarkt
8.0,2014-01-25 00:00:00,dem. Aktion,Pelz und Vagnismus,Bertoldsbrunnen
9.0,"03.02., 10.02., 17.02., 24.02., 03.03.., 10.03., 17.03., 24.03., 31.03. und 07.04.2014",dem. Aktion mit Aufzug,Demonstration gegen Sozialkahlschlag und Hartz IV,Rathausplatz und Ecke Bertoldsbrunnen/Niemensstraße
10.0,2014-02-01 00:00:00,dem. Aktion mit Aufzug,Gegendemo zur Veranstaltung der Partei AfD,Haltestelle Hornusstr. - Bürgerhaus
11.0,2014-02-08 00:00:00,dem. Aktion,Pflege am Boden,Ostseite der Kajo ab Ecke Kajo/Schusterstr. Richtung Siegesdenkmal
12.0,2014-02-14 00:00:00,dem. Aktion mit Aufzug,Tanz-one billion rising Flashmob-gegen Gewalt an Frauen,Augustinerplatz-Gerberau-Humboldstr. Vorbei an der Uni-entlang der Werthmannstr.-Vorplatz v. Theater
