Nr.,Datum,Art der Versammlung,Grund/Anlass,Ort bzw. Wegstrecke,Unnamed: 5
,,,,,
1.0,2018-01-13 00:00:00,demonstrative Aktion (ob mit oder ohne Aufzug derzeit nicht bekannt),Togo Debout in Freiburg,Konrad-Adenauer-Platz,
2.0,2018-01-03 00:00:00,Demonstrative Aktion,Veganismus,Kajo Ecke Marktgasse,
3.0,2018-01-05 00:00:00,Demonstrative Aktion (ob mit oder ohne Aufzug derzeit nicht bekannt),Kundgebung in Solidarität mit dem Aufstand im Iran,Rathausplatz,
4.0,Tag der Urteilsverkündung,dem. Aktion,Kein Schlussstrich! – NSU-Komplex aufklären und auflösen!,Platz der Alten Synagoge,
5.0,2018-01-05 00:00:00,dem. Aktion,Helle Momente für Dieter Salomon,Theater-Platz der Alten Synagoge-Bertoldstraße-Rathausplatz,
6.0,2018-01-05 00:00:00,dem. Aktion,Unterstütung der iranischen Bevölkerung gegen Diktator ,Platz der Alten Synagoge,
7.0,2018-01-10 00:00:00,dem. Aktion,Tarifrunde Metall+Elektro,Weißerlenstr.-Hanferstr.-Bebelstr.,
8.0,2018-01-13 00:00:00,dem. Aktion,50 Jahre Diktatur in Togo,Konrad-Adenauer-Platz-Sedanstr. -Pl. d. Alten Syn.-Rotteckring- Unterlinden-Schiffstr.-Kajo-Berotldstr. -Pl. d. Alten Syn.,
9.0,2018-01-16 00:00:00,dem. Aktion,Solidarität mit Isfahan,Platz der Alten Synagoge,
10.0,2018-01-26 00:00:00,dem. Aktion,Veganismus,Bertoldsbrunnen,
11.0,"21.01.2018
09.03.2018",dem. Aktion,Solidarität mit Isfahan,Platz der Alten Synagoge,
12.0,2018-01-20 00:00:00,dem. Aktion mit Aufzug,Hände weg von Afrin - keine Waffen für die Türkei,Rathausplatz - Kajo - Salzstraße - Augustinerplatz - Gerberau - Kajo - Bertoldsbrunnen - Bertoldst - Platz der Alten Synagoge,
13.0,2018-01-23 00:00:00,dem. Aktion,Demonstration gegen Abschiebung. Zuflucht statt Abschiebung.,Platz der Alten Synagoge,
14.0,2018-02-15 00:00:00,dem. Aktion,Eine achtfache Mutter und die Richterin Eva V.-Christian Lais Päderast,"Kaiser-Joseph-Straße 143
Berliner Allee 3
(jeweils vor Jugendamt)
",
15.0,2018-01-22 00:00:00,dem. Aktion,Hände weg von Afrin - keine Waffen für die Türkei,Rathausplatz,
16.0,2018-02-14 00:00:00,dem. Aktion,One Billion Rising,vor dem Stadttheater,
