Nr.,Datum,Grund/Anlass,Ort bzw. Wegstrecke,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
1.0,2020-04-17 00:00:00,"Für Frauenrechte, insbesondere Abtreibung",Humboldtstraße – Kaiser-Joseph-Straße – Europaplatz (Zwischenkundgebung) – Kaiser-Joseph-Straße – Weberstraße – Merianstraße – Gauchstraße – Kartoffel-markt (Abschlusskundgebung) ,,,
2.0,2020-02-14 00:00:00,One billion rising,Platz der Alten Synagoge ,,,
3.0,2020-05-12 00:00:00,"Anerkennung, medizinische und soziale Versorgung, biomed. Forschung für ME (Myalgische Enzephalomy-elitis) /CFS (Chronic Fatigue Syndrome) Erkrankte",Platz der Alten Synagoge ,,,
4.0,"13.01. / 20.01.
27.01. / 03.02.
10.02. / 17.02.
02.03.2020","Soziale Ungerechtigkeit, Umweltschutz, Frieden",Ecke Bertoldstraße / Niemensstraße ,,,
5.0,"11.01.2020, 25.01.2020, 08.02.2020, 29.02.2020, 07.03.2020, 21.03.2020",Vegane Ernährung,Bertoldsbrunnen,,,
6.0,2020-01-24 00:00:00,Mahnwache gegen Altersarmut,Platz der Alten Synagoge,,,
7.0,2020-01-18 00:00:00,Tierversuche,Platz der Alten Synagoge - Sedanstraße – Konrad-Adenauer-Platz - Wiwilibrücke - Wentzingerstraße - Engelbergerstraße - Eschholzstraße - Breisacher Straße (Zwischenkundgebung mit Die-in vor der Baustelle des neuen Tierversuchslabors in der Breisacher Straße) - Breisacher Straße (zurück) - Zur Unterführung - Friedrichstraße - Rotteckring - Platz der Alten Synagoge.,,,
8.0,2020-01-17 00:00:00,Mahnwache für den Frieden,Bertoldsbrunnen,,,
9.0,2020-02-01 00:00:00,Versammlung zum Verbot der Internetplattform „linksunten.indymedia“,Bertoldsbrunnen,,,
10.0,2020-01-09 00:00:00,Mahnwache für den Frieden,Platz der Alten Synagoge,,,
11.0,2020-01-10 00:00:00,Klimagerechtigkeit,Konrad-Adenauer-Platz – je nach Teilnehmerzahl über Schnewlinstraße zur Siemens AG (Schnewlinstraße 6),,,
12.0,2020-01-25 00:00:00,"Infostand: Umweltschutz, Jugend, Inertaionale Soldarität",Platz der Alten Synagoge,,,
13.0,"20.01., 22.01., 27.01., 03.02., 04.02., 05.02., 07.02., 10.02., 11.02., 18.02., 26.02., 27.02., 28.02., 18.03., 19.03., 24.03., 26.03.2020",Mahnwache Verhandlungen Landgericht Freiburg sex. Missbrauch,"Landgericht Freiburg, Salzstraße 17, 79098 Freiburg i. Br.",,,
14.0,2020-01-13 00:00:00,Klimagerechtigkeit,Konrad-Adenauer-Platz – je nach Teilnehmerzahl über Schnewlinstraße zur Siemens AG (Schnewlinstraße 6),,,
15.0,2020-01-14 00:00:00,"Tierrechte, Veganismus",Bertoldsbrunnen,,,
16.0,2020-01-25 00:00:00,Welt-Aktionstag 5G Stopp,Rathausplatz (Auftaktkundgebung) – Rathausgasse – Rotteckring – Platz der Alten Synagoge (Zwischenkundgebung Bertoldstraße vor Buchhandlung „Walthari“) - Bertoldstraße – Bertoldsbrunnen (Zwischenkundgebung) – Kaiser-Joseph-Straße – Rathausgasse – Rathausplatz (Abschlusskundgebung).,,,
17.0,2020-01-17 00:00:00,Investitionen der Sparkasse in Braunkohle und Rüstung,vor der Sparkasse in der Kaiser-Joseph-Straße 186,,,
18.0,2020-01-16 00:00:00,Weltverbesserung,Platz der Alten Synagoge,,,
20.0,2020-01-25 00:00:00,Pressefreiheit,Platz der Alten Synagoge,,,
21.0,2020-01-18 00:00:00,Meeresschutz,Platz der Alten Synagoge,,,
22.0,2020-03-21 00:00:00,Kidical Mass (Fahrraddemo),Platz der Alten Synagoge – Rempartstraße – Holzmarkt – Wallstraße – Schwabentorring – Schlossbergring – Leopoldring – Friedrichring – Friedrichstraße – Zur Unterführung – Breisacher Straße – Eschholzstraße – Stühlingerstraße – Wentzingerstraße – Wiwilibrücke – Konrad-Adenauer-Platz – Schnewlinstraße – Bismarckallee – Friedrichstraße – Fahnenbergplatz – Rotteckring – Platz der Alten Synagoge (dort Abschlusskundgebung und Auflösung),,,
23.0,2020-01-18 00:00:00,"Hitlers politisches Testament und Zitate die die politische Lage der BRD heute spiegeln und die beweisen, dass Hitler die Wünsche heute und damals des Deutschen erfüllt",Bertoldsbrunnen,,,
24.0,2020-02-12 00:00:00,Mahnwache Internationaler Red Hand Day,Bertoldsbrunnen,,,
25.0,2020-01-31 00:00:00,Mahnwache für die Tiere,"Tullastr. 73, vor dem Schlachthof",,,
26.0,2020-01-21 00:00:00,"""Rave - Tanzen gegen Ungerechtigkeit und Umweltzerstörung (WWF in Davos)""",Platz der Alten Synagoge,,,
27.0,2020-01-25 00:00:00,"Cannabisprohibition und Kriminalisierung von Konsumenten, Patienten und Unternehmen",Platz der Alten Synagoge,,,
28.0,2020-01-24 00:00:00,Klimagerechtigkeit,Platz der Alten Synagoge - Bertoldstraße - Bertoldsbrunnen - Kaiser-Joseph-Straße - Europaplatz,,,
29.0,2020-02-08 00:00:00,Agrarpolitik der EU,Rathausplatz ,,,
30.0,2020-01-31 00:00:00,Mahnwache für Frieden,Bertoldsbrunnen,,,
31.0,2020-02-15 00:00:00,Mahnwache gegen Altersarmut,Platz der Alten Synagoge,,,
32.0,2020-01-24 00:00:00,Abschlussparty der Kapitalismus-kritischen Klimawoche,Audimax - Bertoldstraße - Bertoldsbrunnen - Kajo - Europaplatz - Friedrichring - Fahnenbergplatz,,,
33.0,2020-01-31 00:00:00,Protest gegen Kohleabbau,"Schnewlinstraße 6, vor der Siemens-Niederlassung",,,
34.0,2020-01-28 00:00:00,Autofreie Rempartstraße,"Rempartstraße, zwischen Mensa und Car-Sharingplätzen",,,
35.0,2020-01-31 00:00:00,Investitionen der Sparkasse in Braunkohle und Rüstung,vor der Sparkasse in der Kaiser-Joseph-Straße 186,,,
36.0,2020-02-01 00:00:00,StopAdani,"Schnewlinstraße 6, vor der Siemens-Niederlassung",,,
37.0,2020-02-01 00:00:00,Siemens handle verantwortlich StopAdani,"Ruhinger Weg St. Georgen, anschließend mit dem Fahrrad zur Schnewlinstr. 6 und in die Freiburger Innenstadt ",,,
38.0,2020-03-07 00:00:00,Internationaler Frauentag,Rathausplatz ,,,
39.0,2020-02-04 00:00:00,Aufklärung über Risiken von 5G,Rathausplatz,,,
40.0,2020-04-20 00:00:00,Hanf ist kein Verbrechen ,"PdAS mit Aufzug: Werthmannstr. - Rempartstr.-KaJo- Europaplatz- Friedrichring -Rotteckring-PdaS, ",,,
41.0,2020-02-08 00:00:00,Freiheit und Gerechtigkeit für Religion,Augustinerplatz,,,
42.0,2020-02-21 00:00:00,"Veganismus, Fastenzeit",Platz der Alten Synagoge,,,
43.0,2020-02-04 00:00:00,Autofreie Rempartstraße,"Rempartstraße, zwischen Mensa und Car-Sharingplätzen",,,
44.0,2020-02-07 00:00:00,"Besser nicht regieren, als mit Faschisten regieren.
Mahnwache gegen eine FDP geführte und von der AfD tolerierte Minderheitsregierung in Thüringen.
",Bertoldsbrunnen,,,
45.0,2020-02-07 00:00:00,Investitionen der Sparkasse in Braunkohle und Rüstung,vor der Sparkasse in der Kaiser-Joseph-Straße 186,,,
46.0,2020-02-08 00:00:00,Bundesweiter Aktionstag der Seebrücken #WirHaben-Platz,"Eisenbahnstraße 64 (auf dem Gehweg, dem schmalen Streifen zwischen den Bäu-men und auf dem Rand der Eisenbahnstraße)",,,
47.0,2020-02-06 00:00:00,Gegen AfD und FDP in Thüringen,Platz der Alten Synagoge - Bertoldstraße - Bertoldsbrunnen - Kaiser-Joseph-Straße - Schiffstraße - Unterlinden - Rotteckring - Platz der Alten Synagoge,,,
48.0,2020-02-14 00:00:00,Organspende: „Die PARTEI verschenkt ihr Herz“,Platz der Alten Synagoge,,,
49.0,2020-02-12 00:00:00,Ampelaktion zum Thema Tierrechte,Kreuzung Bismarckallee / Friedrichstr. ,,,
50.0,2020-02-14 00:00:00,Klimagerechtigkeit,Platz der Alten Synagoge,,,
51.0,2020-04-15 00:00:00,Schutz des ungeborenen Lebens,Humboldtstraße (Begrüßung und Gebet) – Kaiser-Joseph-Straße – Friedrichring – Rotteckring – Unterlinden – Schiffstraße – Kartoffelmarkt (Abschlusskundgebung),,,
52.0,2020-05-23 00:00:00,Legalisierung von Cannabis / „Global Marijuana March 2020“,Platz der Alten Synagoge - Bertoldstraße - Kaiser-Joseph-Straße - Europaplatz - Leopoldring - Auf der Zinnen - Herrenstraße - Oberlinden - Schwabentor - Greiffeneggring - Wallstraße - Holzmarkt - Rempartstraße - Belfortstraße - Wilhelmstraße - Bismarckallee - Friedrichstraße - Fahnenbergplatz - Rotteckring - Platz der Alten Synagoge.,,,
53.0,2020-04-24 00:00:00,Wir gegen Altersarmut,Platz der Alten Synagoge,,,
54.0,2020-03-14 00:00:00,Mahnwache: Fukushima nie vergessen,Rathausplatz,,,
55.0,2020-03-10 00:00:00,Mahnwache zu Tibet,Platz der Alten Synagoge,,,
56.0,"04.04.2020, 25.04.2020, 09.05.2020, 16.05.2020, 30.05.2020, 06.06.2020, 20.06.2020",Vegane Ernährung,"04.04.2020, 25.04.2020, 09.05.2020, 30.05.2020, 06.06.2020, 20.06.2020: 
Bertoldsbrunnen

16.05.2020:
Ecke Kaiser-Joseph-Straße/ Engelstraße
",,,
57.0,2020-02-20 00:00:00,Mahnwache bez. Attentat in Hanau,vor Johanneskirche,,,
