Nr.,Datum,Grund/Anlass,Ort bzw. Wegstrecke
1.0,2022-01-08 00:00:00,vegane Ernährung,Rathausplatz
2.0,2022-01-07 00:00:00,"Gedenkdemonstration - Oury Jalloh, das war Mord","Stühlinger Kirchplatz – Engelbergerstraße – Wentzingerstraße – Wiwilibrücke – Bismarckallee – Bertoldstraße – Platz der Alten Synagoge, dort Zwischenkundgebung – Bertoldstraße – Salzstraße Landgericht Freiburg, dort Abschlusskundgebung und Auflösung"
3.0,2022-01-03 00:00:00,Montagsspaziergang,Rathausplatz - Kajo - Schusterstr - Herrenstr - Engelstr - Kajo (dort Auflösung durch Polizei)
4.0,2022-01-04 00:00:00,Gegen eine drohende Impfpflicht!,Autokorso
5.0,2022-01-22 00:00:00,Antifaschistische Jahresauftaktdemo,Bertoldsbrunnen
6.0,2022-01-08 00:00:00,Solidarität mit Lützerath,Rotteckring
7.0,2022-01-07 00:00:00,Wie soll es weitergehen?,Rathausplatz
8.0,2022-01-11 00:00:00,Gegen eine drohende Impfpflicht!,Autokorso
9.0,2022-01-08 00:00:00,"Für Freiheit, Menschlichkeit und Vernunft. Wir fordern ein Ende aller Corona-Maßnahmen. Wir fordern eine freie Impfentscheidung und ein Ende der Impferpressung. Wir fordern eine breite Diskussion über die Corona-Politik und eine juristische Aufarbeitung der Corona-Politik.",Friedrichstraße mit Aufzug über Innenstadtring
10.0,2022-01-14 00:00:00,Mahnwache zur EU-Taxonomie,Eschholzpark
11.0,2022-01-09 00:00:00,"Aufklärung über das Dorf Lützerrath und die Räumung dieses Dorfes
aufgrund von Kohleabbau",Platz der Alten Synagoge
12.0,2022-01-13 00:00:00,10. Späti,Lederleplatz
13.0,2022-01-15 00:00:00,Gegendemo zur Versammlung der Coronaleugner,Platz der Alten Synagoge
14.0,2022-01-15 00:00:00,"Für Freiheit, Menschlichkeit und Vernunft. Wir fordern ein Ende aller Corona-Maßnahmen. Wir fordern eine freie Impfentscheidung und ein Ende der Impferpressung. Wir fordern eine breite Diskussion über die Corona-Politik und eine juristische Aufarbeitung der Corona-Politik.",Friedrichstraße mit Aufzug über Innenstadtring
15.0,2022-01-16 00:00:00,Klimawanderung,Platz der Alten Synagoge - Bertoldstraße - Bertoldsbrunnen - Bertoldstraße - PdAS - Rotteckring - Friedrichring - Leopoldring - Stadtgarten
16.0,2022-01-15 00:00:00,Situation der Geflüchteten,Rathausplatz
17.0,2022-02-14 00:00:00,"One Billion Rising, gegen Gewalt an Frauen und Mädchen",Platz der Alten Synagoge
18.0,2022-01-18 00:00:00,gegen die drohende Impfpflicht !,Autokorso
19.0,2022-01-22 00:00:00,Atomwaffenverbot,Rathausplatz
20.0,2022-01-22 00:00:00,"Für Freiheit, Menschlichkeit und Vernunft. Wir fordern ein Ende aller Corona-Maßnahmen. Wir fordern eine freie Impfentscheidung und ein Ende der Impferpressung. Wir fordern eine breite Diskussion über die Corona-Politik und eine juristische Aufarbeitung der Corona-Politik.",Friedrichstraße mit Aufzug Richtung Norden
21.0,2022-01-22 00:00:00,"Gemeinsam gegen Verschwörungsideologie, Antisemitismus und Coronaverharmlosung – Gegendemo gegen Querdenken-Aufmarsch am Uniklinikum",Fuß-/ Radwegen einseitig alternierend entlang der Heiliggeist- bzw. Hohenzollernstraße 
22.0,2022-01-22 00:00:00,Mahnwache zum Artensterben in Freiburg mit Kursimpuls zur Vogel-zählung und verhaltensbiologischen Beobachtungen,auf dem Gehweg an der Ecke Lortzingstraße/ Friedhofstraße 
23.0,2022-01-22 00:00:00,Sildarität statt Hetze,Friedrich-Ebert-Platz/Lutherkirche
24.0,2022-01-27 00:00:00,Gedenkveranstaltung mit Kranzniederlegung,Mahnmal Rotteckring
25.0,2022-01-25 00:00:00,Gerichtsverhandlung Amtsgericht ,Holzmarkt
26.0,2022-01-29 00:00:00,"Für Freiheit, Menschlichkeit und Vernunft. Wir fordern ein Ende aller Corona-Maßnahmen. Wir fordern eine freie Impfentscheidung und ein Ende der Impferpressung. Wir fordern eine breite Diskussion über die Corona-Politik und eine juristische Aufarbeitung der Corona-Politik.",Friedrichstraße mit Aufzug Richtung Norden
27.0,2022-01-29 00:00:00,"Gemeinsam gegen Verschwörungsideologie, Antisemitismus und Coronaverharmlosung – Gegendemo gegen Querdenken-Aufmarsch am Uniklinikum",Heiliggeisttraße
28.0,2022-01-29 00:00:00,Behinderungen des Radverkehrs u. a. durch Falschparker,Günterstalstraße
29.0,2022-01-25 00:00:00,gegen die drohende Impfpflicht !,Autokorso
30.0,2022-02-01 00:00:00,"No more camps, we want homes !",Bürgerhaus Zähringen
31.0,2022-01-25 00:00:00,Gerichtsprozess Baumbesetzung,"PdAS-Bertoldstr. - Salzstr. - Augustinerplatz - Gerberau - 
Rempartstr. - Werthmannstr. - Erbprinzenstr. - Wilhelmstr.
 - PdAS"
32.0,2022-02-01 00:00:00,gegen die Impfpflicht,Autokorso
33.0,2022-02-05 00:00:00,vegane Ernährung,Rathausplatz
34.0,2022-02-19 00:00:00,vegane Ernährung,Ecke Kajo/Engelstraße
35.0,2022-02-01 00:00:00,Palästina / Israel,Basler Straße 20 vor dem Büro von Amnesty International
36.0,2022-02-01 00:00:00,Bombenangriff auf kurdische Siedlungen im Irak,vor dem Haupteingang am Hauptbahnhof
37.0,2022-02-02 00:00:00,Bombenangriff auf das Camp Mexmür in Kurdistan,Platz der Alten Synagoge
38.0,2022-02-05 00:00:00,"Für Freiheit, Menschlichkeit und Vernunft. Wir fordern ein Ende aller
 Corona-Maßnahmen. Wir fordern eine freie Impfentscheidung und
 ein Ende der Impferpressung. Wir fordern eine breite Diskussion
 über die Corona-Politik und eine juristische Aufarbeitung der 
Corona-Politik",Friedrichring mit Aufzug
39.0,2022-02-07 00:00:00,Kappel läuft für Freiheit und Menschlichkeit,in Kappel mit Aufzug
40.0,2022-02-12 00:00:00,gegen Einsatz von Kinderdoldaten,Rathausplatz
41.0,2022-02-07 00:00:00,Aufstand der letzten Generation - Essen retten,"B31a, Kronenbrücke"
42.0,2022-02-05 00:00:00,gegen Verschwörungsideologie und Coronaverharmlosung,Rotteckring
43.0,2022-02-12 00:00:00,"Aktion gegen gefährliche Radwege unter dem Motto ""Sicherheit geht vor!""","B31- Dreisamstraße, von Ecke Luisenstraße bis Ecke Kjo"
44.0,2022-02-08 00:00:00,Autokorso,
45.0,2022-02-09 00:00:00,gegen das PKK Verbot,Kartoffelmakrt
46.0,2022-02-11 00:00:00,gegen das PKK Verbot,PdAS
47.0,2022-02-11 00:00:00,Crona und Impfung der Kinder,Rathausplatz
48.0,2022-02-14 00:00:00,Kappel läuft für Freiheit und Menschlichkeit,Aufzug in Kappel
49.0,2022-02-14 00:00:00,Herzen statt Blumen,Rathausplatz
50.0,2022-02-12 00:00:00,Mahnwache gegen Coronaverharmlosung und einen Schulterschluss mit Rechts,Parkplatz RiS
51.0,2022-02-14 00:00:00,"One Billion Rising, gegen Gewalt an Frauen und Mädchen",Augustinerplatz
52.0,2022-02-12 00:00:00,für das Verbot von Wildtieren im Zirkus,Ecke Eschholzstraße/Breisacherstraße
53.0,2022-02-12 00:00:00,für das Verbot von Wildtieren im Zirkus,Ecke Eschholzstraße/Lehenerstraße
54.0,2022-02-12 00:00:00,Mahnwache gegen Coronaverharmlosung und einen Schulterschluss mit Rechts,"Sundgauallee, Ecke Parkplatz RiS"
55.0,2022-02-19 00:00:00,Mobilisierung globaler Klimastreik & Verkehrswende,Leopoldring
56.0,2022-02-15 00:00:00,gegen das PKK Verbot,Rathausplatz
57.0,2022-02-15 00:00:00,Autokorso,
58.0,2022-02-18 00:00:00,Mahnwache für Tiere,Tullastraße
59.0,2022-02-17 00:00:00,Schuhaktion in Solidarität mit ungeimpften,Rathausplatz
60.0,2022-02-19 00:00:00,Solidarität durch die Krise. Impfstoffe und Schutz für Alle,Rathausplatz
61.0,2022-02-18 00:00:00,Jetzt aktiv werden gegen Krieg !,Rathausplatz
62.0,2022-02-19 00:00:00,gegen das PKK Verbot,Kartoffelmakrt
63.0,2022-02-19 00:00:00,Zentrale Demogeld-Bezugsstelle,Fahnenbergplatz
64.0,2022-02-19 00:00:00,Gegen Antisemitismus und Holocaust-Verharmlosung,PdAS
65.0,2022-02-19 00:00:00,"Für Freiheit, Menschlichkeit und Vernunft. Wir fordern ein Ende aller
 Corona-Maßnahmen. Wir fordern eine freie Impfentscheidung und
 ein Ende der Impferpressung. Wir fordern eine breite Diskussion",Konrad-Adenauer-Platz
66.0,2022-02-18 00:00:00,Corona und die Impfung für Kinder,Augustinerplatz
67.0,2022-02-18 00:00:00,Lebensmittelverschwendung,Kajo/Engelstraße
68.0,2022-02-18 00:00:00,Lebensmittelverschwendung,vor dem ZO
69.0,2022-02-18 00:00:00,Streik AOK,Fahnenbergplatz
70.0,2022-02-19 00:00:00,zum Gedenken an den rassistischen Anschlag in Hanau,PdAS
71.0,2022-02-19 00:00:00,Wohnen und Mieten in Freiburg,Europaplatz
72.0,2022-02-20 00:00:00,Soidarität mit der Ukraine,PdAS
73.0,2022-02-21 00:00:00,Kappel läuft für Freiheit und Menschlichkeit,Kappel
74.0,2022-02-19 00:00:00,Rhythmische Sportgymnastik für bezahlten Widerstand,Platz der Universität
75.0,2022-02-22 00:00:00,gegen die Impfpflicht,"Autokorso, durch Kirchzarten"
76.0,2022-02-25 00:00:00,Tarifverhandlungen zum Sozial - und Erziehungsdienst,Platz der Alten Synagoge
77.0,2022-02-25 00:00:00,Atomwaffenverbot,Rathausplatz
78.0,2022-02-19 00:00:00,Querdenken ausbremsen,Aufzugsstrecke der Querdenkerdemo
79.0,2022-02-15 00:00:00,Hanau war kein Einzelfall,Tanzbrunnen
80.0,2022-02-14 00:00:00,"Dieti bleibt, Waldrodung, nein danke, u.s.w.",Am Sender/Mundenhoferstr.
81.0,2022-02-15 00:00:00,"Essen retten, Klebeaktion","BAB A5, Anschlussstelle FR-Nord in Richtung Süden"
82.0,2022-02-21 00:00:00,evtl. Essen retten,"B31 vo dem Tuneleingang, Südröhre"
83.0,"07.03./ 14.03./ 
21.03./ 28.03./
04.04./ 11.04./ 
25.04./ 02.05./ 
09.05./ 16.05./ 
23.05./ 30.05./ 
13.06.2022 ","Soziale Ungerechtigkeit, Gesundheitsschutz, Umweltschutz, Frieden…","Platz der Alten Synagoge, Ecke Bertoldstraße/KG II"
84.0,2022-03-26 00:00:00,"Für Freiheit, Menschlichkeit und Vernunft. Wir fordern ein Ende aller
 Corona-Maßnahmen. Wir fordern eine freie Impfentscheidung und
 ein Ende der Impferpressung. Wir fordern eine breite Diskussion",PdAS mit Aufzug
85.0,2022-03-26 00:00:00,Ich kann's nicht mehr hörn. Wirklich. Was?!,Bismarkallee Ecke Eisenbahnstraße
86.0,2022-02-24 00:00:00,Krieg in der Ukraine,Rathausplatz
87.0,2022-02-25 00:00:00,Corona und die Impfung für Kinder,Augustinerplatz
88.0,2022-02-25 00:00:00,Stoppt den Krieg,Münsterplatz Menschenkette
89.0,2022-02-25 00:00:00,Solidarität mit der Ukraine,Platz der Alten Synagoge
90.0,2022-02-26 00:00:00,Friedensbekenntnis anlässlich der Gewalt in der Ukraine,Rathausplatz
91.0,2022-02-27 00:00:00,"Zeichen für Solidarität und die Einstellung der Kriegshandlungen
 in der Ukraine",Platz der Alten Synagoge
92.0,2022-03-05 00:00:00,vegane Ernährung,Ecke Kajo/Engelstraße
93.0,2022-03-01 00:00:00,gegen die Impfpflicht,Autokorso
94.0,2022-03-04 00:00:00,Lebensmittelverschwendung,Ecke Kajo/Engelstraße
95.0,2022-03-03 00:00:00,"Solidarität mit den Menschen in der Ukraine - 
weltweiter Aktionstag von FFF Ukraine",Platz der Alten Synagoge
96.0,2022-03-05 00:00:00,Nicht auf unsere Kosten - Schluss mit Kapitalismus und autoritärer Krise,Europaplatz
97.0,2022-03-05 00:00:00,"Atomwaffenverbot, kein Krieg in der Ukraine",Rathausplatz
98.0,2022-03-05 00:00:00,"1,5 ° Grenze wird überschritten werden, was kannst du tun ?",Augustinerplatz
99.0,2022-03-06 00:00:00,Schloßbergring: Das ist erst der Anfang !,Schloßbergring/Mozartstraße
100.0,2022-03-08 00:00:00,Tarifrunde Sozial - und Erziehungsdienst,Platz der Alten Synagoge mit Aufzug
101.0,2022-03-08 00:00:00,Stärkung der Frauenrechte. Häusliche Gewalt bekämpfen,"von Lehen zum Rathausplatz, Fahhraddemo, rote Bank"
102.0,2022-03-02 00:00:00,Ukraine,PdAS
103.0,2022-03-07 00:00:00,"für Menschlichkeit, Freiheit und Vernuft",Kappel
104.0,2022-03-05 00:00:00,"Für Freiheit, Menschlichkeit und Vernunft",PdAS - Werthmannstr - Erbprinzenstr - Wilhelmstr - Bismarckallee - Eisenbahnstr - Rotteckring - Friedrichring - Kajo - Rempartstr - PdAS
105.0,2022-03-09 00:00:00,Friedensmeditation,PdAS
106.0,2022-03-08 00:00:00,gegen die Impfpflicht,Autokorso
107.0,2022-03-10 00:00:00,Krieg in der Ukraine,Platz der Alten Synagoge
108.0,2022-03-12 00:00:00,"Against Apartheid, against Occupation !",Theatervorplatz
109.0,2022-03-08 00:00:00,Frauenkampftag,PdAS mit Aufzug
110.0,2022-03-11 00:00:00,Fukushima Jahrestag,PdAS
111.0,2022-03-11 00:00:00,Fukushima nie vergessen,PdAS
112.0,2022-03-05 00:00:00,Gegendemo zur Versammlung der Coronaleugner,PdAS
113.0,2022-03-05 00:00:00,"Kreidesprühaktion, Solidarität und Abstand von Rechts",PdAS und weitere Stellen
114.0,2022-03-05 00:00:00,,Europaplatz
115.0,2022-03-10 00:00:00,Frieden und Solidarität,Menschenkette um den Flückigersee
116.0,2022-03-12 00:00:00,Musik gegen Bomben,Augustinerplatz
117.0,2022-03-13 00:00:00,Walderhalt Dietenbach,Maria-von-Rudloff-Platz mit Aufzug
118.0,2022-03-12 00:00:00,Für Freiheit Menschlichkeit und Vernuft !,Platz der Alten Synagoge – Werthmannstraße – Erbprinzenstraße – Wilhelmstraße – Wiwilí-Brücke – Wentzingerstraße – Engelbergerstraße – Klarastraße – Ferdinand-Weiß-Straße – Fehrenbachallee – Wannerstraße – Eschholzstraße – Engelbergerstraße – Wentzingerstraße – Wiwilí-Brücke –Wilhelmstraße – Erbprinzenstraße – Werthmannstraße – Platz der Alten Synagoge 
119.0,2022-03-15 00:00:00,Stoppt den Krieg ! Für Abrüstung und gegen Nationalismus,Platz der Alten Synagoge
120.0,2022-03-12 00:00:00,gegen die Corona Demo,Stühlinger Kirchplatz 
121.0,2022-03-14 00:00:00,"für Menschlichkeit, Freiheit und Vernuft",Kappel
122.0,2022-03-16 00:00:00,gegen Tierversuche,Rathausplatz
123.0,2022-03-17 00:00:00,für Frieden und Freiheit,Platz der Alten Synagoge
124.0,2022-03-15 00:00:00,gegen die Impfpflicht,Autokorso
125.0,2022-03-18 00:00:00,Solidarität mit der Ukraine,Platz der Alten Synagoge
126.0,2022-03-18 00:00:00,Jahrestag Syrische Revolution,Platz der Alten Synagoge
127.0,2022-03-18 00:00:00,Pariser Kommune und Tag der politischen Gefangenen,Hermann-Herder-Straße 8
128.0,2022-03-19 00:00:00,"Für Freiheit, Menschlichkeit und Vernunft.",Platz der Alten Synagoge – Werthmannstraße – Rempartstraße – Kai-ser-Joseph-Straße – Friedrichring – Rotteckring – Eisenbahnstraße – Bismarckallee – Wilhelmstraße – Erbprinzenstraße – Werthmannstraße – Platz der Alten Synagoge
129.0,2022-03-19 00:00:00,Flucht und Seenotrettung im Mittelmeer,Rathausplatz
130.0,2022-03-20 00:00:00,Newroz,Platz der Alten Synagoge mit Aufzug
131.0,2022-03-17 00:00:00,Wir stehen zusammen für eine freie Impfentscheidung,Rathausplatz
132.0,2022-03-22 00:00:00,"Werbung für Initiative, Klimaschutz und Nachhaltigkeit","Tor Uni Klinik, Hugstetter str. 55"
133.0,2022-03-19 00:00:00,Schwurbler/-innen nerven,Colombipark - Buchhandlung Rombach
134.0,2022-03-21 00:00:00,"für Menschlichkeit und Achtung unserer Menschenwürde durch
unsere Behörden",Kappel
135.0,2022-03-25 00:00:00,Globaler Klimastreik,Friedrichstraße – Friedrichring – Europaplatz – Kaiser-Joseph-Straße – Rempartstraße – Belfortstraße – Wilhelmstraße – Bismarckallee – Friedrichstraße
136.0,2022-03-25 00:00:00,Gemeinsamer Weg zur Demonstration in der Friesdrichstraße,Habsburgerstraße
137.0,2022-03-23 00:00:00,nein zum Greenwashing und ja zum aktiven Erdgasausstieg,bei der Badenova
138.0,2022-03-24 00:00:00,ein Monat Ukraine-Krieg,PdAS
139.0,2022-03-22 00:00:00,gegen die Impfpflicht,Autokorso
140.0,2022-03-26 00:00:00,Wohnen und Mieten in Freiburg,Platz der Alten Synagoge
141.0,2022-03-26 00:00:00,freie Impfentscheidung,Ecke Rotteckring 1/Vapiano
142.0,2022-03-26 00:00:00,Europäische Verfasung jetzt !,Bürgerhaus Seepark mit Aufzug
143.0,2022-03-26 00:00:00,99 Luftballons für Frieden,Tanzbrunnen
144.0,2022-03-26 00:00:00,gegen Spaltung und für ein liebevolles Miteinander unter allen Menschen,Europaplatz
145.0,2022-03-26 00:00:00,"Geldausgabe für Verschwörungstheoretiker, Schwurbler und 
Coronaleugner",Rotteckring/Rathausgasse
146.0,2022-03-26 00:00:00,für die Einhaltung der Menschenrechte im Rechtssystem,Holzmarkt
147.0,2022-03-26 00:00:00,ein Monat russische Invasion in der Ukraine,Rathausplatz
148.0,2022-03-26 00:00:00,Verbesserung der Wirtschafts - und Arbeitsbedingungen,Engesserstr. 8
149.0,2022-03-28 00:00:00,"für Menschlickeit, Freiheit und Vernuft",Kappel
150.0,2022-03-29 00:00:00,We want To-be (Toby),Augustinerplatz
151.0,2022-03-30 00:00:00,gegen Tierversuche,Rathausplatz
152.0,2022-03-29 00:00:00,gegen die Impfpflicht,Autokorso 
153.0,2022-04-05 00:00:00,Aufmerksam machen auf Notwendigkeit  zum Neubau einer neuen Eissporthalle für Freiburg und Südbaden mit 2 Eisflächen,Vorplatz Bürgerhaus Zähringen
154.0,2022-04-02 00:00:00,vegane Ernährung,Ecke Kajo/Engelstraße
155.0,2022-04-02 00:00:00,Eure Kriege zahlen wir nicht,"Rathausplatz-Kajo-Rempartstraße-Rotteckering-
Rathausgasse-Rathausplatz"
156.0,04.04.-06.04.22,Klimacamp,PdAS
157.0,2022-04-01 00:00:00,Braunkohleabbau,Volksbank Freiburg
158.0,2022-04-04 00:00:00,Kappel läuft für Freiheit und Menschlichkeit,Rathaus Kappel
159.0,2022-04-05 00:00:00,We want To-be (Toby),Augustinerplatz
160.0,2022-04-26 00:00:00,Jahrestag Tschernobyl,PdAS
161.0,2022-04-08 00:00:00,Menschenkette für den Frieden,"um den Haüserblock Volksbank, St. Ursulagymnasium"
162.0,2022-04-05 00:00:00,Gegen Impfpflicht ab 50!,Autokorso
163.0,2022-04-08 00:00:00,Badenova gibt im Greenwashing richtig (Erd-)Gas!,Rathausplatz
164.0,2022-04-06 00:00:00,Vorstellung Bücher Abdullah Öcalan,Konrad-Adenauer-Platz
165.0,2022-04-09 00:00:00,gegen Krieg,Rathausplatz
166.0,2022-04-09 00:00:00,"Für Freiheit, Menschlichkeit und Vernunft! - Wir fordern eine breite Diskussion über die Corona-Politik und ein Sonder-Gericht zur juristi-schen Aufarbeitung der Corona-Politik",Platz der Alten Synagoge – Belfortstraße – Wilhelmstraße – Bismarck-allee – Friedrichstraße – Friedrichring – Europaplatz – Kaiser-Josep-Straße – Rempartstraße – Platz der Alten Synagoge 
167.0,2022-04-13 00:00:00,Menschenkette für den Frieden,"um den Haüserblock Volksbank, St. Ursulagymnasium"
168.0,2022-04-11 00:00:00,Badenova gibt im Greenwashing richtig (Erd-)Gas!,Rathausplatz
169.0,2022-04-25 00:00:00,Gewinnung von Mitgliedern für die Hochschulgruppe,Tanzbrunnen
170.0,2022-04-13 00:00:00,Gerichtsurteil Lützerath,Platz der Alten Synagoge
171.0,2022-04-14 00:00:00,Ostermarsch,PdAS mit Aufzug
172.0,2022-04-18 00:00:00,Für eine AHA Kultur,Kappel mit Aufzug
173.0,2022-04-09 00:00:00,gegen geplante Angrife vom türkischen Staat,PdAS mit Aufzug
174.0,2022-04-09 00:00:00,Stoppt den Fossilen Wahnsinn,"Deutsche Bank, Ecke Eisenbahnstr./Rotteckring"
175.0,2022-04-12 00:00:00,Erfassung Impfnebenwirkungen,Autokorso
176.0,2022-04-19 00:00:00,Erfassung von Impfschäden,Autokorso
177.0,2022-04-16 00:00:00,Solidarität mit der Ukraine,Platz der Alten Synagoge
178.0,2022-04-22 00:00:00,Schutz des ungeborenen Lebens,Humboldstraße 2 mit Aufzug zum PdAS
179.0,2022-05-07 00:00:00,vegane Ernährung,Ecke Kajo/Engelstraße
180.0,2022-04-24 00:00:00,Krieg in der Ukraine,Platz der Alten Synagoge
181.0,2022-04-18 00:00:00,Bombardierung der kurdischen Gebiete am 18.04.2022,Platz der Alten Synagoge
182.0,2022-04-17 00:00:00,Essen ist politisch,Stühlinger Kirchplart
183.0,2022-05-02 00:00:00,für eine AHA Kultur,Kappel Läuft
184.0,2022-04-22 00:00:00,Info zu § 218,Theatervorplatz
