Versammlungen 2023,Unnamed: 1,Unnamed: 2,Unnamed: 3
Datum,Veranstalter,Thema,Angemeldete Teilnehmerzahl
2023-01-14 00:00:00,Klimabündnis Karlsruhe,Klimaschutz,30
2023-01-07 00:00:00,,Beat the System - Solidarität statt Konkurrenz / Tanzdemo,73
2023-05-01 00:00:00,DGB Stadtverband Karlsruhe,"1. Mai - Tag der Arbeit - Motto ""UNGEBROCHEN SOLIDARISCH""",800
2023-06-03 00:00:00,,CSD Karlsruhe - Stand up. For Love! ,3000
2023-01-08 00:00:00,,Revolution im Iran,250
2023-02-24 00:00:00,Deutsche Friedensgesellschaft (DFG-VK),Gedenken des Jahrestages des russischen Angriffkrieges auf die Ukraine,50
2023-01-05 00:00:00,,Für Demokratie,49
2023-01-03 00:00:00,,"Stille Mahnwache für Frieden, Demokratie und Menschenrechte",8
2023-01-14 00:00:00,,Afghanistan Thema. Let Afghan Women Learn,150
2023-01-09 00:00:00,,"Montagsdemo gegen die 
Hartz-Gesetze und Sozialabbau, Aktiver Widerstand für den Weltfrieden - gegen alle Kriegstreiber!",50
2023-01-12 00:00:00,Die Linke,Soldiarität mit Michel Brandt,20
2023-01-04 00:00:00,,Lüzerath bleibt!,50
2023-05-13 00:00:00,,Ride for Europe 2023,60
2023-01-12 00:00:00,,Für das Grundgesetz,49
2023-01-13 00:00:00,,Friedensverhandlungen im Ukraine Krieg/Sicherung bezahlbarer Energieversorgung/Erhalt des Bargeldes/Ende der Corona-Impfexperiments/Für eine lebenswerte Gesellschaft,70
2023-01-27 00:00:00,,"Offenes Treffen Mehr Raum fürs Rad - Critical Mass Fahrradtour - Radfahrer fordern mit ihren Touren im Rahmen der weltweiten Critical-Mass-Bewegung mehr Rechte für Radfahrer, bessere Infrastruktur und mehr Platz im öffentlichen Verkehrsraum. Jeden letzten Freitag eines Monats. ",150
2023-01-14 00:00:00,,Soldiaritätsveranstaltung zum Thema Klimaschutz mit Fokus auf aktuelle Geschehnisse in Lützerath,100
2023-01-19 00:00:00,,WIR SIND BAUM,25
2023-02-11 00:00:00,,"FÜR bezahlbare Energie- und Lebenshaltungskosten, FÜR den Erhalt des Bargeldes, FÜR die Entschädigung der Impf-Opfer der Corona-Lüge, FÜR Friedensverhandlungen und FÜR Politikerhaftung",13
06.02. - 10.02.2023,,Galerie der Gesellschaft,20 gleichzeitig 
2023-02-11 00:00:00,,"FÜR bezahlbare Energie- und Lebenshaltungskosten, FÜR den Erhalt des
Bargeldes, FÜR die Entschädigung der Impf-Opfer der Corona-Lüge, FÜR
Friedensverhandlungen und FÜR Politikerhaftung“",113
2023-01-30 00:00:00,VVN-BdA Karlsruhe,Machtübertragung an den Nationalsozialismus am 30.01.1933,50
2023-01-24 00:00:00,,Weil wir KLASSE sind: Tarifrunde ÖD 2023,50
2023-01-21 00:00:00,,Freiheit- Religion,10
2023-01-19 00:00:00,,"für das Grundgesetz - die RichterInnen am BVG sollten endlich einen Hauptverhandlungstermin ansetzen um zu klären, ob die Grundrechtseinschränkungen der letzten Jahre ungesetzlich waren - für Frieden - für die Würde des Menschen - für gute Arbeits- + Lebensbedingungen für alle - für Selbstverantwortung und Selbstbestimmung - Wir sind politisch unabhängige BürgerInnen und laden alle Demokraten zum friedlichen Meinungsaustausch ein.",49
2023-01-28 00:00:00,ISKCON Heidelberg e.V.,Weltfrieden durch inneren Frieden,30
2023-02-11 00:00:00,,"""Nein zur deutschen Beteiligung am Krieg!""",250
2023-03-18 00:00:00,,Tag der politischen Gefangenen,40
2023-02-02 00:00:00,,"Frieden, Freiheit",20
2023-01-26 00:00:00,,Lichtwache für die 48 Kaiserplatanen in der Kaiserstraße,20
2023-01-20 00:00:00,Die Linke ,Fällung der Platanen in der Kaiserstraße,30
2023-02-18 00:00:00,,3 Jahre Hanau. Erinnern heißt kämpfen,100
2023-01-26 00:00:00,,"für das Grundgesetz - für die Würde des Menschen - nie mehr den Kindern sagen, dass Ihre bloße Anwesenheit die Eltern töten könnte - nie mehr alte Menschen, die für unseren Wohlstand geschuftet haben, einsperren - Wir sind Bürger mit unterschiedlichen politischen Präferenzen und laden alle Demokraten zum friedlichen Meinungsaustausch ein. ",49
2023-03-03 00:00:00,Students for Future Karlsruhe Hochschulgruppe (stuff),Globaler Klimastreik von Fridays for Future zum Thema Verkehrswende in Kooperation mit Verdi,3500
2023-01-27 00:00:00,,Friedensverhandlungen im Ukraine Krieg / Sicherung bezahlbarer Energieversorgung / Erhalt des Bargeldes /Ende des Corona Impfexperiments / Für eine lebenswerte Gesellschaft,75
2023-01-28 00:00:00,,Glaube,50
2023-02-05 00:00:00,,Menschenrechtsverletzung,20
2023-01-27 00:00:00,Students for Future Karlsruhe Hochschulgruppe (stuff),Kundgebung zum Thema Klimagerechtigkeit im Rahmen der Räumung von Lützerath,30
2023-01-30 00:00:00,Gewerkschaft NGG,Warnstreik/Tarifverhandlungen,80
2023-02-04 00:00:00,,Iran im Aufruhr,150
2023-02-02 00:00:00,,"für das Grundgesetz - für die Würde des Menschen - nie mehr den Kindern sagen, dass Ihre bloße Anwesenheit die Eltern töten könnte - nie mehr alte Menschen, die für unseren Wohlstand geschuftet haben, einsperren - Wir sind Bürger mit unterschiedlichen politischen Präferenzen und laden alle Demokraten zum friedlichen Meinungsaustausch ein. ",49
24.02. + 25.02.2023,Volkrat der Eelam Tamilen Deutschland e.V. ,Radfahren for Justice (Den Haag nach Genf),4
2023-02-02 00:00:00,,WIR SIND BAUM,25
2023-02-22 00:00:00,Campact e.V. ,DES-Urteil,25
2023-02-20 00:00:00,,Situation der Studierenden in  Baden-Württemberg,50
2023-02-25 00:00:00,,Peta Zwei Streetteam Karlsruhe Veganstart,10
2023-02-11 00:00:00,Antifaschistisches Aktionsbündnis Karlsruhe (AAKA),"Nie wieder Faschismus, nie wieder Krieg! AfD-Aufmarsch verhindern!",500
2023-02-24 00:00:00,,Anerkennung des Genozids an den Tamil*innen,10
2023-03-08 00:00:00,,Internationaler Frauentag ,500
2023-02-04 00:00:00,Catcalls of Karlsruhe,Catcalls of Karlsruhe kreiden an,2
2023-02-24 00:00:00,Evangelische Allianz Karlsruhe,Gemeinsam für den Frieden,200
2023-02-06 00:00:00,,"Montagsdemo gegen die Hartz-Gesetze und Sozialabbau, Aktiver Widerstand für den Weltfrieden - gegen alle Kriegstreiber!",50
2023-02-11 00:00:00,,gegen Kuranverbrennung und Islamhass,3000
2023-02-11 00:00:00,Klimabündnis Karlsruhe,Klimaschutz,20
2023-02-10 00:00:00,,"Friedensverhandlungen im Ukraine Krieg / Sicherung bezahlbarer Energieversorgung / Erhalt des Bargeldes /
Ende des Corona Impfexperiments / Für eine lebenswerte Gesellschaft",75
2023-02-09 00:00:00,,"für das Grundgesetz - für die Würde des Menschen - Diplomaten schicken statt tödliche Waffen - nie mehr den Kindern sagen, dass Ihre bloße Anwesenheit die Eltern töten könnte - nie mehr alte Menschen, die für unseren Wohlstand geschuftet haben, einsperren - Wir sind Bürger mit unterschiedlichen politischen Präferenzen und laden alle Demokraten zum friedlichen Meinungsaustausch ein.",49
2023-02-07 00:00:00,,"Stille Mahnwache für Frieden, Demokratie und Menschenrechte",8
2023-02-24 00:00:00,Ukrainer in Karlsruhe. Deutsch-Ukrainischer Verein e.V.,Kundgebung anlässlich des Jahrestages des Angriefskrieges des Russlands auf die Ukraine,1500
2023-03-29 00:00:00,,Aktionstag gegen Rassismus,500
2023-02-14 00:00:00,,Tarifrunde öffentlicher Dienst - Streikdemonstration,150
2023-02-24 00:00:00,,Critical Lichter Mass,200
2023-02-16 00:00:00,,Tarifrunde öffentlicher Dienst,30
2023-03-07 00:00:00,Verein BPW e.V.,Infoveranstaltung zum Equal Pay Day 7.3.2023,50
2023-03-11 00:00:00,,Klimaschutz,20
2023-02-18 00:00:00,Dachverband islamischer Vereine in Karlsruhe und Umgebung e. V.,Gedenken und Unterstützung der Erdbebenopfer in der Türkei und Syrien,200
