Lfd. Nr. ,Datum der Vers,Uhrzeit der Vers,Ort der Vers,Thema der Versammlung,Datum der Anmeldung
,,,,,
1.0,2018-01-20 00:00:00,12.00-18.00,Breiter Weg,Meile der Demokratie ,2017-03-01 00:00:00
2.0,2018-01-20 00:00:00,,Bhf Eichenweiler,Meilenstein - Bahnhof Eichenweiler,2017-03-01 00:00:00
3.0,2018-01-20 00:00:00,,Bhf Herrenkrug,Meilenstein - Bahnof Herrenkrug,2017-03-01 00:00:00
4.0,2018-01-20 00:00:00,,Bhf Neustadt,Meilenstein - Bahnhof Neustadt,2017-03-01 00:00:00
5.0,2018-01-20 00:00:00,,Bhf Sudenburg,Meilenstein - Bahnhof Sudenburg,2017-03-01 00:00:00
6.0,2018-01-20 00:00:00,,Bhf Buckau,Meilenstein - Bahnhof Buckau,2017-03-01 00:00:00
7.0,2018-01-20 00:00:00,,Bhf Südost,Meilenstein - Bahnhof Südost,2017-03-01 00:00:00
8.0,19.01.2018,08.00-12.00,Ratswaageplatz,Tarifaktion,2017-12-13 00:00:00
9.0,2018-01-20 00:00:00,12.00-18.00,Leipziger Straße ,Meilenstein,2017-12-21 00:00:00
10.0,2018-01-20 00:00:00,11.00-12.00,Domplatz,Demokratie braucht Erinnerung: Für eine aktive und kritische Auseinandersetzung mit der NS-Zeit,2018-01-10 00:00:00
11.0,2018-01-27 00:00:00,16.00-18.00,Breiter Weg,Kundgebung gegen Massentierhaltung,2018-01-10 00:00:00
12.0,2018-01-20 00:00:00,12.00-16.00,Aufzug,Kundgebung gegen Rassismus und Menschenverachtung,2018-01-11 00:00:00
13.0,2018-01-20 00:00:00,13.00-16.00,Julius-Bremer-Straße (alte Synagoge),Meilenstein,2018-01-15 00:00:00
14.0,2018-01-20 00:00:00,13.00-16.00,Julius-Bremer-Straße (neue Synagoge),Meilenstein,2018-01-15 00:00:00
15.0,2018-01-20 00:00:00,15.00-17.00,Aufzug,Solidarität mit Afrin,2018-01-18 00:00:00
16.0,2017-01-20 00:00:00,20.15-21.45,Willy-Brandt-Platz,Solidarität mit Afrin,2017-01-20 00:00:00
17.0,2017-01-21 00:00:00,15.30-17.40,Willy-Brandt-Platz,Solidarität mit Afrin,2017-01-21 00:00:00
18.0,2018-01-16 00:00:00,21.28-21.30,Domplatz,Jahrestag Bombardierung MD, ---
19.0,2018-01-27 00:00:00,11.00-18.00,Hasselbachplatz,Freiheit für Musa Asoglus,2018-01-21 00:00:00
20.0,2018-01-23 00:00:00,13.00-16.30,Aufzug,Solidarität mit Afrin,2018-01-23 00:00:00
21.0,2018-01-24 00:00:00,12.00-13.00,Friedrich-List-Straße,Tarifverhandlungen,24.01.218
22.0,05.02.2018 und jeden weiteren Montag,18.30-20.00,Breiter Weg,Montagsdemo,2018-01-28 00:00:00
23.0,2018-01-29 00:00:00,16.30-18.00,Aufzug,Solidarität mit Afrin,2018-01-29 00:00:00
24.0,2018-02-03 00:00:00,15.30-16.30,Alter Markt,"FlyingCondoms - 10 Jahre EKAF ""Swiss Statement""",2018-01-29 00:00:00
25.0,2018-02-08 00:00:00,16.00-17.00,"MVB-Haltestelle ""Klinikum Olvenstedt""",Gedenken und Kranzniederlegung am Todestag von Frank Böttcher,2018-01-29 00:00:00
26.0,2018-01-30 00:00:00,17.00-19.00,Universitätsplatz,Solidarität mit Afrin,2018-01-30 00:00:00
27.0,2018-02-03 00:00:00,15.30-18.00,Aufzug,Solidarität mit Afrin,2018-01-30 00:00:00
28.0,31.01.2018,16.00-18.00,Aufzug,Solidarität mit Afrin,2018-01-31 00:00:00
