Lfd. Nr. ,Datum der Vers,Uhrzeit der Vers,Ort der Vers,Thema der Versammlung,Datum der Anmeldung,Unnamed: 6,Unnamed: 7
,,,,,,TN angemeldet,TN anwesend
1.0,2021-01-16 00:00:00,12.00-22.00,Aufzug,Trauermarsch 16.000 unvergessen,2018-05-29 00:00:00,,
2.0,16.01.2021,15.00-22.00,Aufzug,Trauermarsch 16.000 unvergessen,2021-09-21 00:00:00,250,109
3.0,2021-01-16 00:00:00,18.00-19.00,Alter Markt,Offenes Singes für ein weltoffenes Magdeburg,2020-10-19 00:00:00,40,75
4.0,2021-01-16 00:00:00,15.00-21.00,Domplatz,Gedenken an die Opfer von Krieg und Gewalt,2020-11-26 00:00:00,30,5
5.0,2021-01-16 00:00:00,10.00-20.00,Nicolaiplatz,Gegen rassistische und menschenfeindliche Aufmärsche,2020-12-03 00:00:00,10,10
6.0,2021-01-16 00:00:00,10.00-20.00,Bahnhof Neustadt,Abstand nach rechts - keinen Meter den Faschisten!,2020-12-04 00:00:00,30,27
7.0,2021-01-16 00:00:00,15.00-22.00,Johannisbergstraße ,Mahnwache gegen die Vereinnahmung der Bombardierung Magdeburgs durch Rechte,2020-12-05 00:00:00,25,10
8.0,2021-01-16 00:00:00,08.00-19.00,Bahnhof Buckau,Antifaschistische Kundgebung anlässlich des Jahrestages der Bombardierung Magdeburgs im II. Weltkrieg,2020-12-09 00:00:00,30,12
9.0,2021-01-16 00:00:00,08.00-19.00,Thiemplatz,Antifaschistische Kundgebung anlässlich des Jahrestages der Bombardierung Magdeburgs im II. Weltkrieg,2020-12-09 00:00:00,30,8
10.0,2021-01-16 00:00:00,10.00-23.00,Bahnhof Hasselbachplatz,Kundgebung für mehr Solidarität und Toleranz,2020-12-10 00:00:00,20,3
11.0,2021-01-16 00:00:00,10.00-20.00,J.B. Str.,"Für eine friedliche und solidarische Welt - gegen Rassismus, Antisemitismus und Gewalt",2020-12-11 00:00:00,100,8
12.0,2021-01-16 00:00:00,12.00-21.00,Bahnhof Buckau,Buckau - Gemeinsam für Demokratie,2020-12-11 00:00:00,200,15
13.0,2021-01-16 00:00:00,13.30-23.00,Konrad-Adenauer-Platz,Solidarische Gesellschaft Magdeburg - Kein Platz den Menschenfeinden,2020-12-13 00:00:00,50,14
14.0,2021-01-16 00:00:00,11.00-18.00,Willy-Brandt-Platz,Sambatrommeln für Toleranz und Weltoffenheit,2020-12-14 00:00:00,4,80
15.0,2021-01-16 00:00:00,15.30-20.00,Liebknechtstraße,Kein Platz für rechtes Gedankengut - wehret den Anfängen!,2020-12-15 00:00:00,10,6
16.0,2021-01-16 00:00:00,15.00-20.00,Otto-von-Guericke-Straße,"Nie wieder … Zeichen setzen für Demokratie, Respekt und Weltoffenheit!",2020-12-15 00:00:00,30,17
17.0,2021-01-15 00:00:00,18.00-22.00,Aufzug,Pappesatt,2020-12-16 00:00:00,150,30
18.0,2021-01-04 00:00:00,18.00-20.00,Breiter Weg,Montagsdemo,2020-12-18 00:00:00,20,
19.0,2021-01-16 00:00:00,10.00-20.00,Westfriedhof,Für demokratischen Verkehr,2020-12-23 00:00:00,200,8
20.0,2021-01-16 00:00:00,10.00-22.00,Willy-Brandt-Platz,FFF gegen Rechts ,2020-12-22 00:00:00,200,100
21.0,2021-01-01 00:00:00,17.00-22.00,Aufzug,Ein Funken Hoffnung,2020-12-22 00:00:00,100,200
22.0,2021-01-04 00:00:00,19.00-20.00,Aufzug,Therapiemaßnahmen (Licht- und Bewegungstherapie),2020-12-30 00:00:00,100,8
23.0,11.01.2021,18.00-20.00,Breiter Weg,Montagsdemo,2021-01-03 00:00:00,20,3
24.0,2021-01-09 00:00:00,14.30-16.30,Domplatz,Recht auf selbstbetimmtes Leben,2021-01-04 00:00:00,100,41
25.0,2021-01-11 00:00:00,19.00-20.00,Aufzug,Therapiemaßnahmen (Licht- und Bewegungstherapie),2021-01-04 00:00:00,100,
26.0,2021-01-16 00:00:00,14.00-22.00,Maybachstraße,Befreiung ist nie zu Ende,2021-01-05 00:00:00,30,16
27.0,2021-01-16 00:00:00,17.00-20.00,Breiter Weg/ Ernst-Reuter-Allee,Eine Stadt für alle unterm Regenbogen,2021-01-07 00:00:00,30,15
28.0,2021-01-16 00:00:00,14.30-22.30,Halberstädter Straße,"Infostand zur Demo ""nazi-Gedenkmarsch"" verhindern",2021-01-07 00:00:00,30,8
29.0,2021-01-16 00:00:00,15.00-21.00,Bahnhof Salbke,Keine Zeiten für rechte Hetze,2021-01-08 00:00:00,10,2
30.0,2021-01-16 00:00:00,15.00-22.00,Bahnhof Südost,Kundgebung gegen Rassismus und Menschenverachtung,2021-01-08 00:00:00,50,2
31.0,2021-01-16 00:00:00,13.00-21.00,Bhf. Eichenweiler,Meilenstein für ein demokratisches und weltoffenes Magdeburg im Bündnis gegen Rechts und Friedenskundgebung,2021-01-10 00:00:00,40,10
32.0,2021-01-16 00:00:00,15.00-22.00,Bhf. SKET,Kundgebung gegen Rassismus und Menschenverachtung,2021-01-08 00:00:00,50,4
33.0,2021-01-16 00:00:00,14.30-16.30,Domplatz,Recht auf selbstbetimmtes Leben,2021-01-10 00:00:00,100,35
34.0,2021-01-16 00:00:00,10.00-23.00,Hasselbachplatz,Naziaufmarsch verhindern,2021-01-11 00:00:00,50,4
35.0,2021-01-16 00:00:00,10.00-18.00,Schellingstraße,Nie Wieder!,2021-01-11 00:00:00,20,10
36.0,2021-01-16 00:00:00,13.30-22.00,Bhf. Herrenkrug,Eine Stadt für alle  ,2021-01-11 00:00:00,60,9
