Demonstrationen / Versammlungen / Aufzüge 2023,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Lfd Nr.,Datum der Veranstaltung,,Art,Thema,Versammlungsort,Erwartete TN
,,Uhrzeit,,,,
1,2023-01-14 00:00:00,,Versammlung,Kundgebung Omas gegen Rechts - ZUSAMMENHALT IN DER KRISE,Neubrunnenplatz,8
2,06.09.-08.09.2023,,Versammlung,Zum Wohle der Bienen,Jockel-Fuchs-Platz,10-100
3,2023-02-28 00:00:00,,Aufzug,Zweiter Mainzer Maskenaufzug. Mehr Fastnacht wagen!,Strecke,1000
4,2023-01-07 00:00:00,,Versammlung,Aktion Maria 2.0 - Erneuerung der kath. Kirche,Markt,70
5,2023-01-27 00:00:00,,Versammlung,Kundgebung Gedenken der queeren NS-Opfer,Ernst-Luwig-Platz (Queeren Gedenkstele),200
6,2023-03-25 00:00:00,13:00 - 19:00,Versammlung mit Aufzug,"Digitale ID, Digitaler Impfpass, Bargeldabschaffung und GEZ",Gutenbergplatz,50000
7,2023-03-08 00:00:00,,Versammlung mit Aufzug,Weltfrauentag,Strecke,200
8,2023-01-28 00:00:00,,Versammlung,"Tierrechte / gegen Massentierhaltung, Albert Schweizer Stiftung für unsere Mitwelt",Leichhof,8-10
9,2023-01-02 00:00:00,,Versammlung mit Aufzug,57. MAINZER SCHILDERLAUF,Strecke,100
10,2023-01-07 00:00:00,,Versammlung,Situation im Iran,Gutenbergplatz,100
11,2023-01-09 00:00:00,,Versammlung mit Aufzug,58. MAINZER SCHILDERLAUF,Strecke,100
12,2023-01-04 00:00:00,18.00 - 19:30,Versammlung,Genug ist Genug,Gutenbergplatz,50
14,2023-01-05 00:00:00,16:00 - 17:30,Versammlung,Mahnwache für ehrliche und freie Berichterstattung,Platz vor ZDF,5-15
15,2023-01-12 00:00:00,16:00 - 17:30,Versammlung,Mahnwache für ehrliche und freie Berichterstattung,Platz vor ZDF,5-15
16,2023-01-19 00:00:00,16:00 - 17:30,Versammlung,Mahnwache für ehrliche und freie Berichterstattung,Platz vor ZDF,5-15
17,2023-01-26 00:00:00,16:00 - 17:30,Versammlung,Mahnwache für ehrliche und freie Berichterstattung,Platz vor ZDF,5-15
18,2023-01-05 00:00:00,15:15 - 17:00,Versammlung,Mahnwache für ehrliche und freie Berichterstattung,SWR,5-15
19,2023-01-12 00:00:00,15:15 - 17:00,Versammlung,Mahnwache für ehrliche und freie Berichterstattung,SWR,5-15
20,2023-01-19 00:00:00,15:15 - 17:00,Versammlung,Mahnwache für ehrliche und freie Berichterstattung,SWR,5-15
21,2023-01-26 00:00:00,15:15 - 17:00,Versammlung,Mahnwache für ehrliche und freie Berichterstattung,SWR,5-15
22,2023-01-05 00:00:00,15:15 - 16:00,Versammlung,Mahnwache für ehrliche und freie Berichterstattung,VRM,5-15
23,2023-01-12 00:00:00,15:15 - 16:00,Versammlung,Mahnwache für ehrliche und freie Berichterstattung,VRM,5-15
24,2023-01-19 00:00:00,15:15 - 16:00,Versammlung,Mahnwache für ehrliche und freie Berichterstattung,VRM,5-15
25,2023-01-26 00:00:00,15:15 - 16:00,Versammlung,Mahnwache für ehrliche und freie Berichterstattung,VRM,5-15
26,2023-01-04 00:00:00,17:00 - 18:00,Versammlung,Tag X in Lützerarth,Gutenbergplatz,20
27,2023-05-01 00:00:00,10:00 - 18:00,Versammlung,Tag der Arbeit - 01. Mai Kundgebung des DGB,Liebfrauenplatz,800
28,2023-01-12 00:00:00,17:00 - 19:00,Versammlung mit Aufzug,Solidaität mit Kurdistan,Strecke,40
29,2023-04-08 00:00:00,9:00 - 16:00,Versammlung mit Aufzug,Ostermarsch,Strecke,400
30,2023-01-12 00:00:00,18:00 -  19:30,Versammlung,Für eine offene Flüchtlingspolitik,Athener Allee Gehwg gegenüber Hausnr. 6,30
31,2023-01-16 00:00:00,18:30 - 20:30,Versammlung mit Aufzug,59. MAINZER SCHILDERLAUF,Strecke,100
32,2023-01-11 00:00:00,17:00 - 18:00,Versammlung,Für den Erhalt von Lützerarth,Gutenbergplatz,100
33,2023-01-18 00:00:00,11:00 - 20:00,Versammlung,Mahnwache : Gewährleistung von Wirksamkeit und Sicherheit pharmazeutischer Produkte,Ecke /An der Goldgrube,7
34,2023-01-09 00:00:00,,Versammlung,Kleber-Klimaktivisten,Alice-Brücke /Ausfahrt Wallstraße,5
35,2023-01-07 00:00:00,10:00 - 18:00,Versammlung,Klimaschutz,Gutenbergplatz,10
36,2023-01-25 00:00:00,12:30-14:30,Versammlung,Gleiche Rechte für Alle,Helmut Kohl Platz,10
37,2023-01-27 00:00:00,16:30-17:30,Versammlung,Omas gegen Rechts,Kaiserstraße 31 (Ecke Leibnizstraße),10-100
38,2023-01-28 00:00:00,14:00-17:00,Versammlung,Frieden ohne Gewalt,Bahnhofsvorplatz,15-20
39,2023-02-04 00:00:00,14:00-17:00,Versammlung,Zeit für Frieden (Frieden ohne Gewalt),Bahnhofsvorplatz,40-50
40,2023-02-11 00:00:00,14:00-17:00,Versammlung,"Frieden, Freude, Eierkuchen (Frieden ohne Gewalt)",Bahnhofsvorplatz,15-20
41,2023-01-23 00:00:00,18:30-20:30,Versammlung mit Aufzug,60. MAINZER SCHILDERLAUF,Strecke,100
42,2023-01-18 00:00:00,18:00-19:30,Versammlung,Genug ist Genug - Die Preise müssen runter,Gutenbergplatz,25
43,2023-01-28 00:00:00,13:00-15:00,Aufzug,Waldschutz,Strecke,7
44,2023-01-22 00:00:00,17:00-18:00,Versammlung,2 Jahre Atomwaffenverbotsvertrag,Liebfrauenplatz,20
45,2023-01-30 00:00:00,18:30-20:30,Versammlung mit Aufzug,61. MAINZER SCHILDERLAUF,Strecke,800
46,2023-02-24 00:00:00,18:00-20:00,Versammlung,Stand with Ukraine/Jahrestag des Angriffs,Markt,40
47,2023-01-27 00:00:00,14:00-16:00,Versammlung,Lützerath bleibt,Frauenlobstraße 59-61,400
48,2023-01-28 00:00:00,15:00-17:00,Aufzug,Unterstützung der Ukraine,Strecke,30
49,2023-02-04 00:00:00,16:30-17:15,Versammlung,Aktion Maria 2.0 - Erneuerung der kath. Kirche,Markt,100
50,2023-02-19 00:00:00,18:00-19:00,Versammlung,Gedenkversammlung Attentat Hanau,Platz der Mainzer Republik,100
51,2023-02-01 00:00:00,18:00 - 19:30,Versammlung,Genug ist Genug,Gutenbergplatz,7
52,2023-02-06 00:00:00,18:30 - 19:30,Aufzug,62. MAINZER SCHILDERLAUF,Strecke,
53,2023-02-18 00:00:00,15:00-18:00,Versammlung mit Aufzug, ,Strecke,10
54,2023-03-03 00:00:00,10:00-18:00,Versammlung mit Aufzug,Fridays for Future - globaler Klimastreik,Strecke + Gutenbergplatz,10
55,2023-02-09 00:00:00,16:15 - 18:00,Versammlung,Mahnwache für ehrliche und freie Berichterstattung,Platz vor ZDF,5-15
56,2023-02-16 00:00:00,16:15 - 18:00,Versammlung,Mahnwache für ehrliche und freie Berichterstattung,Platz vor ZDF,5-15
57,2023-02-23 00:00:00,16:15 - 18:00,Versammlung,Mahnwache für ehrliche und freie Berichterstattung,Platz vor ZDF,5-15
58,2023-02-02 00:00:00,15:30 - 18:00,Versammlung,Mahnwache für ehrliche und freie Berichterstattung,SWR,5-15
59,2023-02-09 00:00:00,15:30 - 18:00,Versammlung,Mahnwache für ehrliche und freie Berichterstattung,SWR,5-15
60,2023-02-16 00:00:00,15:30 - 18:00,Versammlung,Mahnwache für ehrliche und freie Berichterstattung,SWR,5-15
