April,Info,Demo,Sonst,Standort,Veranstalter,Uhrzeit,Thema,TN-Zahl
,,,,,,,,
,,,,,,,,
1.0,,x,,Am Victoriaturm,ver.di,10:30-11:00,Tarifrunde Versicherungen,10-20 P.
,x,,,P 2 / Planken,Body of Christ,18:00-20:00,,
,,,,,,,,
2.0,x,,,P 2 / Planken,Privatperson,10:00-15:00,,
,x,,,Tattersallstraße 2 (vor dem SYTE Hotel),"Rotary E-Club Distrikt 1860, Shelterbox Germany e.V.",09:00-15:00,,
,x,,,Freifläche O7,"Rotary E-Club Distrikt 1860, Shelterbox Germany e.V.",09:00-15:00,,
,,x,,Paradeplatz,Kurden,14:00-16:00,Unterdrückung Kurden,30-40
,x,,,Normannenstraße/Merowingerstraße ,Stadt Mannheim,10:00-14:00,,
,x,,,Paradeplatz Seite N 1,Nahostgruppe Mannheim ,11:00-15:00,,
,x,,,Paradeplatz zwischen Planken und Grünflächen,Privatperson,11:00-16:00,,
,,x,,Ehrenhof - Neckarstadt - Ehrenhof,Seebrücke,15:00-18:30,"Fahrraddemo ""Grenzenloser Schutz""
",200
,,x,,O 6 - O 7 (abgesagt),Privatperson,15:00-18:00,"""Earthlings Experience"",Tierrechte, 
Massentierhaltung, Veganismus",20
,x,,,P 2 / Planken,Body of Christ ,11:00-14:00,,
,,,,,,,,
3.0,,x,,Paradeplatz zwischen Grünfläche und Planken   ,Privatperson,15:00-17:00,Freiheit-Religion,5
,,,,,,,,
4.0,,x,,Paradeplatz zwischen Grünfläche und Planken,Montagsdemo ,17:45-19:00,Widerstand gegen Hartz IV und Agenda 2010,15-20
,,,,,,,,
,,,,,,,,
5.0,,,,,,,,
,,,,,,,,
,,,,,,,,
6.0,,,,,,,,
,,,,,,,,
7.0,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
8.0,x,,,P 2 / Planken,Body of Christ,18:00-20:00,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
9.0,,x,,"Paradeplatz (nicht bestätigt, da keine Rückmeldung)",Kurden,14:00-16:00,Unterdrückung Kurden,30-40
,x,,,Paradeplatz zwischen Planken und Grünflächen,Nahostgruppe Mannheim ,11:00-15:00,,
,x,,,Paradeplatz zwischen Planken und Grünflächen,Privatperson,11:00-16:00,,
,x,,,Hauptstr. 81,Liebenzeller Gemeinde,09:00-12:00,,
,x,,,Hauptstr. 86,Liebenzeller Gemeinde,09:00-12:00,,
,x,,,Steubenstr. 106,CDU,07:30-10:30,,
,,x,,O 6 - O 7,Privatperson,15:00-18:00,"""Earthlings Experience"",Tierrechte, 
Massentierhaltung, Veganismus",20
,x,,,P 2 / Planken,Body of Christ ,11:00-14:00,,
,x,,,P 2 / Planken,Privatperson,10:00-15:00,,
,x,,,Paradeplatz Seite N 1,Privatperson,10:00-17:00,,
,,x,,Breite Straße Ecke Q1,Privatperson,15:00-17:00,Alles sinnlos?,5
,,x,,Paradeplatz zwischen Planken und Grünflächen,Privatperson,15:00-17:00,"Freiheit - Religion, mit Rede Musik",5
,,,,,,,,
,,,,,,,,
10.0,,,,,,,,
,,,,,,,,
,,,,,,,,
11.0,,,,,,,,
,,,,,,,,
,,,,,,,,
