Juli,Info,Demo,Sonst,Standort,Veranstalter,Uhrzeit,Thema,TN-Zahl
,,,,,,,,
,,,,,,,,
,,,,,,,,
1.0,x,,,P 3 / Planken,Body of Christ,18:00-20:00,,
,,x,,"N7, 17",ver.di,05:30-09:00,Streik Tarifrunde Geld und Wert,70
,,,,,,,,
,,,,,,,,
,,,,,,,,
2.0,x,,,"Vogelstangsee, Gehweg hinter Geschwister-Scholl-Schule",SPD ,14:00-15:00,,
,x,,,P4 / Planken,Gideon Gruppe,10:00-13:00,,
,x,,,P 2 / Planken,Privatperson,10:00-15:00,,
,x,,,Paradeplatz zwischen Grünfläche und Planken,IGMG,12:00-16:00,,
,,x,,Paradeplatz zwischen Grünfläche und Planken,Tabernacle Church Mannheim ,10:00-14:00,Religion,10-15
,x,,,Auf dem Sand / Rollbühlstr.,Zeugen Jehovas,09:00-18:00,,
,x,,,Freifläche O 7 Eingang Planken,Nahostgruppe ,10:45-15:30,,
,x,,,Lange Rötterstraße 19-21 Postbank,Die Grünen,10:00-13:00,,
,x,,,P 3 / Planken,Body of Christ ,11:00-14:00,,
,x,,,Paradeplatz zwischen Planken und Grünflächen,Privatperson,11:00-16:00,,
,x,,,Paradeplatz Seite N 1,Privatperson,10:00-17:00,,
,,x,,Alter Messplatz,Kurdisches Gemeinschaftszentrum ,14:00-17:00,Unterdrückung des kurdischen Volkes,10
,x,,,F 1 / Breite Straße,QuadRadEntscheid,10:00-16:00,,
3.0,,,,,,,,
4.0,,,,,,,,
,,,,,,,,
,,,,,,,,
5.0,,x,,Paradeplatz zwischen Grünflächen und Planken,Friedensbündnis ,18:30-20:00,Frieden schaffen ohne Waffen,50
,,x,,Paradeplatz ,Privatperson,11:00-18:00,Religion,15
,,,,,,,,
,,,,,,,,
6.0,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
7.0,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
8.0,,,x,Paradeplatz- gegenüber Stadthaus/N 1( 5x5m groß),FB 40- Last Minute Ausbildungsaktion,14.00-18.00,,
,x,,,P 3 / Planken,Body of Christ,18:00-20:00,,
,,x,,D 5 ggü. Rathaus,DFG-VK und Friedensbündnis Mannheim,18:30-20:00,Flaggentag der „Mayor for Peace“,30
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
9.0,,x,,Paradeplatz zwischen Planken und Grünflächen,Kurdisches Gemeinschaftszentrum,15:00-18:00,Unterdrückung des kurdischen Volkes,5-10
,x,,,P 2 / Planken,Privatperson,10:00-15:00,,
,x,,,Auf dem Sand / Rollbühlstr.,Zeugen Jehovas,09:00-18:00,,
,,x,,Goetheplatz - Friedrich-Ebert-Brücke- Theodor-Kutzer-Ufer (abgesagt),Privatperson,13:00-17:00,Impfpflicht ,200
,x,,,P 3 / Planken,Body of Christ ,11:00-14:00,,
,x,,,Paradeplatz zwischen Planken und Grünflächen,Privatperson,11:00-16:00,,
,x,,,Paradeplatz zwischen Planken und Grünflächen,Privatperson,10:00-17:00,,
,x,,,"Sandhofen, vor dem Kriegerdenkmal",SPD Fahrradtour,10:00-10:30,,
