Juni,Info,Demo,Sonst,Standort,Veranstalter,Uhrzeit,Thema,TN-Zahl
,,,,,,,,
1.0,,,x,Alter Messplatz u. Paradeplatz Uhr,Hirsch- Mannheimer Sommer- NT Mannheim,GT,,
,,x,,Planken Ecke O6/O7,Albert Schweitzer Stiftung ,16:30-20:00,Tierschutz,3 bis 10
,,x,,"Ehrenhof Bismarckstr Kaisserring Schwetzingerstr Seckenheimer Schubert Augustaanlage 
Wasserturm Fressgasse Q1/Q2 Luisenring MVV Hochhaus ",Fridays for Future,15:30-18:30,"Fahrraddemo 
Greenwashing MVV",500
,,,,,,,,
2.0,,,x,Alter Messplatz u. Paradeplatz Uhr,Hirsch- Mannheimer Sommer- NT Mannheim,GT,,
,,,,"Keine Demos möglich auf Ringsytem, Kurpfalzkreisel, Augustaanlage, Friedrichsplatz,  Bismarckstraße, Schloss",,,,
,,,,,,,,
,,,,,,,,
3.0,,,x,Alter Messplatz u. Paradeplatz Uhr,Hirsch- Mannheimer Sommer- NT Mannheim,GT,,
,,,,"Keine Demos möglich auf Ringsytem, Kurpfalzkreisel, Augustaanlage, Friedrichsplatz,  Bismarckstraße, Schloss",,,,
,x,,,P 2 / Planken,Body of Christ,18:00-20:00,,
,,,,,,,,
,,,,,,,,
4.0,,x,,Planken O6/O7,Privatperson,15:00-18:00,Earthlings Experience,20
,,,x,Alter Messplatz u. Paradeplatz Uhr,Hirsch- Mannheimer Sommer- NT Mannheim,GT,,
,x,,,Paradeplatz zwischen Grünfläche und Planken,Nahostgruppe Mannheim ,11:00-15:00,,
,x,,,Paradeplatz zwischen Planken und Grünflächen,Privatperson,11:00-16:00,,
,x,,,Planken P4,Gideon Gruppe,10:00-13:00,,
,x,,,AM Neumarkt nähe Kiosk,Offenes Stadtteiltreffen Neckarstadt,14:00-17:00,,
,,,,"Keine Demos möglich auf Ringsytem, Kurpfalzkreisel, Augustaanlage, Friedrichsplatz,  Bismarckstraße, Schloss",,,,
,x,,,Ecke Kasseler Straße 111 / Geranienweg 16,SPD Gartenstadt,10:00-11:00,,
,x,,,P 2 / Planken,Body of Christ ,11:00-14:00,,
,x,,,Paradeplatz zwischen Grünfläche und Planken,Privatperson,14:00-17:00,,
