Mai,Info,Demo,Sonst,Standort,Veranstalter,Uhrzeit,Thema,TN-Zahl
,,,,,,,,
,,,,,,,,
1,,x,,Gewerkschaftshaus-Planken-Breite Str.-Marktplatz,DGB,"08:00-15:00
10:00-11:00",1.-Mai-Feier,300
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2,,x,,Grünfläche u. Spielplatz vor Hans-Böckler-Straße,ver.di,11:00-14:00,Tarifrunde Sozial- und Erziehungsdienst,70
,,,,,,,,
,,,,,,,,
3,,x,,Marktplatz G 1,Studierendenschaft,18:00-19:00,Nein zu Polizeigewalt,50
 ,,,,,,,,
 ,,,,,,,,
4,,x,,Neckarufer Seite Neckarstadt-West,ver.di,07:30-15:00,Tarifrunde Sozial- und Erziehungsdienst,1000
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
5,,x,,Marktplatz G 1,DIDF,18:00-20:00,Mahnwache wg. Ereignis 02.05.22,200
,,x,,"H4,1 - G2,8",Privatperson,18:00-19:00,Mahnwache ,50
,,,,,,,,
,,,,,,,,
6,x,,,P 2 / Planken,Body of Christ,18:00-20:00,,
,,x,,Paradeplatz zwischen Grünfläche und Planken (abgesagt),Privatperson,14:00-17:00,Debattiertisch zu Veganismus,1-4
,,,,,,,,
,,,,,,,,
7,x,,,P 2 / Planken,Privatperson,10:00-15:00,,
,x,,,Paradeplatz zwischen Planken und Grünflächen,Privatperson,11:00-16:00,,
,x,,,P 2 / Planken,Body of Christ ,11:00-14:00,,
,,x,,Paradeplatz (abgesagt),VVN ,10:00-13:00,8. Mai muss Feiertag werden,50-80
,,x,,Planken O6/O7,Privatperson,15:00-18:00,Earthlings Experience,20
,x,,,Freifläche O 7 Eingang Planken,Nahostgruppe ,11:00-15:00,,
,,x,,Paradeplatz auf der Seite zu N1,Privatperson,11:30-16:00,Religion,15
,,x,,G 1 - Quadrate Innenstadt - Bismarckstraße - Breite Straße - G 1,Initiative 2. Mai,17:00-21:00,,
,,,,,,,,
,,,,,,,,
8,,x,,Ehrenhof,Mannheim sagt Ja,17:00-22:00,Sound of Peace,
,,x,,Turfweg (ab Abzw. Schlittweg),Mannheim Animal Save,10:30-15:00,Mahnwache,15
,,,,,,,,
9,,x,,Paradeplatz zwischen Grünfläche und Planken,Montagsdemo ,17:45-19:00,Widerstand gegen Hartz IV und Agenda 2010,15-20
,,x,,Paradeplatz zwischen Grünfläche und Planken ,Privatperson,14:00-17:00,Debattiertisch zu Veganismus,1-4
,,,,,,,,
,,,,,,,,
,,,,,,,,
10,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
11,x,,,Plankstadter Str. 28,Caritas,11:00-14:00,,
,,x,,Lameygarten (R 7),Die Linke,19:00-21:00,Infos u. Austausch zu akt. polit. Themen,30
,,,,,,,,
,,,,,,,,
,,,,,,,,
12,x,,,Haupteingang UMM,verdi,11:45-13:45,Protestaktion zum Tag der Pflegenden,80-100
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
