November,Info,Demo,Sonst,Standort,Veranstalter,Uhrzeit,Thema,TN-Zahl
,,,,,,,,
1.0,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2.0,,x,,Marktplatz G 1,Initiative 2. Mai ,17:30-20:00,gegen Polizeigewalt,100
,x,,,Gerd-Dehof-Platz,Polizeirevier Oststadt,09:00-15:00,,
,x,,,Waldpforte / Märker Querschlag,SPD,17:30-18:30,,
,,x,,Schwetzinger Str. 148,Albert Schweitzer Stiftung,17:00-20:00,Tierschutz,4-8
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
3.0,,x,,Rhenaniastr. 12-30 vor Südkabel dortige Wendespur,IG Metall,13:00-14:00,Warnstreik,100
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
4.0,,x,,Tor 2 DB Obere Riedstraße,IG Metall,10:30-11:30 ,Warnstreik,3500
,,x,,Tor 2 DB Obere Riedstraße,IG Metall,18:30-19:30 ,Warnstreik,1000
,x,,,Planken P3,Body of Christ,18:00-20:00,,
,,,,,,,,
,,,,,,,,
5.0,,x,,Alter Messplatz- Kurpfalzbrücke- Friedrichsring-Fressgasse bis F2 - Quadrate - Marktplatz,Initiative 2. Mai ,14:00-17:00,gegen Polizeigewalt,1000
,x,,,P 2 / Planken,Privatperson,10:00-15:00,,
,x,,,"Planken O2,1",Jehovas Zeugen,09:00-19:00,,
,x,,,F 1 / Breite Straße,Privatperson,11:00-16:00,,
,x,,,Paradeplatz zwischen Grünfläche und Planken,Adventgemeinde,14:00-19:00,,
,x,,,Käfertal Ecke Auf dem Sand/Rollbühlstraße ,Zeugen Jehovas,09:00-18:00,,
,,x,, O6/O7  (Planken),Privatperson,15:00-18:30,Tierschützer,20
,x,,,Planken P3,Body of Christ,11:00-14:00,,
,x,,,Freifläche K 1 Ri. Kurpfalzkreisel,Privatperson,12:00-14:00,,
,x,,,Paradeplatz zwischen Grünfläche und Planken,Privatperson,10:00-18:00,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
6.0,,,,,,,,
,,,,,,,,
,,,,,,,,
7.0,,x,,Paradeplatz zwischen Grünfläche und Planken,Montagsdemo ,17:45-19:00,Widerstand gegen Hartz IV und Agenda 2010,15
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
8.0,,x,,Marktplatz G1,Aktionsbündnis gegen Teuerung,18:00-20:00,gegen Teuerung,100
,,x,,stationär Mannheimer Str./Boveristr. sowie drei Demozüge nach dorthin,IG Metall,12:30-14:00,Warnstreik,180
,,,,,,,,
,,,,,,,,
,,,,,,,,
9.0,,x,,Alter Messplatz (abgesagt),IGBCE ,15:00-19:00,Vertrauensleute Vollversammlung ,100
,,x,,"R 1, 4-6",Albert Schweitzer Stiftung,17:00-20:00,Tierschutz,4-8
,,x,,Am Friedesnplatz 2 Fa. Leica Microsystems,IG Metall,12:00-13:00,Warnstreik,50
,,x,,"Augustaanlage, Schubertstraße, Theodor-Heuss-Anlage bis Carl-Benz-Stadion",Privatperson,16:00-17:30,Trauermarsch für Herman Schmitt ,300
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
10.0,,x,,Paul-Wittsack-Str. vor Tor 1 John Deere-Werk,IG Metall ,09:25-10:30,Warnstreik,900
,,x,,Rhenaniastr. dortiger Wender vor Fa. Südkabel,IG Metall,12:00-22:00,Warnstreik,50
,,,,,,,,
,,,,Märchenwald auf dem Paradeplatz bis Ende Dez. 22,,,,
11.0,x,,,Planken P3,Body of Christ,18:00-20:00,,
,,x,,Carl-Reuther-Straße 1 Fa. VAG und Bopp&Reuther,IG Metall,11:00-12:00,Warnstreik,80
,,,,,,,,
,,,,,,,,
,,,,,,,,
12.0,x,,,P 2 / Planken,Privatperson,10:00-15:00,,
,x,,,"Planken O2,1",Jehovas Zeugen,09:00-19:00,,
,x,,,F 1 / Breite Straße,Privatperson,11:00-16:00,,
,x,,,Käfertal Ecke Auf dem Sand/Rollbühlstraße ,Zeugen Jehovas,09:00-18:00,,
,x,,,Planken P3,Body of Christ,11:00-14:00,,
,x,,,Planken P4,Gideon Gruppe,10:00-13:00,,
,,x,,Abendakademie - Marktplatz (abgesagt),Privatperson,17:30-20:00,Gegen islam. Rep. Iran,100
,,x,,L1-Breite Straße-Planken-Fressgasse-Breite Straße-Kunststraße-Planken-Breite Straße-L1,Privatperson,14:00-17:00,Steigende Preise etc.,250
,,x,,O6/O7,Anonymous for the Voiceless,14:00-17:00,Veganismus,20
,x,,,Freifläche K 1 Ri. Kurpfalzkreisel,Privatperson,12:00-14:00,,
,x,,,,,,,
,x,,,Beilstraße 12 Denkmal des Sackträgers,Privatperson,11:00-17:00 ,,
,,x,,Alter Messplatz ,Be Our Voice ,17:00-20:00,Solidarisierung mit Protestbewegung im Iran,350
,x,,,P 2 / Planken ,Türkische Christen,13:30-15:30,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
13.0,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
14.0,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
15.0,,x,,Feudenheimer Straße / In der Au,Offenes Antifaschistisches Treffen Mannheim,18:00-20:00,gegen Rssismus und rechte Hetze,30-40
,,x,,Rhenaniastr. dortiger Wender vor Fa. Südkabel,IG Metall,ab 06:00 Uhr,Streik,100
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
16.0,,x,,Marktplatz G1 - dorthin 2 Demozüge von Nord und Süd (siehe Vorgang),IG Metall,10:00-14:00,Warnstreik,4000-5000
,,x,,Rhenaniastr. dortiger Wender vor Fa. Südkabel,IG Metall,ganztags,Streik,100
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
17.0,x,,,P 2 / Planken  (abgesagt),Stiftung Lebensblicke,15:00-18:30,,
,,x,,Rhenaniastr. dortiger Wender vor Fa. Südkabel,IG Metall,bis 06:00 Uhr,Streik,100
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
18.0,x,,,Planken P3,Body of Christ,18:00-20:00,,
,x,,,Freifläche o7,Privatperson,10:00-17:00,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
19.0,x,,,P 2 / Planken,Privatperson,10:00-15:00,,
,x,,,"Planken O2,1",Jehovas Zeugen,09:00-19:00,,
,x,,,F 1 / Breite Straße,Privatperson,11:00-16:00,,
,x,,,Käfertal Ecke Auf dem Sand/Rollbühlstraße ,Zeugen Jehovas,09:00-18:00,,
,,x,,Marktplatz- Breite Straße -Kunststr-Ring-Planken-Marktplatz,Privatperson,16:30-21:00,Ukraine,250
,x,,,Planken P3,Body of Christ,11:00-14:00,,
,,x,,Freifläche O 7 vor Burger King,Friedens-Bündnis ,10:00-13:00,Frieden schaffen ohne Waffen - Stoppt den Krieg in der Ukraine,50
,,x,, O6/O7  (Planken),Privatperson,15:00-18:30,Tierschützer,20
,x,,,P 2 / Planken ,Türkische Christen,13:30-15:30,,
,,x,,T 1 / U 1 (Breite Straße),Türkische Christen,16:30-18:30,Evangelisation,10-12
,,,,,,,,
,,,,,,,,
20.0,,x,,"Ecke E1, Planken, O7, Planken, PP, Breite Str, Marktplatz G1 ",Trans* Day of Remembrance,15:00-17:30,Transgender,20
,,x,,Am Stich,Privatperson,15:00-16:00,Kinderbetreuung jetzt!,30
,,x,,"P 4, 11-12",Privatperson,12:00-15:00,"Christliche Werte, Lebenssinn",12
,,,,,,,,
,,,,,,,,
21.0,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
22.0,,x,,Marktplatz G1,Aktionsbündnis gegen Teuerung,18:00-20:00,gegen Teuerung,100
,,,,,,,,
,,,,,,,,
,,,,,,,,
23.0,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
24.0,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
25.0,,x,,Augustaanlage/Otto-Beck-Str. ,Fraueninformationszentrum,15:00-16:00,Intern. Tag gg. Gewalt an Frauen,5-10
,x,,,Planken P3,Body of Christ,18:00-20:00,,
,,x,,G 1 ggü. H 1 / Breite Str. vor Litfaßsäule,Migrantinnenverein Rhein-Neckar,17:00-19:00,Intern. Tag gg. Gewalt an Frauen,10-15
,x,,,Freifläche O7,Privatperson,10:00-17:00,,
,,x,,Marktplatz-Breite Str-PP-Planken-O7 und zurück zum Marktplatz,Feministisches Bündnis ,17:00-18:30,Intern. Tag gg. Gewalt an Frauen,30-80
,,x,,O 7 - O 6,Grüne Jugend,16:00-20:00,Intern. Tag gg. Gewalt an Frauen,5
,,,,,,,,
26.0,x,,,P 2 / Planken,Privatperson,10:00-15:00,,
,x,,,"Planken O2,1",Jehovas Zeugen,09:00-19:00,,
,x,,,F 1 / Breite Straße,Privatperson,11:00-16:00,,
,x,,,Käfertal Ecke Auf dem Sand/Rollbühlstraße ,Zeugen Jehovas,09:00-18:00,,
,x,,,Planken P 3,Amnesty International Hochschulgruppe Mannheim,14:00-17:00,,
,x,,,Freifläche O7 Eingang Planken,Nahost-Gruppe ,10:45-15:30,,
,x,,,Planken P3,Body of Christ,11:00-14:00,,
,x,,,Planken P4,Gideon-Gruppe,10:00-13:00,,
,x,,,Freifläche K 1 Ri. Kurpfalzkreisel,Privatperson,12:00-14:00,,
,,x,,Ehrenhof-Breite Straße-Planken-Fressgasse-Breite Straße-Kunststraße-Planken-Breite Straße-Ehrenhof,Privatperson,14:00-17:00,Steigende Preise etc.,250
,x,,,P 2 / Planken ,Türkische Christen,13:30-15:30,,
,,x,,Marktplatz G 1,Türkische Christen,16:30-18:30,Evangelisation,10-15
,,x,,Soldnerstr. 12 vor Fa. Bäckerbub,Gewerkschaft NGG,12:00-14:00,Personalabbau,50
,,x,,O6/O7,Anonymous for the Voiceless,14:00-17:00,Veganismus,20
