September,Info,Demo,Sonst,Standort,Veranstalter,Uhrzeit,Thema,TN-Zahl
,,,,,,,,
1.0,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,x,,,Paradeplatz zwischen Grünflächen und Planken,Privatperson,18:00-20:00,,
,,x,,Paradeplatz,DGB,17:00-18:30,Antikriegstag,50
,,x,,"Marktplatz,PP,Planken,Augustaanlage,SWR",Privatperson,18:00-20:30,Kritik Medien,100
,,x,,O 7 Freifläche Eingang Planken,Privatperson,16:00-18:30,Freiheit Religion,3
,,,,,,,,
2.0,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,x,,,Planken P3,Body of Christ,18:00-20:00,,
,,x,,Paradeplatz ,Privatperson,16:00-18:30,Freiheit Religion,3
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
3.0,x,,,Auf dem Sand / Rollbühlstr.,Zeugen Jehovas,09:00-18:00,,
,x,,,Paradeplatz zwischen Planken und Grünflächen,Privatperson,11:00-16:00,,
,x,,,Paradeplatz zwischen Grünfläche und Planken,Adventgemeinde,14:30-19:30,,
,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,,x,,PP - Kunststr - Freßgasse - Breite Str - PP,Extinction Rebellion,13:30-15:30,Trauermarsch Artensterben,150
,x,,,P 2 / Planken,Privatperson,10:00-15:00,,
,x,,,Freifläche O7,Nahost-Gruppe ,10:45-15:30,,
,x,,,"Planken O2,1",Jehovas Zeugen,09:00-19:00,,
,,x,,O6/O7,Anonymous for the Voiceless,16:00-19:00,Veganismus,20
,x,,,Planken P3,Body of Christ,11:00-14:00,,
,,x,,O 7 Freifläche Eingang Planken,Privatperson,16:00-18:30,Freiheit Religion,3
,,,,,,,,
,,,,,,,,
4.0,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,,x,,Paradeplatz,Privatperson,18:00-19:00,Mahnwache der LGBTIQ-Community,200
,,,,,,,,
5.0,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,,,,,,,,
,,,,,,,,
6.0,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,,x,,Paradeplatz zwischen Grünflächen und Planken,Friedensbündnis ,17:30-19:30,Frieden schaffen ohne Waffen,50
,,x,,Paradeplatz zwischen Grünflächen und Planken,Die Linke,16:00 - 17:00,Gegen soziale Kälte – Für Umverteilung - Gegen Preisexplosion,50
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
7.0,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,,x,,Paradeplatz,Privatperson,15:00-18:00,Freiheit Religion,10
,,,,,,,,
8.0,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
9.0,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,x,,,Planken P3,Body of christ,18:00-20:00,,
,x,,,Rheingoldplatz,BI für 5G-freies Leben,16:00-20:00,,
,,,,,,,,
,,,,,,,,
10.0,,,,Innenstadt Planken und Paradeplatz,"Veranstaltung ""Automobil""",,,
,x,,,Auf dem Sand / Rollbühlstr.,Zeugen Jehovas,09:00-18:00,,
,x,,,,Privatperson,11:00-16:00,,
,x,,,Paradeplatz zwischen Grünfläche und Planken  (widerrufen),Adventgemeinde,14:30-19:30,,
