2018,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
Datum Versammlung,Örtlichkeit (ink. AKG + SKG),Stationär / sfv,Organisation,Thema,TN-Zahl
2018-01-01 00:00:00,Neuhauser Straße 14,stationär,Gemeinschaft Sant Egidio,Friedenskundgebung,150
2018-01-01 00:00:00,Rindermarkt,stationär,Münchner Mahnwache,Mahnwache der Liebe,10-50
2018-01-04 00:00:00,Maximilianstr. (Maxmonument),stationär,Bündnis 90 / Die Grünen,Aktion Europa,30
2018-01-07 00:00:00,Sendlinger-Tor-Platz – Schwanthalerstr. 140,sfv,,Gedenken Todestag Oury Jalloh,200
2018-01-08 00:00:00,Rindermarkt,stationär,Münchner Mahnwache,Mahnwache der Liebe,10-50
2018-01-08 00:00:00,Sendlinger Str. 8,stationär,,Weg mit Hartz IV,30-40
2018-01-09 00:00:00,Heimeranstraße 31,stationär,,"Wir fordern die Aufklärung der Morde an Sakine Cansiz, Fidan Dogan und Leyla Saylemez",15
2018-01-10 00:00:00,Carl-Wery-Str./Otto-Hahn-Ring 6 Siemens,stationär,IG Metall München,Warnstreik,300
2018-01-10 00:00:00,Marienplatz,stationär,,Solidarität mit dem iranischen Volk,10
2018-01-10 00:00:00,Anzinger Str. 13,stationär,IG Metall München,Tarifrunde Metall und Elektroindustrie 2018,300
2018-01-10 00:00:00,Krauss-Maffei-Str. - Reinhard-von-Frank-Str.,sfv,IG Metall München,Warnstreik Metall und Elektro Tarifrunde 2018,1600
2018-01-10 00:00:00,Schleißheimer Straße 86,stationär,Greenpeace e.V.,Billigfleisch bei Lidl,2
2018-01-12 00:00:00,Obere Grasstr. 1,stationär,HeimatGiesing,Mahnwache gegen den illegalen Abriss,20-30
2018-01-12 00:00:00,Sendlinger Str. 8,stationär,,Für einen gerechten Frieden im Nahen Osten,10-15
2018-01-12 00:00:00,Neuhauser Straße 8,stationär,,Anonymous for the Voiceless,8-20
2018-01-13 00:00:00,Marienplatz,stationär,Koreanischer Verein München e.V.,Zugehörigkeit der Dok-Do Inseln zu Südkorea,100
2018-01-13 00:00:00,Bayerstraße bis Odeonsplatz,sfv,,gegen Präsident Kabila im Kongo,150
2018-01-13 00:00:00,Neuhauser Straße 8,stationär,Greenpeace e.V.,CO2-Budget und Energiewende,4-8
2018-01-16 00:00:00,Maeurkirchstr. ggü. iranischen Generalkonsulat,stationär,,Solidarität mit den Protestierenden im Iran,50
2018-01-18 00:00:00,Truderinger Straße 306 (Gehweg gegenüber),stationär,München ist bunt e.V.,Kein Platz für Rassismus und Fremdenfeindlichkeit!,25
2018-01-19 00:00:00,Neuhauser Straße 8,stationär,,Anonymous for the Voiceless,8-20
2018-01-19 00:00:00,Nymphenburger Str. 16 vor dem Gericht,stationär,,Solidarität mit ATiK Gefangenen/politisch Gefangenen,100
2018-01-19 00:00:00,"Steinsdorfstraße, vor St- Lukas-Kirche",stationär,Green City e.V.,Demonstration für saubere Luft,30
2018-01-19 00:00:00,Marienplatz,stationär,,Solidarität mit den Protestierenden im Iran,50
2018-01-19 00:00:00,Menzinger Straße 3 (Gehweg gegenüber),stationär,,Gegen die türkische Kriegspolitik,20
2018-01-20 00:00:00,Siegestor - Odeonsplatz - Marienplatz,sfv,,Womens March Munich 2018,400
2018-01-20 00:00:00,Neuhauser Straße 8,stationär,,Demokratie für Bolivien,30
