2019,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
Datum Versammlung,Versammlungsbeginn,Versammlungsende,Örtlichkeit (ink. AKG + SKG),Stationär / sfv,Organisation,Thema,TN-Zahl
2019-01-01 00:00:00,16.00,17.00,Neuhauser 14,stationär,Gemeinschaft Sant Egidio e.V.,Friedenskundgebung,100
2019-01-02 00:00:00,10.30,12.00,Schwanthaler Str. 64 - Schwanthaler Str. 64,sfv,ver.di,Demo wegen Streiks im Bereich Geld- und Werttransportdienstleistungen,400
2019-01-03 00:00:00,17.15,20.15,Sendlinger Str. 11,stationär,,Anonymous for the Voiceless,10-30
2019-01-05 00:00:00,13.00,20.00,Sendlinger Str. 11,stationär,Animal Rights Watch e.V.,Tierschutz,10
2019-01-06 00:00:00,10.00,16.00,Neuhauser Str. 8,stationär,,Seenotrettung,50
2019-01-06 00:00:00,9.30,14.00,Franz-Josef-Strauss-Ring 1,stationär,,nachhaltige Agrarpolitik,150
2019-01-07 00:00:00,18.00,20.00,Max-Joseph-Platz,stationär,,Weg mit Hartz IV,20-30
2019-01-08 00:00:00,17.15,20.15,Neuhauser Str. 8,stationär,,Anonymous for the Voiceless,10-30
2019-01-09 00:00:00,16.00,17.00,Heimeranstr. 31,stationär,,Aufklärung der Morde,10
2019-01-10 00:00:00,19.00,20.00,"Effnerplatz, Richard-Strauss-Str. 144 gegenüber",stationär,,Rumänische Politik,2-20
2019-01-11 00:00:00,13.00,14.00,Sendlinger Str. 8,stationär,,Für einen gerechten Frieden im Nahen Osten,10-15
2019-01-11 00:00:00,18.00,19.30,Obere Grasstr. 1,stationär,,illegaler Abriss,20-30
2019-01-12 00:00:00,,,Odeonsplatz,stationär,Amnesty International,Mahnwache für die Meinungsfreiheit in der Türkei,10
2019-01-12 00:00:00,12.00,18.00,Marienplatz,stationär,,#opSafeWinter,20-25
2019-01-12 00:00:00,17.10,20.15,Hauptbahnhof Zwischengeschoss,stationär,,Anonymous for the Voiceless,10-35
2019-01-12 00:00:00,13.00,15.00,Plinganserstraße 45,stationär,,Artgerechte Tierhaltung von Nutztieren,10
2019-01-12 00:00:00,10.30,14.30,Leopoldstraße 41,stationär,,Artgerechte Tierhaltung von Nutztieren,10
2019-01-14 00:00:00,09.00,11.55,Forst-Kasten-Allee 103,stationär,,Wir setzen ein Zeichen für den Diakonat der Frau,20
2019-01-16 00:00:00,11.00,12.30,Leopoldstraße 28a,stationär,PETA Deutschland e.V.,TUI profitiert vom Leid der Orcas,3-12
2019-01-16 00:00:00,13.30,17.15,Ismaninger Str. - Sendlinger-Tor-Pl.,sfv,Studiosi Candidatique Medicinae e.V.,Demonstration für faire Bedingungen im Praktischen Jahr des Medizinstudiums,200
2019-01-16 00:00:00,11.00,14.00,Forst-Kasten-Allee 103,stationär,,Wir setzen ein Zeichen für den Diakonat der Frau,20
2019-01-17 00:00:00,19.00,20.00,Marsstraße 43,stationär,,Tierhaltung bei Zirkus Krone,2-10
2019-01-17 00:00:00,17.10,20.15,Hauptbahnhof Zwischengeschoss,stationär,,Anonymous for the Voiceless,10-35
2019-01-17 00:00:00,08.30,09.30,Marienplatz,stationär,Die Linke München,Eine Stadt für Alle – macht München zum sicheren Hafen,20
2019-01-18 00:00:00,11.00,13.00,GSP – Maximilianstr.,sfv,,Junge Menschen gehen für Maßnahmen gegen die Klimakrise auf die Straße,250
2019-01-18 00:00:00,09.00,12.00,"Hofmannstr. 62-64, ggü. Chin. GK",stationär,Falun Gong Gruppe München,Beendigung der Verfolgung und des Organraubs an Falun Gong Praktizierenden in China,10
2019-01-19 00:00:00,14.00,16.00,GSP bis MPL,sfv,,Womens March Munich,100
2019-01-19 00:00:00,13.40,16.30,Hauptbahnhof Zwischengeschoss,stationär,,Anonymous for the Voiceless,10-35
2019-01-19 00:00:00,15.00,16.15,Mauerkircherstr. Ecke Thomas-Mann-Allee,stationär,Momentum Mozgalom,gegen Sklavengesetz in Ungarn,80
2019-01-19 00:00:00,14.30,17.00,Sendlinger-Tor-Platz bis Marienplatz,sfv,,Jahrestag des Überfalls der Türkei und Dschihadisten auf die demokratische Selbstverwaltung von Afrin,100
2019-01-19 00:00:00,17.00,21.00,Max-Joseph-Platz,stationär,,Gegen die Auftritte und Bewerbung eines heterosexistischen Künstlers in der bayerischen Staatsoper,100
2019-01-20 00:00:00,15.00,16.30,Königsplatz vor Propyläen,stationär,Verein der Makedonier in München,Friedliche Lösung im Namensstreit,200
2019-01-20 00:00:00,17.00,21.00,Max-Joseph-Platz,stationär,,Gegen die Auftritte und Bewerbung eines heterosexistischen Künstlers in der bayerischen Staatsoper,100
2019-01-21 00:00:00,18.00,20.00,Marienplatz,stationär,,Weg mit Hartz IV,20-30
2019-01-21 00:00:00,12.00,14.00,Nymphenburger Str. 16,stationär,,Solidarität mit ATIK Gefangenen,30
2019-01-22 00:00:00,17.10,20.30,Hauptbahnhof Zwischengeschoss,stationär,,Anonymous for the Voiceless,10-35
2019-01-22 00:00:00,16.00,19.00,Marienplatz,stationär,,Solidarität mit dem Hungerstreik der in der Türkei inhaftierten Leyla Güven,10
2019-01-23 00:00:00,08.30,09.00,Marienplatz,stationär,Green City e.V.,"Luftreinheitsplan der Stadt München, Stadtratstermin",15
2019-01-23 00:00:00,18.00,20.00,Karlsplatz,stationär,,Anerkennung und Unterstützung von Juan Graido als Interim President von Venezuela,150
2019-01-23 00:00:00,16.00,19.00,Marienplatz,stationär,,Solidarität mit dem Hungerstreik der in der Türkei inhaftierten Leyla Güven,10
2019-01-24 00:00:00,16.00,19.00,Neuhauser Str. 8,stationär,,Solidarität mit dem Hungerstreik der in der Türkei inhaftierten Leyla Güven,10
2019-01-24 00:00:00,18.30,19.30,Salvatorplatz 1,stationär,,Kritik an der Verleihung des Ernst-Hoferichter-Preis an Dieter Hanitzsch wegen antisemitischer Karikatur,20
2019-01-25 00:00:00,13.00,14.00,Odeonsplatz,stationär,,Für einen gerechten Frieden im Nahen Osten,10-15
2019-01-25 00:00:00,17.10,20.30,Hauptbahnhof Zwischengeschoss,stationär,,Anonymous for the Voiceless,10-35
2019-01-25 00:00:00,10.00,13.00,St.-Pauls-Pl. - Geschwister-Scholl-Pl.,sfv,Helfer Deutschlands e.V.,Gebet für von vorgeburtlicher Tötung bedrohte Menschen,20
2019-01-25 00:00:00,11.00,14.30,Marienplatz-Karlsplatz,sfv,,Einhalten der Emissionsziele und eine effektivere Klimapolitik,750
2019-01-25 00:00:00,10.30,14.30,Georgenstr. 28,stationär,,Ihr könnt uns immer noch kreuzweise,100
2019-01-25 00:00:00,17.00,18.30,Arnulfstr. 61,stationär,,Waffenexporte stoppen!,10-15
2019-01-25 00:00:00,16.00,19.00,Karlsplatz,stationär,,Solidarität mit dem Hungerstreik der in der Türkei inhaftierten Leyla Güven,10
2019-01-25 00:00:00,14.00,16.00,Marienplatz,stationär,,Klimaschutz und Klimagerechtigkeit,50-100
2019-01-26 00:00:00,14.00,15.30,Marienplatz,stationär,Kofra e.V.,Körperliche und sexuelle Selbstbestimmung sind nicht verhandelbar,50-100
2019-01-26 00:00:00,16.00,21.00,"Europaplatz, Friedensengel",stationär,,Friedliche Trauer und Mahnwache wegen den sinnlosen gewalttaten Tod des Danziger Bürgermeisters Pawel Adamowicz,100
2019-01-26 00:00:00,12.00,16.00,Karlsplatz,stationär,Celebrity Centre Scientology Kirche München,Man kann immer etwas tun,10
2019-01-26 00:00:00,10.00,15.00,Neuhauser Str. 8,stationär,KVPM e.V.,Mahnwache,10
2019-01-29 00:00:00,17.10,20.30,Hauptbahnhof Zwischengeschoss,stationär,,Anonymous for the Voiceless,10-35
2019-01-30 00:00:00,09.00,15.00,Zenettistraße 10,stationär,,Friedliche Mahnwache für die Tiere,10
2019-01-31 00:00:00,10.00,12.30,Marienplatz,stationär,,Rettet die Bienen – Volksbegehren,150
2019-01-31 00:00:00,17.30,18.30,Europaplatz,stationär,Amnesty International,Menschenrechte in Russland,6
2019-01-31 00:00:00,19.00,20.00,Marsstraße 43,stationär,,Tierhaltung bei Zirkus Krone,2
2019-02-01 00:00:00,13.30,15.00,Marienplatz,stationär,ÖDP Bayern,Rettet die Bienen – Volksbegehren,500
2019-02-01 00:00:00,09.00,12.00,"Hofmannstr. 62-64, ggü. Chin. GK",stationär,Falun Gong Gruppe München,Organraub,10
2019-02-01 00:00:00,14.00,16.00,Neuhauser Str. 8,stationär,,Klimaschutz und Klimagerechtigkeit,50-100
2019-02-02 00:00:00,12.00,18.00,Karlsplatz,stationär,,#opSafeWinter,20-25
2019-02-02 00:00:00,14.30,16.30,Marienplatz,stationär,,"Klimagerechtigkeit, Kohleausstier",50-200
2019-02-02 00:00:00,11.00,13.00,Neuhauser 8,stationär,Ärzte gegen Tierversuche,Stoppt Tierversuche für Xenotransplantationsforschung,8
2019-02-02 00:00:00,15.00,17.00,Schwanthaler / Ecke Sonnenstraße,stationär,Mobil in Deutschland e.V.,gegen Fahrverbote,250
2019-02-02 00:00:00,14.00,17.00,Odeonsplatz,stationär,,gegen das Regime im Sudan,70-90
2019-02-02 00:00:00,15.00,18.00,Max-Joseph-Platz,stationär,IGMG Regionalverband Süd Bayern e.V.,Uiguren in China,300
2019-02-02 00:00:00,14.40,17.45,Hauptbahnhof Zwischengeschoss,stationär,,Anonymous for the Voiceless,10-35
2019-02-02 00:00:00,11.30,13.30,Max-Joseph-Platz,stationär,,Venezuela,150
2019-02-02 00:00:00,12.00,16.00,Thomas-Dehler Str. 10-12,stationär,,Stoppt den Völkermord im Jemen,5-15
2019-02-02 00:00:00,16.00,18.00,Neuhauser Str.8,stationär,,Solidarität mit dem Hungerstreik der in der Türkei inhaftierten Leyla Güven,50
2019-02-03 00:00:00,14.00,15.00,Max-Joseph-Platz,stationär,Pulse of Europe e.V.,Pulse of Europe,200-300
2019-02-04 00:00:00,18.00,20.00,Marienplatz,stationär,,Weg mit Hartz IV,20-30
2019-02-05 00:00:00,17.10,20.15,Hauptbahnhof Zwischengeschoss,stationär,,Anonymous for the Voiceless,10-35
2019-02-05 00:00:00,13.00,15.00,Maximilanstraße – Maxmonument,stationär,Bund Naturschutz Bayern,Rettet die Bienen,20-25
2019-02-06 00:00:00,15.30,17.00,"Hofmannstr. 62-64, ggü. Chin. GK",stationär,Ostturkistanische Union in Europa,Jahrestag Massaker Uiguren,35
2019-02-06 00:00:00,14.40,15.20,Manchesterplatz,stationär,,Commemorations in Munich,200
2019-02-07 00:00:00,16:00:00,16.45,Am Bavariapark 5 – Ruppertstraße 19,sfv,,Rettet die Bienen,40-100
2019-02-07 00:00:00,19.00,20.00,Marsstraße 43,stationär,,Tierhaltung bei Zirkus Krone,2
2019-02-07 00:00:00,15.10,15.45,Isartor-Marienplatz,sfv,,Rettet die Bienen,20-40
2019-02-08 00:00:00,13.00,14.00,Karlsplatz,stationär,,Für einen gerechten Frieden im Nahen Osten,10-15
2019-02-08 00:00:00,18.00,19.30,Obere Grasstr. 1,stationär,,illegaler Abriss,20-30
2019-02-08 00:00:00,14.30,16.30,"Von-der-Tann-Str., ggü. Königinstr. 5",stationär,,Repression des chinesischen Regimes in Ostturkistan,20-30
2019-02-08 00:00:00,17.10,20.15,Hauptbahnhof Zwischengeschoss,stationär,,Anonymous for the Voiceless,10-35
2019-02-08 00:00:00,11.00,14.00,Marienplatz – Marienplatz,sfv,,gegen die Klimakrise und für das Volksbegehren Artenschutz,200
2019-02-08 00:00:00,14.00,15.45,Max-Joseph-Platz – MPL,sfv,ÖDP Bayern,Artenvielfalt,150
2019-02-08 00:00:00,13.30,15.15,Lerchenauer Str. 70,stationär,,Streik-Solidarität mit Frankreich Mexiko und Ungarn,8
2019-02-08 00:00:00,10.00,11.00,Lotte-Branz-Straße 10,stationär,IG Metall,Schließung des Miele-Standorts im Euro-Industrieopark,50-100
2019-02-09 00:00:00,17.30,18.30,Sendlinger Str. 8,stationär,Amnesty International,Mahnwache für die Meinungsfreiheit in der Türkei,10
2019-02-09 00:00:00,15.00,17.00,Schwanthaler / Ecke Sonnenstraße,stationär,Mobil in Deutschland e.V.,gegen Fahrverbote,250
2019-02-09 00:00:00,15.30,17.30,Neuhauser Str. 8,stationär,,Menschenrechte im Iran,10
2019-02-09 00:00:00,12.00,14.00,Marienplatz,stationär,,Civilrechte in Katalonien,20
2019-02-10 00:00:00,14.00,17.00,Richard-Strauss-Str. 149,stationär,,Rumänische Politik,2-20
2019-02-12 00:00:00,17.10,20.15,Hauptbahnhof Zwischengeschoss,stationär,,Anonymous for the Voiceless,10-35
2019-02-13 00:00:00,11.00,13.00,Promenadeplatz,stationär,,Protest gegen die Siko,10-15
2019-02-14 00:00:00,15.30,18.30,Karlsplatz,stationär,One Billion Rising e.V.,One Billion Rising,300
2019-02-14 00:00:00,11.00,12.00,Schloss Nymphenburg,stationär,ver.di Bezirk München und Region,Tarif- und Besoldungsrunde Länder 2019,150-200
2019-02-14 00:00:00,12.00,16.00,Arabellastr. 5,stationär,,Welcome Prime Minister,350
2019-02-14 00:00:00,12.00,16.00,Arabellastr. 5,stationär,,Willkommen Premierminister,250
2019-02-15 00:00:00,11.00,14.00,Lenbachplatz,stationär,,Menschenrechte in Bangladesh,50
2019-02-15 00:00:00,12.00,16.30,Kaiser-Ludwig-Pl- Königsplatz,sfv,,Friday for future,200
2019-02-15 00:00:00,14.00,16.00,Sendlinger Str. 8,stationär,,für Klimaschutz,30-50
2019-02-15 00:00:00,13.45,15.15,Lerchenauer Straße 65,stationär,,Gegen Rassismus im Betrieb,15
2019-02-16 00:00:00,14.00,15.00,Karlsplatz – Marienplatz (Menschenkette),sfv,Aktionsbündnis gegen die NATO-Sicherheitskonferenz,Demonstration gegen die NATO-Kriegstagung in München im Jahr 2018,600
2019-02-16 00:00:00,13.00,17.00,Karlsplatz – Marienplatz (sfv),sfv,Aktionsbündnis gegen die NATO-Sicherheitskonferenz,Demonstration gegen die NATO-Kriegstagung in München im Jahr 2018,4000
2019-02-16 00:00:00,10.00,13.00,Lenbachplatz,stationär,Azadi e.V.,Gegen Faschismus und Terrorismus in Afghanistan,500-700
2019-02-16 00:00:00,14.00,17.00,Max-Joseph-Platz,stationär,Deutsch-Ukrainische wissenschaftliche Gesellschaft e.V.,Freilassung ukrainischer Häftlinge,100
2019-02-16 00:00:00,12.00,15.00,Neuhauser Str. 8,stationär,Aktionsbündnis gegen die NATO-Sicherheitskonferenz,Demonstration gegen die NATO-Kriegstagung in München im Jahr 2019,600
2019-02-16 00:00:00,14.40,17.45,Hauptbahnhof Zwischengeschoss,stationär,,Anonymous for the Voiceless,10-35
2019-02-16 00:00:00,16.30,17.30,Odeonsplatz,stationär,Gr. Makedonia Verein Megas Alexandros,Protestdemo gegen Besuch des Ministerpräsidenten Tsipras und seines Kollegen aus FYROM,500
2019-02-17 00:00:00,13.00,15.00,Max-Joseph-Platz,stationär,Nationaler Widerstandsrat Iran e.V.,"Protest gegen Sicherheitsgefährdung Irans durch Einmischung in Irak, Syrien, Jemen...",100
2019-02-17 00:00:00,13.00,15.00,Karlsplatz,stationär,EU-PAK Friendship Federation Germany,Human Rights – Menschenrechte anlässlich MSK – Münchner Sicherheitskonferenz,150-200
2019-02-17 00:00:00,15.00,19.00,Marienplatz,stationär,Deutsch-Ukrainische wissenschaftliche Gesellschaft e.V.,Freilassung ukrainischer Häftlinge,10
2019-02-17 00:00:00,13.30,14.00,Marienplatz,stationär,,Stay and Stabilize,50
2019-02-18 00:00:00,18.00,20.00,Marienplatz,stationär,,Weg mit Hartz IV,20-30
2019-02-18 00:00:00,18.00,20.30,Karl-Stützel-Pl. - Karl-Stützel-Pl.,sfv,,Keine Abschiebungen nach Afghanistan – und Nirgendwohin,100-150
2019-02-19 00:00:00,17.10,20.15,Hauptbahnhof Zwischengeschoss,stationär,,Anonymous for the Voiceless,10-35
2019-02-20 00:00:00,9.30,1900-01-10 00:00:00,Hofgartenstraße / Karl Scharnagl Ring,stationär,Bund Naturschutz Bayern,Rettet die Bienen und Bauern,25
2019-02-20 00:00:00,18.00,0.00,Zenettistraße 6,stationär,,"Tierrechte, Mahnwache",40
2019-02-20 00:00:00,7.30,8.15,Max-Pröbstlstr. 7,stationär,,Umweltschutz durch Parkplatzsperrung,7
2019-02-22 00:00:00,13.00,14.00,Sendlinger Str. 8,stationär,,Für einen gerechten Frieden im Nahen Osten,10-15
2019-02-22 00:00:00,16.00,19.00,Marienplatz,stationär,,Stoppt das Sterben im Mittelmeer – Ein Stadt für alle – Macht München zur sicheren Hafenstadt,500-1000
2019-02-22 00:00:00,14.00,15.30,Bergmannstraße 36 – Heimeranplatz,sfv,,gegen den Klimawandel,50
2019-02-22 00:00:00,11.00,12.30,Marienplatz – Marienplatz,sfv,,Junge Menschen gehen für Maßnahmen gegen die Klimakrise auf die Straße,500
2019-02-22 00:00:00,09.00,12.00,"Hofmannstr. 62-64, ggü. Chin. GK",stationär,,Falun Gong,5
2019-02-23 00:00:00,14.40,17.45,Hauptbahnhof Zwischengeschoss,stationär,,Anonymous for the Voiceless,10-35
2019-02-23 00:00:00,15.00,17.00,Max-Joseph-Platz,stationär,Mobil in Deutschland e.V.,gegen Fahrverbote,750
2019-02-23 00:00:00,12.00,16.00,Karlsplatz,stationär,Celebrity Centre Scientology Kirche München,Man kann immer etwas tun,10
2019-02-23 00:00:00,14.00,20.00,GSP-OPL,sfv,,Attentat in Indien,300-500
2019-02-23 00:00:00,13.30,15.30,Marienplatz,stationär,Venezuela en Baviera e.V.,Venezuela,150
2019-02-23 00:00:00,10.00,12.00,Konrad-Zuse-Platz 7,stationär,Aktionsbündnis Vielfalt statt Einheit,Gegen die sog. „Demo für alle“,50
2019-02-23 00:00:00,15.00,17.00,Sendlinger Str. 8,stationär,,Animals Unites,10
2019-02-24 00:00:00,10.00,16.00,Veterinärstraße,stationär,Amnesty International,Weiße Rose,10
2019-02-25 00:00:00,18.00,20.00,Marienplatz,stationär,,Weg mit Hartz IV,20-30
2019-02-25 00:00:00,11.15,12.15,Türkenstr. Ggü. Hausnr. 103,stationär,,Ihr könnt uns immer noch kreuzweise,20
2019-02-25 00:00:00,10.00,13.00,St.-Pauls-Pl. - Geschwister-Scholl-Pl.,sfv,Helfer Deutschlands e.V.,Gebet für von vorgeburtlicher Tötung bedrohte Menschen,25
2019-02-26 00:00:00,17.10,20.15,Hauptbahnhof Zwischengeschoss,stationär,,Anonymous for the Voiceless,10-35
2019-02-26 00:00:00,10.00,12.30,Schwanthalerstraße 64 – Karlsplatz,sfv,ver.di Bezirk München und Region,Streiktag Tarifrunde TV-Länder,1500
2019-02-26 00:00:00,12.30,13.00,Deroystr. 12,stationär,ver.di,Tarifrunde TV-L,50
2019-02-26 00:00:00,16.00,18.00,Sendlinger Str. 8,stationär,,Der AnkER Deal,15
2019-02-26 00:00:00,10.00,16.00,Odeonsplatz 4,stationär,GEW Stadtverband München,Streikkundgebung TVL vor dem Finanzministerium,3 – 20
