ab August 2022,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
,,,,,,,,,,,,,,,,,,,,,,,,,,
Datum,Beginn,Ende,Örtlichkeit (ink. AKG + SKG),Art,Organisation,Thema,angezeigte Teilnehmerzahl,,,,,,,,,,,,,,,,,,,
2022-08-01 00:00:00,18.00,19.00,Marienplatz,stationär,,Weg mit Hartz IV,20-30,,,,,,,,,,,,,,,,,,,
2022-08-02 00:00:00,18.30,20.45,Schwanthalerstr. 57 – Blutenburgstr. 83,sfv,Green City e.V.,Baumbegrünung in der Blutenburgstr.,40,,,,,,,,,,,,,,,,,,,
2022-08-02 00:00:00,18.00,19.00,Streitfeldstr. Zwischen Tomannweg und Weihenstephanerstr.,stationär,isarlust e.V.,Kulturlieferdienst,120-150,,,,,,,,,,,,,,,,,,,
2022-08-02 00:00:00,18.00,20.45,Marienplatz,stationär,Anonymous for the voiceles,Activists for the Victims,5-20,,,,,,,,,,,,,,,,,,,
2022-08-03 00:00:00,18.00,21.30,Marienplatz – Marienplatz,sfv,München steht auf,Wir laufen für die Versammlungsfreiheit und Selbstbestimmung Für Frieden Kein Krieg,1000,,,,,,,,,,,,,,,,,,,
2022-08-03 00:00:00,14.00,16.00,Sendlinger Str. 8,stationär,Verein für vedische Kultur e.V.,Veganismus,10,,,,,,,,,,,,,,,,,,,
2022-08-03 00:00:00,18.00,19.00,Amalienstraße zwischen Theresien- und Schellingstr. Auf der öffentlichen Verkehrsfläche,stationär,isarlust e.V.,Kulturlieferdienst,100-120,,,,,,,,,,,,,,,,,,,
2022-08-03 00:00:00,17.00,19.00,Karlspl.,stationär,,Gedenken an den Genozid des IS gegen die Jesid*innen in Shengal 2014,30,,,,,,,,,,,,,,,,,,,
2022-08-04 00:00:00,18.30,19.30,August-Exter-Str. ,stationär,isarlust e.V.,Kulturlieferdienst,100-120,,,,,,,,,,,,,,,,,,,
2022-08-04 00:00:00,18.00,19.00,Hopfenstraße (vor BR Hochhaus) auf öffentlicher Gehwegfläche bzw. Verkehrsfläche ,stationär,,Mahnwache für Multipolare Ausgewogene Staatsferne Medien,5-20,,,,,,,,,,,,,,,,,,,
2022-08-04 00:00:00,17.00,22.00,Karlsplatz/Stachus,stationär,Active Love,Active Love,,,,,,,,,,,,,,,,,,,,
2022-08-04 00:00:00,18.00,19.00,Hultschinger Str. 8 Süddeutsche Zeitung öffentliche Gehwegfläche,stationär,,Mahnwache für Multipolare Ausgewogene Staatsferne Medien,3-10,,,,,,,,,,,,,,,,,,,
2022-08-04 00:00:00,11.45,14.45,Kistlerhofstraße 60 ggü. Chin. Konsulat,stationär,,"Beendigung der 21. Jahre Folter, Organraubs und Mord an Falun Gong Praktizierenden in China",5,,,,,,,,,,,,,,,,,,,
2022-08-05 00:00:00,21.00,23.00,"Friedensengel, Prinzregent Luitpold Terrassen",stationär,isarlust e.V.,Kulturlieferdienst,100-120,,,,,,,,,,,,,,,,,,,
