Versammlungen Potsdam 2021,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
2021-07-10 00:00:00,16:00 - 21:00,Potsdam,"Regenbogen-Fahrraddemonstration, CSD-Potsdam",100,"Potsdam, Innenstadt"
2021-01-02 00:00:00,17:00 - 18:00,Potsdam,Für mehr Nachbarschaftlichkeit und Zusammenhalt in der Coronakrise,20,"Potsdam, Mövenstraße"
2021-01-04 00:00:00,18:00 - 20:00,Potsdam,"Kungebung ""Wie weiter 2021 im Kampf für Frieden""",100,Freifläche am Filmmuseum
2021-01-11 00:00:00,18:00 - 20:00,Potsdam,"Kungebung ""Wie weiter 2021 im Kampf für Frieden""",100,Freifläche am Filmmuseum
2021-01-18 00:00:00,18:00 - 20:00,Potsdam,"Kungebung ""Wie weiter 2021 im Kampf für Frieden""",100,Freifläche am Filmmuseum
2021-01-25 00:00:00,18:00 - 20:00,Potsdam,"Kungebung ""Wie weiter 2021 im Kampf für Frieden""",100,Freifläche am Filmmuseum
2021-02-01 00:00:00,18:00 - 20:00,Potsdam,"Kungebung ""Wie weiter 2021 im Kampf für Frieden""",100,Freifläche am Filmmuseum
2021-02-08 00:00:00,18:00 - 20:00,Potsdam,"Kungebung ""Wie weiter 2021 im Kampf für Frieden""",100,Freifläche am Filmmuseum
2021-02-15 00:00:00,18:00 - 20:00,Potsdam,"Kungebung ""Wie weiter 2021 im Kampf für Frieden""",100,Freifläche am Filmmuseum
2021-02-22 00:00:00,18:00 - 20:00,Potsdam,"Kungebung ""Wie weiter 2021 im Kampf für Frieden""",100,Freifläche am Filmmuseum
2021-03-01 00:00:00,18:00 - 20:00,Potsdam,"Kungebung ""Wie weiter 2021 im Kampf für Frieden""",100,Freifläche am Filmmuseum
2021-03-08 00:00:00,18:00 - 20:00,Potsdam,"Kungebung ""Wie weiter 2021 im Kampf für Frieden""",100,Freifläche am Filmmuseum
2021-03-15 00:00:00,18:00 - 20:00,Potsdam,"Kungebung ""Wie weiter 2021 im Kampf für Frieden""",100,Freifläche am Filmmuseum
2021-03-22 00:00:00,18:00 - 20:00,Potsdam,"Kungebung ""Wie weiter 2021 im Kampf für Frieden""",100,Freifläche am Filmmuseum
2021-01-28 00:00:00,07:30 - 09:00,Potsdam,Tagung des Agrarausschusses im Landtag,30,Alter Markt
2021-02-08 00:00:00,13:00 - 14:30,Potsdam,Freiheit für Öcalan,4,Luisenplatz
2021-03-07 00:00:00,11:00 - 18:00,Potsdam,Internationaler feministischer Kampftag,400,Schiffbauergasse 4
2021-02-09 00:00:00,10:00 -10:30,Potsdam,Insektenschutz Paket,25,"Alleenstraße 9, 14469 Potsdam"
2021-02-19 00:00:00,16:00 - 19:00,Potsdam,Jahrestag Anschlag in Hanau 19.02.,100,Brandenburger Tor Potsdam / Ecke Schopenhauerstraße
2021-02-14 00:00:00,14:00 - 16:00,Potsdam,Nur Eine nimmt in den Arm,10,Platz der Einheit
2021-02-17 00:00:00,11:30 - 12:00,Potsdam,Gedenkveranstaltung für Corona-Opfer,20,Am Bassin 7
2021-02-20 00:00:00,11:45 - 14:30,Potsdam,Rodung Nuthewäldchen,50,Humboldtring 120
2021-03-05 00:00:00,13:00 - 14:30,Potsdam,Freiheit für Öcalan,4,Schopenhauer/ Ecke Zeppelinstraße
2021-03-19 00:00:00,15:59 - 18:01,Potsdam,Klimaschutz,50,entlang der Breiten Straße
2021-03-03 00:00:00,15:30 - 16:30,Potsdam,"Solidarität mit den des EvB-Klinikums, Umsetzung der Bürgerbegehren",15,Platz der Einheit N-W
2021-03-08 00:00:00,10:00-11:30,Potsdam,Internationaler Frauentag,20,Rathaus Potsdam
2021-03-13 00:00:00,12:00-19:00,Potsdam,Für freie Bildung und nachhaltige Entwicklung unserer Jugend,40,Brandenburger Straße /Brandenburger Tor 1 in Potsdam
2021-03-20 00:00:00,12:00-18:00,Potsdam,Multikulturelles Friedensforum,100,Lustgarten
2021-04-24 00:00:00,13:30-17:30,Potsdam,Solidarische Zukunft statt Kapitalismus,500,Karl-Liebknecht-Straße 25
2021-03-27 00:00:00,15:00 - 16:30,Potsdam,Abrüsten statt aufrüsten,100,Steubenplatz
2021-03-04 00:00:00,16:30 - 17:30,Potsdam,Anklage gegen die Iuventa 10,50,Platz der Einheit
2021-03-08 00:00:00,14:00-16:00,Potsdam,Frauentag,6,Freifläche an der Stirnseite des Sparkassengebäudes Schopenhauer Stra-ße / Ecke Zeppelinstraße in 14467 Potsdam
2021-03-27 00:00:00,15:00 - 17:00,Potsdam,Potsdam für Menschen statt für Profite,200,Innenstadt Potsdam
2021-03-13 00:00:00,15:00-16:00,Potsdam,Braunkohle Fotoaktion,3,Am Bassin 7 in 14467 Potsdam
2021-03-13 00:00:00,16:00-17:00,Potsdam,Braunkohle Fotoaktion,3,Am Alten Markt 1 in 14467 Potsdam
2021-03-15 00:00:00,11:00 - 12:00,Potsdam,Naturnahe Oder muss bleiben.,50,Heinrich-Mann-Allee 107
2021-03-20 00:00:00,09:30 - 14:00,Potsdam,AUTOKORSO - Kritik an Coronamaßnahmen,100,Land Brandenburg
2021-03-20 00:00:00,13:30 - 17:00,Potsdam,"Ausgeschwurbelt! Gemeinsam gegen Corona, Quatschdenken und Nazigeschwurbel",200,Am Filmmuseum / Breite Straße
2021-03-20 00:00:00,13:30 - 17:00,Potsdam,Kein Raum für Verschwörungserzähluingen,200,Filmmuseum/Breite Straße/Hotel Mercure
2021-03-27 00:00:00,10:00 - 14:00,Potsdam,Infotisch zum Thema Immobilieninvestorennb,4,Zeppelinstraße 132
2021-03-23 00:00:00,12:41:18:00,Potsdam,Demonstraion von Künstlern,25,Brandenburger Str./Ecke Lindenstraße 19
2021-03-24 00:00:00,09:00 - 11:30,Potsdam,Keine Nordumfahrung B169,30-50,Alter Markt
2021-03-25 00:00:00,15.00 - 18.00,Potsdam,Mahnwache zum Thema Sichere Bildung und NoCovid,10,Am Alten Markt 1 in 14467 Potsdam
2021-04-10 00:00:00,13:00 - 15:00,Potsdam,NoCovid meets sichere Bildung,100,Am Alten Markt 1 in 14467 Potsdam
2021-05-01 00:00:00,10:00 - 17:00,Potsdam,Kultur ins Grundgesetz,300,Am Alten Markt 9 in 14467 Potsdam
2021-03-27 00:00:00,10:00 - 12:00,Potsdam,Housing Action Day,40,Humboldtring 120
2021-04-13 00:00:00,16:00 - 18:00,Potsdam,Zeit für Taten - wir lassen uns nicht länger hinhalten,50,Steinstraße 104-106
2021-04-06 00:00:00,17:00 - 18:00,Potsdam,Autokorso - Driving 4 Future,150,Innenstadt Potsdam
2021-04-08 00:00:00,15:00 - 18:00,Potsdam,Mahnwache zum Thema Sichere Bildung und NoCovid,15,Alter Markt
2021-05-01 00:00:00,10:00 - 15:00,Potsdam,1. Mai Demo - Solidarität ist Zukunft,500,"Bassinplatz, Alter Markt, Luisenplatz"
2021-04-17 00:00:00,13:00 - 20:00,Potsdam,Ausübung uneingeschränkter Reloigionsfreiheit / Gottesdienste,50,Lustgarten
2021-03-31 00:00:00,15:00 - 18:00,Potsdam,Mahnwache zum Thema Sichere Bildung und NoCovid,15,Alter Markt
2021-03-30 00:00:00,17:00 - 18:00,Potsdam,Für den Erhalt der Kultur in der CORONA-Zeit,20,Mövenstraße 2a
2021-03-31 00:00:00,17:00 - 18:00,Potsdam,Für den Erhalt der Kultur in der CORONA-Zeit,20,Mövenstraße 2a
2021-04-01 00:00:00,17:00 - 18:00,Potsdam,Für den Erhalt der Kultur in der CORONA-Zeit,20,Mövenstraße 2a
2021-04-03 00:00:00,17:00 - 18:00,Potsdam,Für den Erhalt der Kultur in der CORONA-Zeit,20,Mövenstraße 2a
2021-04-05 00:00:00,17:00 - 18:00,Potsdam,Für den Erhalt der Kultur in der CORONA-Zeit,20,Mövenstraße 2a
2021-04-06 00:00:00,17:00 - 18:00,Potsdam,Für den Erhalt der Kultur in der CORONA-Zeit,20,Mövenstraße 2a
2021-04-07 00:00:00,17:00 - 18:00,Potsdam,Für den Erhalt der Kultur in der CORONA-Zeit,20,Mövenstraße 2a
2021-04-08 00:00:00,17:00 - 18:00,Potsdam,Für den Erhalt der Kultur in der CORONA-Zeit,20,Mövenstraße 2a
2021-04-09 00:00:00,17:00 - 18:00,Potsdam,Für den Erhalt der Kultur in der CORONA-Zeit,20,Mövenstraße 2a
2021-04-10 00:00:00,17:00 - 18:00,Potsdam,Für den Erhalt der Kultur in der CORONA-Zeit,20,Mövenstraße 2a
2021-04-06 00:00:00,16:45 - 18:00,Potsdam,Gegen die Abschiebung nach Afghanistan,80,Alter Markt / Steubenplatz
