Anzahl Vers.,Datum ,SB,Thema,Versammlungen Ort,Uhrzeit,erwartete Teilnehmerzahl,Vermerk,interner Vermerk,Anzahl Aufzüge,Datum,SB.1,Thema.1,Anzahl Teilnehmer,Vermerk.1
,,,,"Verkaufsoffene Sonntage, 02.01.2022, 03.04.2022, 02.10.2022,27.10.2022, Lange Eventnacht 17.12.2022",,,,,,,,,,
,,,,Tbilisser Platz Riesenrad bis Ende Feb. Skyliner bis Ende April 2023,,,,,,,,,,
1.0,2022-01-01 00:00:00,fr,Gesellschaftlicher Frieden,Landwehrplatz,18:00 Uhr - 21:00 Uhr,50,,erl.,,,,,,
,,,,,,,,,1,2022-01-02 00:00:00,sa,Wir sagen nein zur Impfpflicht. Wir wollen keine Zweiklassengesellschaft,3000,
,,,,,,,,,2,2022-01-03 00:00:00,fr,Hartz IV Gesetze,20,
,,,,,,,,,3,2022-01-03 00:00:00,fo,Spazierdang,40-58,nicht angemeldet
2.0,2022-01-05 00:00:00,fo,Pariser Morde dürfen kein Staatsgeheimnis bleiben,Ludwigsplatz vor franz. Konsulat,13:00 Uhr - 14:00 Uhr,20,,erl.,,,,,,
3.0,2022-01-08 00:00:00,sa,Sühne- und Bittgebet,Am Staden/Heinestraße,11:00 Uhr - 11:30 Uhr,15,,erl.,4,2022-01-08 00:00:00,fo,Pariser Morde dürfen kein Staatsgeheimnis bleiben,150,
,,,,,,,,,5,2022-01-09 00:00:00,fo,Wir sagen nein zur Impfpflicht. Wir wollen keine Zweiklassengesellschaft,1000,
,,,,,,,,,6,2022-01-10 00:00:00,fo,"nicht angemeldeter ""Spaziergang""",30,
,,,,,,,,,,,,,,
4.0,2022-01-15 00:00:00,sa,"Mahnwache - Tierrechte, Veganismus",Bahnhofstraße 77,14:00 Uhr - 18:00 Uhr,20,,erl.,,,,,,
5.0,2022-01-15 00:00:00,sa,"Verkündung der frohen Botschaft des Evangeliums, zur Freude und Erbauung",ECE 1,10:00 Uhr - 15:00 Uhr,5 bis 10,,erl.,,,,,,
,,,,,,,,,7,2022-01-16 00:00:00,fo,Wir sagen nein zur Impfpflicht. Wir wollen keine Zweiklassengesellschaft,1000,
,,,,,,,,,8,2022-01-17 00:00:00,fo,"nicht angemeldeter ""Spaziergang""",40,
6.0,2022-01-22 00:00:00,sa,Falung Gong,vor Karstadt,13:00 Uhr - 16:00 Uhr,8,,erl.,,,,,,
7.0,2022-01-22 00:00:00,sa,Freiheit Religion,vor ECE,13:00 Uhr - 17:30 Uhr,5,,erl.,,,,,,
8.0,2022-01-22 00:00:00,sa,Botschaft der Bibel,vor Thalia,11:30 Uhr - 16:30 Uhr,15,,erl.,9,2022-01-22 00:00:00,fo,Barrierefreiheit in Saarbrücken,15,
9.0,2022-01-22 00:00:00,fo,Freiheit für alle politischen Gefangenen - Schluss mit der Folter in türkischen Gefängnissen,vor ECE,14:00 Uhr - 15:00 Uhr,50,,erl.,,,,,,
10.0,2022-01-23 00:00:00,fo,Stehenbleiben für mehr Solidarität,GRP,14:30 Uhr - 16:30 Uhr,100,,erl.,10,2022-01-23 00:00:00,fo,Wir sagen nein zur Impfpflicht. Wir wollen keine Zweiklassengesellschaft,3000,
,,,,,,,,,11,2022-01-24 00:00:00,,,siehe Verlaufsbericht,
