Anzahl Vers.,Datum ,Thema der Versammlung,Uhrzeit,erwartete Teilnehmerzahl,Anzahl Aufzüge,Datum,Thema des Aufzuges
1.0,2022-01-02 00:00:00,Spontanaktion FFF,17:10 Uhr - 18:00 Uhr,15,,,
2.0,2023-01-07 00:00:00,"Mit Gottes Wort in neue Jahr, Verkündung der Frohen Botschaft, dem Evangelium",10:00 Uhr - 15:00 Uhr,5 bis 10 ,,,
3.0,2023-01-07 00:00:00,Vegan ins neue Jahr,14:30 Uhr - 17:00 Uhr,12,1.0,2023-01-07 00:00:00,Wir möchten auf die Situation in Lützerath aufmerksam machen
4.0,2023-01-07 00:00:00,Infostand Tierrechte,13:30 Uhr - 16:30 Uhr,10,2.0,2023-01-07 00:00:00,Spontanversammlung - Lützerath
5.0,2023-01-09 00:00:00,Pariser Morde dürfen kein Stadtgeheimnis bleiben:,,50,3.0,2023-01-09 00:00:00,Montagsdemo Saarbrücken gegen die Hartz-gesetze/Bürgergeld
6.0,2023-01-11 00:00:00,Vegan ins neue Jahr!,15:00 Uhr - 16:00 Uhr,3 bis 12,,,
7.0,2023-01-12 00:00:00,Mahnwache im Rahmen der Aktion Leuchtturm ARD,16:00 Uhr - 18:00 Uhr ,6 bis 15,,,
8.0,2023-01-14 00:00:00,Organraub an lebenden Falun Gong-Praktizierenden in China.,12:00 Uhr - 16:00 Uhr,10,,,
9.0,2023-01-14 00:00:00,"Veganismus, Tierrechte",15:00 Uhr - 19:00 Uhr,20,,,
,,,,,4.0,2023-01-15 00:00:00,Trauermarsch
10.0,2023-01-19 00:00:00,Mahnwache im Rahmen der Aktion Leuchtturm ARD,16:00 Uhr - 18:00 Uhr ,5 bis 8,,,
11.0,2023-01-20 00:00:00,Spontanaktion  Für ein menschenfreundliches Saarbrücken – für Toleranz und gegen Armut,11:00 Uhr,50-70,,,
12.0,2023-01-21 00:00:00,"Mit Gottes Wort in neue Jahr, Verkündung der Frohen Botschaft, dem Evangelium",10:00 Uhr - 15:00 Uhr,5 bis 10 ,,,
13.0,2023-01-21 00:00:00,Sühne- und Bittgebet für die Ungeborenen ,11:00 Uhr - 11:30 Uhr ,14 - 24 ,,,
14.0,2023-01-21 00:00:00,Vegan ins neue Jahr,14:30 Uhr - 17:00 Uhr,12,,,
15.0,2023-01-26 00:00:00,Mahnwache im Rahmen der Aktion Leuchtturm ARD,16:00 Uhr - 18:00 Uhr , 5 bis 8,,,
, ,,,,,,
16.0,2023-01-28 00:00:00,"Energiekrise, Klima, Sanktionen, mehr Demokratie",11:00 Uhr - 15:00 Uhr,500,,,
