Versammlungen unter freiem Himmel & Aufzüge 2023,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,tatsächliche Teilnehmerzahl wurde nicht erhoben
Datum,Beginn,Ende,Ort,Organisation,Thema,Art,angemeldete Teilnehmerzahl,
2023-01-05 00:00:00,14:00:00,16:00:00,Mauergasse,-,"gegen Putins Angriffskrieg, für ein vereintes Europa",Versammlung,10-30,
2023-01-07 00:00:00,12:45:00,16:15:00,Kirchgasse 6,Activists for the Victims e. V.,Tierrechte / Veganismus,Versammlung,15-20,
2023-01-07 00:00:00,13:00:00,15:00:00,Schulgasse Ecke Neugasse,Mahnwache Demokratie WI RTK e. V.,Erhaltung unserer Grundrechte,Versammlung,30,
2023-01-12 00:00:00,14:00:00,16:00:00,Mauergasse,-,"gegen Putins Angriffskrieg, für ein vereintes Europa",Versammlung,10-30,
2023-01-12 00:00:00,15:30:00,17:00:00,Langgasse 21,LeuchtturmARD,Für eine freie und unabhängige Medienberichterstattung,Versammlung,3-20,
2023-01-13 00:00:00,11:00:00,12:00:00,Bahnhofstraße bis Bahnhofsplatz,ver.di- vereinte Dienstleistungs Gewerkschaft,Warnstreik USAG Wiesbaden,Versammlung,150,
2023-01-13 00:00:00,12:00:00,15:00:00,Kirchgasse / Langgasse,Albert Schweitzer Stiftung für unsere Mitwelt,Tierrecht / gegen Massentierhaltung,Aufzug,2-5,
2023-01-14 00:00:00,11:00:00,18:00:00,Mauritiusplatz,Greenpeace,Klimaschutz rettet Leben,Versammlung,10,
2023-01-14 00:00:00,13:00:00,15:00:00,Schulgasse Ecke Neugasse,Mahnwache Demokratie WI RTK e. V.,Erhaltung unserer Grundrechte,Versammlung,30,
2023-01-14 00:00:00,16:00:00,17:30:00,Mauritiusplatz,Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,Versammlung,20,
2023-01-19 00:00:00,15:30:00,17:00:00,Langgasse 21,LeuchtturmARD,Für eine freie und unabhängige Medienberichterstattung,Versammlung,3-20,
2023-01-21 00:00:00,12:00:00,15:00:00,Kirchgasse / Langgasse,Albert Schweitzer Stiftung für unsere Mitwelt,Tierrecht / gegen Massentierhaltung,Aufzug,2-6,
2023-01-21 00:00:00,12:45:00,16:15:00,Mauritiusplatz,Activists for the Victims e. V.,Tierrechte / Veganismus,Versammlung,15-20,
2023-01-21 00:00:00,13:00:00,15:00:00,Schulgasse Ecke Neugasse,Mahnwache Demokratie WI RTK e. V.,Erhaltung unserer Grundrechte,Versammlung,25,
2023-01-21 00:00:00,15:00:00,18:00:00,Mauritiusplatz,SoliWaldGruppe,Solidaritätskundgebung zur Rodung des Fechenheimer Waldes,Versammlung,30,
2023-01-24 00:00:00,12:00:00,15:00:00,Marktplatz,"Hessischer Waldbesitzerverband e, V.","Gesetzentwurf zur Ausweitung des Nationalen Naturmonument ""Grünes Band Hessen""",Versammlung,50,
2023-01-26 00:00:00,10:00:00,14:00:00,Dernsches Gelände,"Hessischer Bauernverband e. V., Friedrichsdorf",Fragestunde im Hessischen Landtag zum Thema Wolf,Versammlung,50,
2023-01-26 00:00:00,15:30:00,17:00:00,Langgasse 21,LeuchtturmARD,Für eine freie und unabhängige Medienberichterstattung,Versammlung,3-20,
2023-01-28 00:00:00,11:00:00,18:00:00,Bahnhofplatz bis Bahnhofplatz,Animal Rights Watch e. V.,Wiesbaden Pelzfrei Tierrechtsdemo,Versammlung & Aufzug,150-300,
2023-01-28 00:00:00,13:00:00,15:00:00,Schulgasse Ecke Neugasse,Mahnwache Demokratie WI RTK e. V.,Erhaltung unserer Grundrechte,Versammlung,20,
2023-02-01 00:00:00,18:30:00,20:00:00,Wellritzstraße Ecke Helenenstraße,-,Femizide stoppen,Versammlung,20,
2023-02-02 00:00:00,15:30:00,17:00:00,Langgasse 21,LeuchtturmARD,Für eine ausgeglichene und unabhängige Medienberichterstattung,Versammlung,2-15,
2023-02-03 00:00:00,14:00:00,17:00:00,Bahnhofsplatz bis Bahnhofsplatz,Fridaysforfuture Wiesbaden,Räumung der Besetzungen Lützerath und Fechenheimer Forst,Versammlung & Aufzug,100-150,
2023-02-04 00:00:00,12:45:00,16.15,Mauritiusplatz,Activists for the Victims e. V.,Tierrechte / Veganismus,Versammlung,15-20,
2023-02-04 00:00:00,13:00:00,15:00:00,Schulgasse Ecke Neugasse,Mahnwache Demokratie WI RTK e. V.,Erhaltung unserer Grundrechte,Versammlung,20,
2023-02-07 00:00:00,08:30:00,09:30:00,Dernsches Gelände,ver.di Bezirk Wiesbaden,Übergabe der Mehrheitspetition (Unterschriften) an den OB der Landeshauptstadt Wiesbaden,Versammlung,75,
2023-02-09 00:00:00,15:30:00,17:00:00,Langgasse 21,LeuchtturmARD,Für eine ausgeglichene und unabhängige Medienberichterstattung,Versammlung,2-15,
2023-02-11 00:00:00,10:30:00,14:00:00,Kirchgasse Ecke Faulbrunnenstraße,BüSo LV Hessen,Kein Krieg gegen Russland,Versammlung,3-5,
2023-02-11 00:00:00,13:00:00,15:00:00,Schulgasse Ecke Neugasse,Mahnwache Demokratie WI RTK e. V.,Erhaltung unserer Grundrechte,Versammlung,20,
2023-02-11 00:00:00,16:00:00,17:30:00,Mauritiusplatz,Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,Versammlung,20,
2023-02-14 00:00:00,12:00:00,15:00:00,Marktplatz,Eisenbahn- und Verkehrsgewerkschaft (EVG),HLB-Tarifauseinandersetzung,Versammlung,30,
2023-02-14 00:00:00,16:00:00,18:00:00,Mauritiusplatz bis Bahnhofsplatz,-,One Billion Rising 2023 - eine weltweite Aktion gegen Gewalt an Frauen,Versammlung & Aufzug,150-300,
2023-02-16 00:00:00,09:00:00,12:00:00,Reisinger Anlage bis Reisinger Anlage,ver.di Bezirk Wiesbaden,Warnstreik im Rahmen der Tarifverhandlungen im öffentlichen Dienst,Versammlung & Aufzug,600-700,
2023-02-16 00:00:00,14:00:00,16:00:00,Mauergasse,-,"gegen Putins Angriffskrieg, für ein vereintes Europa",Versammlung,10-30,
2023-02-16 00:00:00,15:30:00,17:00:00,Langgasse 21,LeuchtturmARD,Für eine ausgeglichene und unabhängige Medienberichterstattung,Versammlung,2-15,
2023-02-17 00:00:00,18:00:00,20:00:00,Luisenplatz,Omas gegen Rechts Wiesbaden,Mahnwache zu den Morden in Hanau,Versammlung,120-150,
2023-02-18 00:00:00,12:00:00,18:00:00,Mauritiusplatz,Marxistische-Leninistische Partei Deutschland und Heyva Sor,Solidarität mit den Erdbebenopfern  Türkei / Syrien,Versammlung,10,
2023-02-18 00:00:00,13:00:00,15:00:00,Neugasse Ecke Schulgasse,Mahnwache Demokratie WI RTK e. V.,Erhaltung unserer Grundrechte,Versammlung,20,
2023-02-23 00:00:00,14:00:00,16:00:00,Mauergasse,-,"gegen Putins Angriffskrieg, für ein vereintes Europa",Versammlung,10-30,
2023-02-24 00:00:00,11:00:00,12:00:00,Campus Klarenthal bis Bergkirche,Campus Klarenthal,Wir wollen Frieden,Aufzug,100,
2023-02-24 00:00:00,18:00:00,19:30:00,Marktplatz bis Marktplatz (Lichterkette),Bündnis für Demokratie,Lichterkette zum Jahrestag des Beginns des Ukrainekrieges,Versammlung,400,
2023-02-25 00:00:00,13:00:00,15:00:00,Schulgasse Ecke Neugasse,Mahnwache Demokratie WI RTK e. V.,Erhaltung unserer Grundrechte,Versammlung,20,
2023-03-02 00:00:00,15:30:00,17:00:00,Langgasse 21,LeuchtturmARD,Für eine freie und unabhängige Medienberichterstattung,Versammlung,2-10,
2023-03-03 00:00:00,12:00:00,16:00:00,Bahnhofsplatz bis Bahnhofsplatz,Fridays for Future,Klimagerechtigkeit,Versammlung & Aufzug,2000,
2023-03-04 00:00:00,12:45:00,16:15:00,Mauritiusplatz,Activists for the Victims e. V.,Tierrechte / Veganismus,Versammlung,15-20,
2023-03-04 00:00:00,13:00:00,15:00:00,Schulgasse Ecke Neugasse,Mahnwache Demokratie WI RTK e. V.,Erhaltung unserer Grundrechte,Versammlung,20,
2023-03-07 00:00:00,08:30:00,15:00:00,Mainzer Straße 124,-,Klimagerechtigkeit,Versammlung,10,
2023-03-08 00:00:00,08:00:00,13:00:00,Bahnhofsplatz,Gewerkschaft Erziehung und Wissenschaft,Streik im Öffentlichen Dienst,Versammlung,45,
2023-03-08 00:00:00,08:30:00,11:30:00,Bahnhofsplatz bis Kochbrunnenplatz,Vereinte Dienstleistungsgewerkschaft ver.di,Warnstreik,Versammlung & Aufzug,400,
2023-03-08 00:00:00,11:00:00,15:00:00,Mauritiusplatz,DIE LINKE Wiesbaden,Frauentag und Equal Pay,Versammlung,10,
2023-03-08 00:00:00,15:00:00,16:00:00,Geschwister-Stock-Platz,"Landeshauptstadt Wiesbaden, Dezernat I / 010300 (Protokoll)","Gedenkstunde ""Deportation der Wiesbadener Sinti in das KZ Auschwitz 1943"" mit OB Mende",Versammlung,80,
2023-03-08 00:00:00,18:00:00,19:00:00,Bahnhofsplatz bis Murnaustraße,Tritonstudio Kollektiv,Slutwalk gegen sexualisierte Gewalt,Versammlung & Aufzug,100-150,
2023-03-08 00:00:00,18:30:00,22:00:00,Luisenplatz bis Luisenplatz,-,Feministischer Kampftag,Versammlung & Aufzug,150,
2023-03-11 00:00:00,13:00:00,18:00:00,Bahnhofsplatz bis Bahnhofsplatz,Initiative gegen das hessische Versammlungsgesetz,Hessisches Versammlungsgesetz verhindern,Versammlung & Aufzug,20-200,
2023-03-14 00:00:00,13:00:00,14:30:00,Ludwig-Erhard-Straße 100,"ver.di Vereinte Dienstleistungsgewerkschaft, Bezirk Wiesbaden",Tarifrunde öffentlicher Dienst 2023,Versammlung,30,
2023-03-15 00:00:00,09:30:00,12:00:00,Bahnhofsplatz bis Bahnhofsplatz,"ver.di Vereinte Dienstleistungsgewerkschaft, Bezirk Wiesbaden",Tarifrunde öffentlicher Dienst 2023,Versammlung & Aufzug,400,
2023-03-16 00:00:00,15:30:00,17:00:00,Langgasse 21,LeuchtturmARD,Für eine freie und unabhängige Medienberichterstattung,Versammlung,2-10,
2023-03-18 00:00:00,12:45:00,16:15:00,Mauritiusplatz,Activists for the Victims e. V.,Tierrechte / Veganismus,Versammlung,15-20,
2023-03-18 00:00:00,13:00:00,15:00:00,Schlossplatz,"Grüne Jugend, Omas gegen Rechts u. a.",Freiheit für den Iran,Versammlung,500,
2023-03-18 00:00:00,13:00:00,15:00:00,Schulgasse Ecke Neugasse,Mahnwache Demokratie WI RTK e. V.,Erhaltung unserer Grundrechte,Versammlung,20,
2023-03-19 00:00:00,15:00:00,16:15:00,Dernsches Gelände bis Wellritztal,ADFC Wiesbaden,Kidical Mass - Kinder Fahrrad Korso,Aufzug,200,
2023-03-21 00:00:00,08:30:00,13:00:00,Bahnhofsplatz bis Dernsches Gelände,ver.di Bezirk Wiesbaden,Zentraler Warnstreik im Rahmen der Tarifrunde öffentlicher Dienst 2023,Versammlung & Aufzug,1100,
2023-03-23 00:00:00,08:30:00,11:00:00,An der Bannmeile,,Abstimmung Versammlungsrecht,Versammlung,20,
2023-03-23 00:00:00,14:00:00,16:00:00,Mauergasse,,"gegen Putins Angriffskrieg, für ein vereintes Europa",Versammlung,10-30,
2023-03-25 00:00:00,11:00:00,13:30:00,Rheinstraße 79 bis Rheinstraße 79,wif e. V. - Begegnung & Beratung,"Internationaler Tag gegen Rassismus, ""Unsere Nationalität heißt Mensch - Walk gegen Rassismus""",Versammlung & Aufzug,40,
2023-03-25 00:00:00,13:00:00,14:30:00,Marktstraaße Ecke Langgasse ,Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,Versammlung,20,
2023-03-25 00:00:00,14:00:00,14:45:00,Basketballfeld bis Theodor-Heuss-Brücke,-,"Digitale ID, Bargelderhalt, GEZ",Aufzug,15000,
2023-03-30 00:00:00,14:00:00,16:00:00,Mauergasse,,"gegen Putins Angriffskrieg, für ein vereintes Europa",Versammlung,10-30,
2023-03-30 00:00:00,15:30:00,17:00:00,Langgasse 21,LeuchtturmARD,Für eine freie und unabhängige Medienberichterstattung,Versammlung,2-10,
2023-04-01 00:00:00,12:45:00,16:15:00,Mauritiusplatz,Activists for the Victims e. V.,Tierrechte / Veganismus,Versammlung, 15 - 20,
2023-04-01 00:00:00,13:00:00,15:00:00,Schulgasse Ecke Neugasse,Mahnwache Demokratie WI RTK e. V.,Erhaltung unserer Grundrechte,Versammlung,20,
2023-04-06 00:00:00,14:00:00,16:00:00,Mauergasse,,"gegen Putins Angriffskrieg, für ein vereintes Europa",Versammlung,10-30,
2023-04-08 00:00:00,14:00:00,15:30:00,Mauritiusplatz,Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,Versammlung,20,
2023-04-13 00:00:00,14:00:00,16:00:00,Mauergasse,,"gegen Putins Angriffskrieg, für ein vereintes Europa",Versammlung,10-30,
2023-04-13 00:00:00,15:30:00,17:00:00,Langgasse 21,LeuchtturmARD,Für eine freie und unabhängige Medienberichterstattung,Versammlung,2-10,
2023-04-15 00:00:00,12:45:00,16:15:00,Mauritiusplatz,Activists for the Victims e. V.,Tierrechte / Veganismus,Versammlung,15-20,
2023-04-15 00:00:00,13:00:00,16:30:00,Kirchgasse Ecke Faulbrunnenstraße,Albert Schweitzer Stiftung für unsere Mitwelt,Tierrecht / gegen Massentierhaltung,Versammlung,10,
2023-04-15 00:00:00,13:00:00,15:00:00,Schulgasse Ecke Neugasse,Mahnwache Demokratie WI RTK e. V.,Erhaltung unserer Grundrechte,Versammlung,20,
2023-04-20 00:00:00,14:00:00,16:00:00,Mauergasse,,"gegen Putins Angriffskrieg, für ein vereintes Europa",Versammlung,11232,
2023-04-20 00:00:00,15:30:00,17:00:00,Langgasse 21,LeuchtturmARD,Für eine freie und unabhängige Medienberichterstattung,Versammlung,2-10,
2023-04-22 00:00:00,13:00:00,15:00:00,Schulgasse Ecke Neugasse,Mahnwache Demokratie WI RTK e. V.,Erhaltung unserer Grundrechte,Versammlung,15,
2023-04-22 00:00:00,16:00:00,17:30:00,Mauritiusplatz,Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,Versammlung,20,
2023-04-27 00:00:00,14:00:00,16:00:00,Mauergasse,,"gegen Putins Angriffskrieg, für ein vereintes Europa",Versammlung, 10 - 30 ,
2023-04-27 00:00:00,15:30:00,17:00:00,Langgasse 21,LeuchtturmARD,Für eine freie und unabhängige Medienberichterstattung,Versammlung,2-10,
2023-04-29 00:00:00,12:15:00,16:15:00,Mauritiusplatz,Activists for the Victims e. V.,Tierrechte / Veganismus,Versammlung,15-20,
2023-04-29 00:00:00,13:00:00,15:00:00,Neugasse Ecke Schulgasse,Mahnwache Demokratie WI RTK e. V.,Erhaltung unserer Grundrechte,Versammlung,15,
2023-05-01 00:00:00,09:00:00,15:00:00,Kochbrunnenplatz,DGB Wiesbaden Rheingau-Taunus,1. Mai Kundgebung und Demonstration,Versammlung,300,
2023-05-04 00:00:00,10:00:00,12:00:00,Dernsches Gelände,"ver.di Landesbezirk Hessen, Fachbereich Frauenpolitik",Novellierung des Hessischen Gleichberechtigungsgesetzes - Gleichstellungsbeauftragte bei Novellierung anhören!,Versammlung,30,
2023-05-04 00:00:00,14:00:00,16:00:00,Mauergasse,,"gegen Putins Angriffskrieg, für ein vereintes Europa",Versammlung, 10-30,
2023-05-04 00:00:00,16:00:00,18:30:00,Dernsches Gelände zw. Marktkirche und Rathaus,Gewerkschaft der Polizei Landesbezirk Hessen,Aktion  für verfassungskonforme Besoldung anl.  Jahresempfang der Grünen im HLTg,Versammlung,20,
2023-05-05 00:00:00,18:30:00,19:30:00,Christian-Zaiss-Str. 3 (Theater),Europa-Union-Deutschland,"Europa-Ukraine Solidarität, gegen den Auftritt der russischen Sängerin Netrebko im Hessischen Staatstheater",Versammlung,x Dutzend,
2023-05-06 00:00:00,13:00:00,15:00:00,Schulgasse Ecke Neugasse,Mahnwache Demokratie WI RTK e. V.,Erhaltung unserer Grundrechte,Versammlung,20,
2023-05-07 00:00:00,15:00:00,16:15:00,Dernsches Gelände bis Munranustraße,ADFC Wiesbaden,Kidical Mass - Kinder Fahrrad Korso,Aufzug,300,
2023-05-08 00:00:00,18:00:00,19:30:00,Schlossplatz - An denn Quellen - Burgstraße - Wilhelmstrarße - Karl-von-Glässing-Straße - Marktplatz,Oma gegen Rechts,8. Mai 2023 - Tag der Befreiung von der nationalsozialistischen Gewaltherrschaft,Aufzug,100,
2023-05-11 00:00:00,14:00:00,16:00:00,Mauergasse,,"gegen Putins Angriffskrieg, für ein vereintes Europa",Versammlung, 10-30,
2023-05-11 00:00:00,15:30:00,17:00:00,Langgasse 21,LeuchtturmARD,Für eine freie und unabhängige Medienberichterstattung,Versammlung, 2-10,
2023-05-12 00:00:00,11:00:00,15:00:00,"Bahnhofsvorplatz, Mainz-Kastel",Fraktion DIE LINKE,Für soziale Teilhabe - gegen Armut,Versammlung,5,
2023-05-13 00:00:00,12:45:00,16:15:00,Mauritiusplatz,Activists for the Victims e. V.,Tierrechte / Veganismus,Versammlung,15-20,
2023-05-13 00:00:00,13:00:00,16:30:00,Kirchgasse Ecke Faulbrunnenstraße,Albert Schweitzer Stiftung für unsere Mitwelt,Tierrecht / gegen Massentierhaltung,Versammlung,10,
2023-05-13 00:00:00,16:15:00,17:45:00,Mauritiusplatz,Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,Versammlung,20,
2023-05-15 00:00:00,05:45:00,15:15:00,Aukammallee 33,Ver.di,Warnstreik DKD Helios Klinik Wiesbaden / Tarifrunde,Versammlung & Aufzug,50,
2023-05-17 00:00:00,15:00:00,18:00:00,Mauritiusplatz,Warmes Wiesbaden e. V.,IDAHOBIT - Internationaler Tag gegen Queerfeindlichkeit,Versammlung & Aufzug,50,
