region,city,date,organizer,topic,participants_registered,participants_actual
Baden-Württemberg,Karlsruhe,2023-01-03,,"Stille Mahnwache für Frieden, Demokratie und Menschenrechte",8.0,
Baden-Württemberg,Karlsruhe,2023-01-04,,Lüzerath bleibt!,50.0,
Baden-Württemberg,Karlsruhe,2023-01-04,,Lüzerath bleibt!,50.0,
Baden-Württemberg,Karlsruhe,2023-01-05,,Für Demokratie,49.0,
Baden-Württemberg,Karlsruhe,2023-01-05,,Für Demokratie,49.0,
Baden-Württemberg,Karlsruhe,2023-01-07,,Beat the System - Solidarität statt Konkurrenz / Tanzdemo,73.0,
Baden-Württemberg,Karlsruhe,2023-01-07,,Beat the System - Solidarität statt Konkurrenz / Tanzdemo,73.0,
Baden-Württemberg,Karlsruhe,2023-01-08,,Revolution im Iran,250.0,
Baden-Württemberg,Karlsruhe,2023-01-08,,Revolution im Iran,250.0,
Baden-Württemberg,Karlsruhe,2023-01-09,,"Montagsdemo gegen die 
Hartz-Gesetze und Sozialabbau, Aktiver Widerstand für den Weltfrieden - gegen alle Kriegstreiber!",50.0,
Baden-Württemberg,Karlsruhe,2023-01-09,,"Montagsdemo gegen die 
Hartz-Gesetze und Sozialabbau, Aktiver Widerstand für den Weltfrieden - gegen alle Kriegstreiber!",50.0,
Baden-Württemberg,Karlsruhe,2023-01-12,,Soldiarität mit Michel Brandt,20.0,
Baden-Württemberg,Karlsruhe,2023-01-12,,Für das Grundgesetz,49.0,
Baden-Württemberg,Karlsruhe,2023-01-12,,Soldiarität mit Michel Brandt,20.0,
Baden-Württemberg,Karlsruhe,2023-01-12,,Für das Grundgesetz,49.0,
Baden-Württemberg,Karlsruhe,2023-01-13,,Friedensverhandlungen im Ukraine Krieg/Sicherung bezahlbarer Energieversorgung/Erhalt des Bargeldes/Ende der Corona-Impfexperiments/Für eine lebenswerte Gesellschaft,70.0,
Baden-Württemberg,Karlsruhe,2023-01-13,,Friedensverhandlungen im Ukraine Krieg/Sicherung bezahlbarer Energieversorgung/Erhalt des Bargeldes/Ende der Corona-Impfexperiments/Für eine lebenswerte Gesellschaft,70.0,
Baden-Württemberg,Karlsruhe,2023-01-14,,Klimaschutz,30.0,
Baden-Württemberg,Karlsruhe,2023-01-14,,Afghanistan Thema. Let Afghan Women Learn,150.0,
Baden-Württemberg,Karlsruhe,2023-01-14,,Soldiaritätsveranstaltung zum Thema Klimaschutz mit Fokus auf aktuelle Geschehnisse in Lützerath,100.0,
Baden-Württemberg,Karlsruhe,2023-01-14,,Klimaschutz,30.0,
Baden-Württemberg,Karlsruhe,2023-01-14,,Afghanistan Thema. Let Afghan Women Learn,150.0,
Baden-Württemberg,Karlsruhe,2023-01-14,,Soldiaritätsveranstaltung zum Thema Klimaschutz mit Fokus auf aktuelle Geschehnisse in Lützerath,100.0,
Baden-Württemberg,Karlsruhe,2023-01-19,,WIR SIND BAUM,25.0,
Baden-Württemberg,Karlsruhe,2023-01-19,,"für das Grundgesetz - die RichterInnen am BVG sollten endlich einen Hauptverhandlungstermin ansetzen um zu klären, ob die Grundrechtseinschränkungen der letzten Jahre ungesetzlich waren - für Frieden - für die Würde des Menschen - für gute Arbeits- + Lebensbedingungen für alle - für Selbstverantwortung und Selbstbestimmung - Wir sind politisch unabhängige BürgerInnen und laden alle Demokraten zum friedlichen Meinungsaustausch ein.",49.0,
Baden-Württemberg,Karlsruhe,2023-01-19,,WIR SIND BAUM,25.0,
