region,city,date,organizer,topic,participants_registered,participants_actual
Bayern,München,2018-01-01,Gemeinschaft Sant Egidio,Friedenskundgebung,150.0,
Bayern,München,2018-01-04,Bündnis 90 / Die Grünen,Aktion Europa,30.0,
Bayern,München,2018-01-07,,Gedenken Todestag Oury Jalloh,200.0,
Bayern,München,2018-01-08,,Weg mit Hartz IV,35.0,
Bayern,München,2018-01-09,,"Wir fordern die Aufklärung der Morde an Sakine Cansiz, Fidan Dogan und Leyla Saylemez",15.0,
Bayern,München,2018-01-10,IG Metall München,Warnstreik,300.0,
Bayern,München,2018-01-10,,Solidarität mit dem iranischen Volk,10.0,
Bayern,München,2018-01-10,IG Metall München,Tarifrunde Metall und Elektroindustrie 2018,300.0,
Bayern,München,2018-01-10,IG Metall München,Warnstreik Metall und Elektro Tarifrunde 2018,1600.0,
Bayern,München,2018-01-12,HeimatGiesing,Mahnwache gegen den illegalen Abriss,25.0,
Bayern,München,2018-01-12,,Für einen gerechten Frieden im Nahen Osten,12.0,
Bayern,München,2018-01-12,,Anonymous for the Voiceless,14.0,
Bayern,München,2018-01-13,Koreanischer Verein München e.V.,Zugehörigkeit der Dok-Do Inseln zu Südkorea,100.0,
Bayern,München,2018-01-13,,gegen Präsident Kabila im Kongo,150.0,
Bayern,München,2018-01-13,Greenpeace e.V.,CO2-Budget und Energiewende,6.0,
Bayern,München,2018-01-16,,Solidarität mit den Protestierenden im Iran,50.0,
Bayern,München,2018-01-18,München ist bunt e.V.,Kein Platz für Rassismus und Fremdenfeindlichkeit!,25.0,
Bayern,München,2018-01-19,,Anonymous for the Voiceless,14.0,
Bayern,München,2018-01-19,Green City e.V.,Demonstration für saubere Luft,30.0,
Bayern,München,2018-01-19,,Solidarität mit den Protestierenden im Iran,50.0,
Bayern,München,2018-01-19,,Gegen die türkische Kriegspolitik,20.0,
Bayern,München,2018-01-20,,Womens March Munich 2018,400.0,
Bayern,München,2018-01-20,,Demokratie für Bolivien,30.0,
Bayern,München,2018-01-20,,"Alle für Rumänien, alle für die Justiz, München sagt Nein",30.0,
Bayern,München,2018-01-20,,Gegen die türkische Kriegspolitik,100.0,
Bayern,München,2018-01-22,,Weg mit Hartz IV,35.0,
Bayern,München,2018-01-22,Verdi Bezirk München,Tarifforderungen /Warnstreik bei der Thuga AG,250.0,
Bayern,München,2018-01-22,Taxiverband München,Gegen die Teilnahme des Uber-CEO bei der Veranstaltung DLD,100.0,
Bayern,München,2018-01-23,Bayerischer Flüchtlingsrat,Keine Abschiebungen nach Afghanistan,125.0,
Bayern,München,2018-01-23,IG Metall München,Tarifrunde Metall und Elektroindustrie 2018,3500.0,
Bayern,München,2018-01-24,,Anonymous for the Voiceless,14.0,
Bayern,München,2018-01-24,IG Metall München,Tarifrunde Metall und Elektroindustrie 2018,5000.0,
Bayern,München,2018-01-24,IG Metall München,Tarifrunde Metall und Elektroindustrie 2018,3000.0,
Bayern,München,2018-01-25,,wir sagen NEIN zur GroKo,50.0,
Bayern,München,2018-01-26,,Für einen gerechten Frieden im Nahen Osten,12.0,
Bayern,München,2018-01-26,,Hände weg von Afrin – Solidarität ist unsere Sache,30.0,
Bayern,München,2018-01-26,,Solidarität mit den Protestierenden im Iran,50.0,
Bayern,München,2018-01-27,DKP,Protest wegen PESCO,20.0,
Bayern,München,2018-01-27,KVPM Deutschland e.V.,Gedenken an die Opfer des Holocaust,7.0,
Bayern,München,2018-01-27,Verein zu Förderung ethnischer Minderheiten e.V.,Einmarsch der Türkei in Syrien,100.0,
Bayern,München,2018-01-27,Greenpeace e.V.,Antarktis,10.0,
Bayern,München,2018-01-27,,christliche Werte (Diskussionsanregung),60.0,
Bayern,München,2018-01-27,,Alles für die Justiz,50.0,
Bayern,München,2018-01-28,,gegen Circus Krone,20.0,
Bayern,München,2018-01-30,,Unterstützung Carles Puigdemont,20.0,
Bayern,München,2018-01-30,,Hände weg von Afrin – Solidarität ist unsere Sache,15.0,
Bayern,München,2018-01-31,Ökumenisches Büro für Frieden und Gerechtigkeit,Siemens Hauptversammlung,17.0,
Bayern,München,2018-01-31,Amnesty International,Menschenrechte in Russland,6.0,
Bayern,München,2018-01-31,IG Metall München,Protest gegen Siemens,300.0,
Bayern,München,2018-01-31,IG Metall München,Warnstreik,1000.0,
Bayern,München,2018-01-31,,Hände weg von Afrin – Solidarität ist unsere Sache,15.0,
Bayern,München,2018-02-01,,Hände weg von Afrin – Solidarität ist unsere Sache,15.0,
Bayern,München,2018-02-02,,Hände weg von Afrin – Solidarität ist unsere Sache,15.0,
Bayern,München,2018-02-02,DFG-VK,Stoppt den Waffenhandel,50.0,
Bayern,München,2018-02-02,IG Metall München,Warnstreik,1000.0,
Bayern,München,2018-02-03,,Hände weg von Afrin – Solidarität ist unsere Sache,200.0,
Bayern,München,2018-02-03,,Frieden,8.0,
Bayern,München,2018-02-03,Ariwa – Animal Rights Watch e.V.,Tierschutz,10.0,
Bayern,München,2018-02-03,DKP,Protest wegen PESCO,20.0,
Bayern,München,2018-02-03,,Protest gegen die Todesstrafe im Iran,10.0,
Bayern,München,2018-02-03,,gefallene Opfer in Asrin,60.0,
Bayern,München,2018-02-03,Greenpeace e.V.,Lidl lässt Schweine leiden,25.0,
Bayern,München,2018-02-03,Projekt Information – Münchner Positiven,10 Jahre EKAF,50.0,
Bayern,München,2018-02-03,Anonymous for the Voiceless,Anonymous for the Voiceless,14.0,
Bayern,München,2018-02-05,Pegida München e.V.,Islamkritik,,
Bayern,München,2018-02-05,,Weg mit Hartz IV,35.0,
Bayern,München,2018-02-05,Ostturkistanische Union in Europa,Menschenrechtsverletzungen in China,25.0,
Bayern,München,2018-02-05,GEW München,Entgeltordnung für kommunal angestellte Lehrkräfte,50.0,
Bayern,München,2018-02-06,Pegida München e.V.,Islamkritik,,
Bayern,München,2018-02-06,,Für mehr Geld für Bildung,5.0,
Bayern,München,2018-02-07,Pegida München e.V.,Islamkritik,,
Bayern,München,2018-02-07,,Überall ist Afrin,15.0,
Bayern,München,2018-02-08,,Überall ist Afrin,15.0,
Bayern,München,2018-02-09,,Überall ist Afrin,15.0,
Bayern,München,2018-02-09,,Mahnwache für die Tiere,10.0,
Bayern,München,2018-02-09,,Anonymous for the Voiceless,14.0,
Bayern,München,2018-02-09,HeimatGiesing,Mahnwache gegen den illegalen Abriss,25.0,
Bayern,München,2018-02-09,,Für einen gerechten Frieden im Nahen Osten,12.0,
Bayern,München,2018-02-10,,Gegen die erneuten türkischen Luftangriffe auf Afrin,100.0,
Bayern,München,2018-02-10,DKP,Protest wegen PESCO,20.0,
Bayern,München,2018-02-10,PETA,gegen Pelz,15.0,
Bayern,München,2018-02-11,Verein der Makedonier in München,Friedliche Lösung im Namensstreit zwischen Griechenland und EVROM,200.0,
Bayern,München,2018-02-12,,gegen Sea World,35.0,
Bayern,München,2018-02-14,EuroProLife e.V.,40 Tage für das Leben,41.0,
Bayern,München,2018-02-14,,Tierhaltung,2.0,
Bayern,München,2018-02-14,Pegida München e.V.,Islamkritik,,
Bayern,München,2018-02-14,One Billion Rising (Vorverein),One Billion Rising,300.0,
Bayern,München,2018-02-15,,gegen Stopfleber,20.0,
Bayern,München,2018-02-15,Pegida München e.V.,Islamkritik,,
Bayern,München,2018-02-15,PETA,Sea World,5.0,
Bayern,München,2018-02-16,Nationaler Widerstandsrat Iran,Protest gegen die Teilnahme vom Außenminister des iran. Regims an der MSC,100.0,
Bayern,München,2018-02-16,Falun Gong Gruppe München,Stopp Verfolgung von Falun Gong,10.0,
Bayern,München,2018-02-16,Pegida München e.V.,Islamkritik,,
Bayern,München,2018-02-16,Amnesty International,Menschenrechte in Russland; aktueller Anlass Ost Ghuta,2.0,
Bayern,München,2018-02-17,Anonymous for the Voiceless,Anonymous for the Voiceless,14.0,
Bayern,München,2018-02-17,,Politische Situation in Bahrain,25.0,
Bayern,München,2018-02-17,,Delivering a message of Peace and Solidarity,50.0,
Bayern,München,2018-02-17,Initiative Grundeinkommen,Das bedingungslose Grundeinkommen,5.0,
Bayern,München,2018-02-17,Baloch Republican Party,Protest gegen Pakistan,40.0,
Bayern,München,2018-02-17,,Afghanistan,400.0,
Bayern,München,2018-02-17,Aktionsbündnis gegen die NATO-Sicherheitskonferenz,Demonstration gegen die NATO-Kriegstagung in München im Jahr 2018,4000.0,
Bayern,München,2018-02-17,Aktionsbündnis gegen die NATO-Sicherheitskonferenz,Demonstration gegen die NATO-Kriegstagung in München im Jahr 2018,500.0,
Bayern,München,2018-02-18,,Politische Situation in Bahrain,25.0,
Bayern,München,2018-02-19,,Weg mit Hartz IV,35.0,
Bayern,München,2018-02-19,Münchner Mahnwache,Mahnwache für die Liebe – für den Frieden,30.0,
Bayern,München,2018-02-19,Pegida München e.V.,Islamkritik,12.0,
Bayern,München,2018-02-20,,Gerechtigkeit und sauberer Fußball,15.0,
Bayern,München,2018-02-20,Bayerischer Flüchtlingsrat,Keine Abschiebungen nach Afghanistan,200.0,
Bayern,München,2018-02-20,,gegen Circus Krone,6.0,
Bayern,München,2018-02-20,Radio Gong,Wir fordern 10.000 neue Organspender für München,10.0,
Bayern,München,2018-02-21,Pegida München e.V.,Islamkritik,12.0,
Bayern,München,2018-02-22,,Wir bringen die europäische Unionsflagge wieder zurück nach Rumänien,50.0,
Bayern,München,2018-02-22,Verdi,Tarifrunde Post,150.0,
