Datum;Thema;Teilnehmende (Angemeldet);Teilnehmende (tatsächlich);Kategorie;Stichwörter
01.01.2018;Gegen das Regierungsregime im Iran;50;50;Ausland;
01.01.2018;Gegen Menschenrechtsverletzungen von Saudische Regime [sic!];30;11;Ausland;
01.01.2018;Mahnwache zur Erinnerung an die Opfer des atomaren Super?Gau im japanischen Fukushima, für den weltweiten Frieden UND soziale Gerechtigkeit (vom 18.09.2017 bis 15.03.2018 - jeweils Mo.,Do.);20;2;Ausland;
01.01.2018;Stoppt die Verfolgung von Falun Gong-Praktizierenden! (vom 08.11.2017 bis 07.02.2018 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.);10;3;Ausland;
01.01.2018;Solidarität mit den Revoltierenden im Iran;50;150;Ausland;
01.01.2018;Frieden! Wie seit fast 200 Wochen. Lieben Dank für alles! (vom 01.01. bis 31.12.2018 - jeweils Mo.);100;30;Frieden;
01.01.2018;staatenlos.info-Mahnwache für Heimat und Weltfrieden GG 139 GG 146 (vom 01.01. bis 31.03.2018 - täglich);10;;rechts;Reichsbürger
01.01.2018;... gegen den falschen Standort BER ... (vom 23.10.2017 bis 29.01.2018);60;11;Stadtpolitik;
02.01.2018;Gegen das Regierungsregime im Iran (vom 02.01. bis 08.01.2018 - täglich);50;90;Ausland;
02.01.2018;Gegen Menschenrechtsverletzungen im Iran;60;250;Ausland;
02.01.2018;Stoppt die Verfolgung von Falun Gong-Praktizierenden! (vom 08.11.2017 bis 07.02.2018 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.);10;2;Ausland;
02.01.2018;staatenlos.info-Mahnwache für Heimat und Weltfrieden GG 139 GG 146 (vom 01.01. bis 31.03.2018 - täglich);10;2;rechts;Reichsbürger
02.01.2018;Aufklärung über die Lebensmittelindustrie;20;26;Umwelt;
03.01.2018;Drei politische Morde unter Beobachtung des französischen Geheimdienstes. Frauen fordern lückenlose Aufklärung und Gerechtigkeit für Sakine Cansiz, Fidan Dogan und Leyla Saylemez und die Freiheit von Abdullah Öcalan und Frieden in Kurdistan;50;30;Ausland;
03.01.2018;Stoppt die Verfolgung von Falun Gong-Praktizierenden! (vom 08.11.2017 bis 07.02.2018 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.);10;4;Ausland;
03.01.2018;Gegen das Regierungsregime im Iran (vom 02.01. bis 08.01.2018 - täglich);50;;Ausland;
03.01.2018;Sofortige Freilassung von hunderten festgenommenen Demonstranten im Iran;70;80;Ausland;
03.01.2018;Merkel muss weg (vom 22.11.2017 bis 21.11.2018 - jeweils Mi.);50;10;rechts;
03.01.2018;staatenlos.info-Mahnwache für Heimat und Weltfrieden GG 139 GG 146 (vom 01.01. bis 31.03.2018 - täglich);10;2;rechts;Reichsbürger
03.01.2018;Gegen Tierkonsum und Tierausbeutung;10;1;Tiere;
04.01.2018;Gegen die Menschenrechtsverletzungen in Nordkorea ... (vom 04.01. bis 05.04.2018 - jeweils Do.);20;9;Ausland;
04.01.2018;Stoppt die Verfolgung von Falun Gong-Praktizierenden! (vom 08.11.2017 bis 07.02.2018 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.);10;3;Ausland;
04.01.2018;Gegen das Regierungsregime im Iran (vom 02.01. bis 08.01.2018 - täglich);50;;Ausland;
04.01.2018;staatenlos.info-Mahnwache für Heimat und Weltfrieden GG 139 GG 146 (vom 01.01. bis 31.03.2018 - täglich);10;;rechts;Reichsbürger
04.01.2018;Tierrechtsaktivismus;20;40;Tiere;
04.01.2018;Mahnwache zur Erinnerung an die Opfer des atomaren Super-Gau im japanischen Fukushima, für den weltweiten Frieden UND soziale Gerechtigkeit (vom 18.09.2017 bis 15.03.2018 - jeweils Mo.,Do.);20;3;Umwelt;
05.01.2018;Anlässlich der Trump Erklärung zu Jerusalem;200;85;Ausland;
05.01.2018;Ehrung Celattin Kesim (Jahrestag seiner Ermordung);100;70;Ausland;
05.01.2018;Stoppt die Verfolgung von Falun Gong-Praktizierenden! (vom 08.11.2017 bis 07.02.2018 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.);10;2;Ausland;
05.01.2018;Gegen das Regierungsregime im Iran (vom 02.01. bis 08.01.2018 - täglich);50;80;Ausland;
05.01.2018;staatenlos.info-Mahnwache für Heimat und Weltfrieden GG 139 GG 146 (vom 01.01. bis 31.03.2018 - täglich);10;;rechts;Reichsbürger
06.01.2018;Stoppt die Verfolgung von Falun Gong-Praktizierenden! (vom 08.11.2017 bis 07.02.2018 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.);10;4;Ausland;
06.01.2018;Gegen das Regierungsregime im Iran;50;;Ausland;
06.01.2018;Gegen das Regierungsregime im Iran (vom 02.01. bis 08.01.2018 - täglich);50;50;Ausland;
06.01.2018;Solidarität mit den Bürgerprotesten im Iran ? Sofortige Freilassung von hunderten inhaftierten Demonstranten;1000;700;Ausland;
06.01.2018;Mahnwache für Toleranz und ein friedliches Miteinander;20;;Frieden;
06.01.2018;Manifestation für die Einhaltung des Völkerrechts und die Auflösung der NATO;20;;Frieden;
06.01.2018;staatenlos.info-Mahnwache für Heimat und Weltfrieden GG 139 GG 146 (vom 01.01. bis 31.03.2018 - täglich);10;2;rechts;Reichsbürger
06.01.2018;Grausamkeit des Pelzhandels;5;4;Tiere;
07.01.2018;Gesellschaftliche Verantwortung - insbesondere gegenüber der Lausitz ...;5;30;Arbeit und Sozialpolitik;
07.01.2018;Protest gegen die Pläne zur Einführung einer Bürgerversicherung;7;4;Arbeit und Sozialpolitik;
07.01.2018;Frieden für das Land Iran;20;;Ausland;
07.01.2018;Stoppt die Verfolgung von Falun Gong-Praktizierenden! (vom 08.11.2017 bis 07.02.2018 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.);10;7;Ausland;
07.01.2018;Gegen das Regierungsregime im Iran (vom 02.01. bis 08.01.2018 - täglich);50;50;Ausland;
07.01.2018;Frieden in der Welt und bei uns;20;20;Frieden;
07.01.2018;Meditation für den inneren und äußeren Frieden... (vom 07.01. bis 28.01.2018 - jeweils So.);20;11;Frieden;
07.01.2018;staatenlos.info-Mahnwache für Heimat und Weltfrieden GG 139 GG 146 (vom 01.01. bis 31.03.2018 - täglich);10;;rechts;Reichsbürger
07.01.2018;Steglitz-Zehlendorf bleibt bunt und weltoffen! - Der rechtsextremen Identitären Bewegung den Infostand vermiesen!;15;;Stadtpolitik;
07.01.2018;Gegen Kohlekraftwerke;10;8;Umwelt;
07.01.2018;Stopp des Windkraftausbaus in DE / Umdenken in der Energiestrategie;10;24;Umwelt;
08.01.2018;Gegen Bärgida / Pegida - Gegen Rassismus und soziale Ausgrenzung (vom 01.01. bis 31.12.2018 - jeweils Mo.);70;9;Antifa und Antira;
08.01.2018;Gesellschaftliche Verantwortung - insbesondere gegenüber der Lausitz ...;20;14;Arbeit und Sozialpolitik;
08.01.2018;Protest gegen die Pläne zur Einführung einer Bürgerversicherung;7;3;Arbeit und Sozialpolitik;
08.01.2018;Warnstreik der Beschäftigten;100;100;Arbeit und Sozialpolitik;
08.01.2018;Warnstreik der Beschäftigten;300;150;Arbeit und Sozialpolitik;
08.01.2018;Warnstreik der Beschäftigten;400;250;Arbeit und Sozialpolitik;
08.01.2018;Warnstreik der Beschäftigten;700;500;Arbeit und Sozialpolitik;
08.01.2018;Hartz Gesetze ? Agenda 2010 ?? Aktuelles (vom 08.01. bis 17.12.2018 - jeweils Mo.);70;20;Arbeit und Sozialpolitik;
08.01.2018;Stoppt die Verfolgung von Falun Gong-Praktizierenden! (vom 08.11.2017 bis 07.02.2018 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.);10;3;Ausland;
08.01.2018;Mahnwache gegen die Nichtzulassung von Alexey Navalny zu den Präsidentschaftswahlen in Russland;15;;Ausland;
08.01.2018;Putin Finger weg aus dem Iran (vom 08.01. bis 14.01.2018 - täglich);50;21;Ausland;
08.01.2018;Mahnwache für Frieden und Menschenrechte (vom 08.01. bis 26.03.2018 - jeweils Mo.);12;2;Bürgerrechte;
08.01.2018;Antikriegsmahnwache (vom 08.01. bis 26.03.2018 ? jeweils Mo.);15;;Frieden;
08.01.2018;Frieden! Wie seit fast 200 Wochen. Lieben Dank für alles! (vom 01.01. bis 31.12.2018 - jeweils Mo.);100;20;Frieden;
08.01.2018;BÄRGIDA - Berliner Patrioten gegen die Islamisierung des Abendlandes;50;35;rechts;
08.01.2018;staatenlos.info-Mahnwache für Heimat und Weltfrieden GG 139 GG 146 (vom 01.01. bis 31.03.2018 - täglich);10;;rechts;Reichsbürger
08.01.2018;... gegen den falschen Standort BER ... (vom 23.10.2017 bis 29.01.2018 - jeweils );60;30;Stadtpolitik;
08.01.2018;Gegen Kohlekraftwerke;10;14;Umwelt;
08.01.2018;Mahnwache zur Erinnerung an die Opfer des atomaren Super-Gau im japanischen Fukushima, für den weltweiten Frieden UND soziale Gerechtigkeit (vom 18.09.2017 bis 15.03.2018 - jeweils Mo.,Do.);20;6;Umwelt;
09.01.2018;Protest gegen die Pläne zur Einführung einer Bürgerversicherung;7;4;Arbeit und Sozialpolitik;
09.01.2018;Warnstreik der Beschäftigten;800;750;Arbeit und Sozialpolitik;
09.01.2018;Warnstreik der Beschäftigten;1300;750;Arbeit und Sozialpolitik;
09.01.2018;Warnstreik der Beschäftigten;250;;Arbeit und Sozialpolitik;
09.01.2018;Warnstreik der Beschäftigten;1000;;Arbeit und Sozialpolitik;
09.01.2018;Stoppt die Verfolgung von Falun Gong-Praktizierenden! (vom 08.11.2017 bis 07.02.2018 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.);10;3;Ausland;
09.01.2018;Putin Finger weg aus dem Iran (vom 08.01. bis 14.01.2018 - täglich);50;15;Ausland;
09.01.2018;staatenlos.info-Mahnwache für Heimat und Weltfrieden GG 139 GG 146 (vom 01.01. bis 31.03.2018 - täglich);10;;rechts;Reichsbürger
09.01.2018;Stoppt die Massentierhaltung;10;3;Tiere;
09.01.2018;Demonstration für bessere Tierhaltung;12;10;Tiere;
09.01.2018;Wir pfeifen auf Stuttgart 21 (vom 09.01. bis 27.03.2018 - jeweils Di.);10;4;Umwelt;
10.01.2018;Gesellschaftliche Verantwortung - insbesondere gegenüber der Lausitz ...;20;30;Arbeit und Sozialpolitik;
10.01.2018;Protest gegen die Pläne zur Einführung einer Bürgerversicherung;7;6;Arbeit und Sozialpolitik;
10.01.2018;Warnstreik der Beschäftigten;150;100;Arbeit und Sozialpolitik;
10.01.2018;Warnstreik der Beschäftigten;800;700;Arbeit und Sozialpolitik;
10.01.2018;Stoppt die Verfolgung von Falun Gong-Praktizierenden! (vom 08.11.2017 bis 07.02.2018 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.);10;4;Ausland;
10.01.2018;Wir fordern SPD und CDU auf, ihre Zusagen an Entwicklungsländer einzuhalten...;10;10;Ausland;
10.01.2018;Es geht um die Kampagne gegen Herrn Shahroodi, der für über tausend Hinrichtungen in seinem Amt im Iran verantwortlich ist und sich derzeit in Hannover befindet;50;20;Ausland;
10.01.2018;Solidarität mit den Revoltierenden im Iran und aufmerksam machen auf die wirtschaftlichen Verwicklungen des Auswärtigen Amtes mit dem iranischen Regime;100;100;Ausland;
10.01.2018;Antikriegsmahnwache (vom 10.01. bis 28.03.2018 - jeweils Mi.);15;10;Frieden;
10.01.2018;Merkel muss weg (vom 22.11.2017 bis 21.11.2018 - jeweils Mi.);50;11;rechts;
10.01.2018;staatenlos.info-Mahnwache für Heimat und Weltfrieden GG 139 GG 146 (vom 01.01. bis 31.03.2018 - täglich);10;2;rechts;Reichsbürger
10.01.2018;Rettet die Montessori-Schule Heiligensee;200;200;Stadtpolitik;Bildung
10.01.2018;Massentierhaltung, Vegan;10;4;Tiere;
10.01.2018;Stoppt die Massentierhaltung;30;;Tiere;
10.01.2018;Gegen Kohlekraftwerke;4;5;Umwelt;
11.01.2018;Warnstreik der Beschäftigten (Tarifauseinandersetzung in der Berliner Metall- und Elektroindustrie);150;;Arbeit und Sozialpolitik;
11.01.2018;Warnstreik der Beschäftigten (Tarifauseinandersetzung in der Berliner Metall- und Elektroindustrie);200;;Arbeit und Sozialpolitik;
11.01.2018;Gesellschaftliche Verantwortung - insbesondere gegenüber der Lausitz - beim Thema Energiepolitik bei den Sondierungsgesprächen zur Regierungsbildung;24;;Arbeit und Sozialpolitik;
11.01.2018;Protest gegen die diskutierte Einführung der Bürgerversicherung;7;;Arbeit und Sozialpolitik;
